Date,IWF,IWM,MTUM,SPY,UBOT,VLUE,VXX
2018-12-17,-0.4417419077452244,-1.1511577912904611,-0.3271297831828512,-1.7944843682820464,1.0,-1.4276150113629382,0.0
2018-12-18,-0.4267073170731707,-1.1353048780487804,-0.3104878048780488,-1.7951829268292683,1.0,-1.4298170731707316,0.0
2018-12-19,-0.4671443444179068,-1.1339334925592504,-0.29787494641435486,-1.7893318635556372,1.0,-1.4357890869006062,0.0
2018-12-20,-0.4343520262470381,-1.0956315693541527,-0.34971747979828666,-1.7865605443830124,1.0,-1.4093808858375358,0.0
2018-12-21,-0.4270952927669346,-1.0977702580216326,-0.34292102241827305,-1.7973291437549095,1.0,-1.3776058976373193,0.0
2018-12-24,-0.3844815170427268,-1.0639102256361017,-0.3620979356697071,-1.7867258761401823,1.0,-1.4036845895343255,0.0
2018-12-26,-0.403414142611582,-1.0912216229032068,-0.34325173374429496,-1.7248532985596585,1.0,-1.3645901250666825,0.0
2018-12-27,-0.36064088773141595,-1.0436505689860158,-0.37547415501330467,-1.5218252844930078,1.0,-1.3599048859197191,0.0
2018-12-28,-0.3505633244635679,-1.0619373832304817,-0.368623676612127,-1.5268074506029552,1.0,-1.3536205627583082,0.0
2018-12-31,-0.32952088312279504,-1.094059405940594,-0.3704335950836463,-1.5374985774439511,1.0,-1.3587117332422896,0.0
2019-01-02,-0.3314753725400978,-1.0972585598907973,-0.35121146627232397,-1.5393584347628255,1.0,-1.3682743715163235,0.0
2019-01-03,-0.3329355608591886,-1.0929082850323901,-0.3619729514717582,-1.5398340720536425,1.0,-1.3547562222979885,0.0
2019-01-04,-0.2801763110307414,-1.1147151898734176,-0.36126808318264014,-1.525485985533454,1.0,-1.3692924954792043,0.0
2019-01-07,-0.22579753414054293,-1.0625310996848565,-0.43080665671476753,-1.4954940012163433,1.0,-1.3142035716260296,0.0
2019-01-08,-0.22195135464568672,-1.075461244390271,-0.42622859992243334,-1.49565072857222,1.0,-1.3211258241453818,0.0
2019-01-09,-0.2199712166500609,-1.0665338204361785,-0.42582752131074947,-1.4960699656813907,1.0,-1.3268570795970331,0.0
2019-01-10,-0.21378199788994393,-1.077961019490255,-0.4227330779054917,-1.4996945971458715,1.0,-1.3386084735410073,0.0
2019-01-11,-0.20673957697218676,-1.0730583467495696,-0.4325764725476045,-1.4990284794315214,1.0,-1.3401432298895242,0.0
2019-01-14,-0.22462802576060406,-1.0776704419276038,-0.42777037530535195,-1.5065511880968243,1.0,-1.3152898067954697,0.0
2019-01-15,-0.2247683515507962,-1.0709093935526826,-0.4254008766576042,-1.5090162570049381,1.0,-1.318426455085169,0.0
2019-01-16,-0.23219452481638106,-1.0717226797240151,-0.4303917204540397,-1.5288782550634321,1.0,-1.3010238148230582,0.0
2019-01-17,-0.23072638146167557,-1.0819407308377897,-0.42301693404634577,-1.532085561497326,1.0,-1.3026403743315507,0.0
2019-01-18,-0.23126147682377163,-1.0779032886316844,-0.4254076011351622,-1.529964943520116,1.0,-1.2999833064381503,0.0
