Date,DJCO,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3421000331235508,-0.7934415369327592,-0.010997018880423981,-0.593839019542895,-0.5719774759854256,0.0
2018-09-25,1.0,-0.3418715620650805,-0.7941215454967195,-0.010404930744250779,-0.5944396580290278,-0.5728345152097555,0.0
2018-09-26,1.0,-0.3433696985774447,-0.796233047053752,-0.013031800245382499,-0.5942567231488544,-0.5690552773817025,0.0
2018-09-27,1.0,-0.34698883033376426,-0.7878426303403931,-0.015577872791753673,-0.5948095853634285,-0.569188956282523,0.0
2018-09-28,1.0,-0.3448607427055703,-0.7901193633952256,-0.01627984084880637,-0.5948938992042441,-0.5694960212201592,0.0
2018-10-01,1.0,-0.3447624100540505,-0.7903306031767086,-0.01657989853102099,-0.5947541201047849,-0.569552674337633,0.0
2018-10-02,1.0,-0.38777163385341457,-0.7708942344944175,-0.04328531680343747,-0.6746733349769309,-0.6453703377593067,0.0
2018-10-03,1.0,-0.3913998299801643,-0.7874043638424483,-0.04509067724567866,-0.6754746387078493,-0.642745820345707,0.0
2018-10-04,1.0,-0.3988004400752386,-0.7800688504808886,-0.04592398055151364,-0.685736593675693,-0.6384994853958902,0.0
2018-10-05,1.0,-0.38968977457423504,-0.7745389018443926,-0.03558052434456929,-0.6900925729630415,-0.6434174263302948,0.0
2018-10-08,1.0,-0.38762915682194876,-0.7708502309835314,-0.03135028388052333,-0.6937969460803329,-0.6428395105265015,0.0
2018-10-09,1.0,-0.39111849077934013,-0.7726630396382392,-0.03709460891683743,-0.6923620433830283,-0.6395463859252456,0.0
2018-10-10,1.0,-0.3919077612896339,-0.7841713818013595,-0.03216967367709334,-0.6982313796662041,-0.6521120244831146,0.0
2018-10-11,1.0,-0.3195466639024222,-0.7788604402059363,-0.0,-0.6822500950209045,-0.6746138695967658,0.0
2018-10-12,1.0,-0.3353412280101307,-0.7761311520295708,-0.0,-0.6616811554521186,-0.6493942090492162,0.0
2018-10-15,1.0,-0.30954900822778325,-0.7987436413915537,-0.0,-0.6562425318357175,-0.6494827762794032,0.0
2018-10-16,1.0,-0.3062610951795712,-0.8040420592653285,-0.0,-0.6551959579407347,-0.6484364331558105,0.0
2018-10-17,1.0,-0.2840783525866398,-0.7617947430102125,-0.0,-0.6478486522685417,-0.6546459065796082,0.0
2018-10-18,1.0,-0.2838919208490977,-0.7617102487695451,-0.0,-0.6479391971071752,-0.6546355509425118,0.0
2018-10-19,1.0,-0.26527630180658873,-0.7478081827842721,-0.0,-0.6519659936238045,-0.6558514877789585,0.0
2018-10-22,1.0,-0.2683781798758096,-0.7631034252520532,-0.0,-0.6513988115109836,-0.6556052614008147,0.0
2018-10-23,1.0,-0.2706518474016221,-0.7630252661793666,-0.0,-0.6494442775608291,-0.6545175394679751,0.0
2018-10-24,1.0,-0.2686268626862686,-0.7586091942527586,-0.0,-0.6499649964996499,-0.6564656465646564,0.0
2018-10-25,1.0,-0.22669731602292229,-0.7099750704179753,-0.0,-0.6737138602000842,-0.6272218085278597,0.0
2018-10-26,1.0,-0.2162534435261708,-0.6972579921839964,-0.0,-0.6718880133256454,-0.6178807098468831,0.0
2018-10-29,1.0,-0.19467278404384122,-0.705696807493787,-0.0,-0.6622060791435672,-0.6235582743898553,0.0
2018-10-30,1.0,-0.1889869104111596,-0.7055638714608745,-0.0,-0.6622185419917832,-0.628013631007357,0.0
2018-10-31,1.0,-0.1968324358568261,-0.6813430471967058,-0.0,-0.6641748495407033,-0.6251821349382325,0.0
2018-11-01,1.0,-0.1806535286116471,-0.6937335906114572,-0.0,-0.6634296017461171,-0.6254072691614209,0.0
2018-11-02,1.0,-0.1858646144180933,-0.6658708968116852,-0.0,-0.6698916287105386,-0.619538244070991,0.0
2018-11-05,1.0,-0.18771030535551433,-0.6624736626937954,-0.0,-0.6705242303217083,-0.6240133337526337,0.0
2018-11-06,1.0,-0.19079505800245214,-0.6645603445565721,-0.0,-0.6679870476909051,-0.6203904555314533,0.0
2018-11-07,1.0,-0.1929316338354577,-0.6939616325479593,-0.0,-0.6893588258014677,-0.6424938843826445,0.0
2018-11-08,1.0,-0.1883606715244118,-0.6926138734632299,-0.0,-0.6870927358520849,-0.6419285462074279,0.0
2018-11-09,1.0,-0.18960087409216528,-0.6936821132463525,-0.0,-0.6872549649720419,-0.6430683205861559,0.0
2018-11-12,1.0,-0.18901541807945746,-0.6757725033587102,-0.0,-0.6941654404708592,-0.6398502974857655,0.0
2018-11-13,1.0,-0.1618863499508763,-0.671093081481951,-0.0,-0.6987925078439451,-0.6374671188159605,0.0
2018-11-14,1.0,-0.16363232682060389,-0.6707371225577264,-0.0,-0.6999175336209084,-0.6374968282161888,0.0
2018-11-15,1.0,-0.1630782889938802,-0.6738751307987443,-0.0,-0.7063132193930939,-0.627612011288328,0.0
