Date,IWF,IWM,MTUM,NSC,SPY,VLUE,VXX
2018-09-24,-0.29624602856349674,-0.5327431444523274,-0.11835651932508716,1.0,-0.547580122767513,-0.5896850612295259,0.0
2018-09-25,-0.2956972652632879,-0.5340453114389777,-0.11704426199148096,1.0,-0.5486758441879128,-0.5911784678066547,0.0
2018-09-26,-0.295666399160442,-0.5340453114389777,-0.1169516636829434,1.0,-0.5487067102907588,-0.5912402000123465,0.0
2018-09-27,-0.2954924359370176,-0.5349181846248842,-0.11682618092003703,1.0,-0.548780487804878,-0.5913244828650818,0.0
2018-09-28,-0.2969266409266409,-0.5343629343629344,-0.11694208494208494,1.0,-0.5490965250965252,-0.5914749034749035,0.0
2018-10-01,-0.29957623186612636,-0.5335766649138544,-0.11642797488323177,1.0,-0.5513625537443162,-0.592254632064091,0.0
2018-10-02,-0.3043977530182179,-0.5099158933614724,-0.1256944228919028,1.0,-0.5611868036373794,-0.6023400887619875,0.0
2018-10-03,-0.3060906912327659,-0.519902897513305,-0.12694905231707698,1.0,-0.5602377766020354,-0.5990476486881828,0.0
2018-10-04,-0.30735728729195827,-0.5173432882252295,-0.12739150723285114,1.0,-0.5615803390885052,-0.5972624047285736,0.0
2018-10-05,-0.29403364996585335,-0.5098714844477557,-0.11411187682374124,1.0,-0.5737877941267773,-0.6124355870118582,0.0
2018-10-08,-0.2925241755516985,-0.5071906769154476,-0.11123853211009174,1.0,-0.5763389536325316,-0.612168361021572,0.0
2018-10-09,-0.29093163850565806,-0.5078592466284297,-0.10696016121531546,1.0,-0.5788869942644551,-0.6156564873662999,0.0
2018-10-10,-0.2902554869152205,-0.5103219197218514,-0.10508179927358519,1.0,-0.5795796728029057,-0.6191289231055784,0.0
2018-10-11,-0.2786895341318471,-0.5069741663330972,-0.08957108107275918,1.0,-0.5796101856698587,-0.6242879576315546,0.0
2018-10-12,-0.2813605857230019,-0.499908480780964,-0.08651616839536302,1.0,-0.5694935936546676,-0.613392312385601,0.0
2018-10-15,-0.27251408557941226,-0.5126237246840262,-0.07428049337597076,1.0,-0.5699710674585047,-0.6161108573168875,0.0
2018-10-16,-0.27201023235983796,-0.5144501629259677,-0.07293601729756068,1.0,-0.5699668057374303,-0.6159819715564759,0.0
2018-10-17,-0.2611089382953759,-0.4886729444327446,-0.06212581605944824,1.0,-0.5706850386594061,-0.6258912723006107,0.0
2018-10-18,-0.2649776543060756,-0.4966179490276603,-0.05873293876071989,1.0,-0.5705097233965454,-0.6288199057857229,0.0
2018-10-19,-0.26166365280289333,-0.4947558770343581,-0.05367691380349608,1.0,-0.5726943942133815,-0.6310729355033152,0.0
2018-10-22,-0.26287401693434176,-0.4916684243830416,-0.05086328984240817,1.0,-0.5749540482719138,-0.6328682918010065,0.0
2018-10-23,-0.2637365947704543,-0.4912037594890951,-0.05304856006747802,1.0,-0.5728401012170141,-0.6315821183275094,0.0
2018-10-24,-0.26461876698525144,-0.5127484808696449,-0.058688814925646586,1.0,-0.5810864453876454,-0.6363858438425601,0.0
