Date,DNOW,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.6330012771392082,-1.5504469987228606,-0.03259259259259259,-0.9196424010217114,-0.9728735632183908,0.0
2018-09-25,1.0,-0.636006128702758,-1.5477017364657812,-0.0374361593462717,-0.9172625127681308,-0.9688457609805925,0.0
2018-09-26,1.0,-0.6361268576681477,-1.5479291149583778,-0.03774066697308615,-0.9170624585056942,-0.9681834431336499,0.0
2018-09-27,1.0,-0.6361407630624649,-1.5479850860615967,-0.037999897849736966,-0.9171050615455335,-0.9682312681955156,0.0
2018-09-28,1.0,-0.6361593462717058,-1.5473953013278858,-0.03866189989785496,-0.9169560776302349,-0.9680796731358529,0.0
2018-10-01,1.0,-0.6385240455869575,-1.545919149588593,-0.03863647978739715,-0.9188429498645678,-0.9686717432411712,0.0
2018-10-02,1.0,-0.6395871653382383,-1.5349989781320252,-0.042969548334355206,-0.9208563253627631,-0.9709278561209892,0.0
2018-10-03,1.0,-0.6391684119119374,-1.5228584563518415,-0.04142616335495734,-0.9256270112887572,-0.9789548960514889,0.0
2018-10-04,1.0,-0.6384556379442597,-1.526617233444132,-0.042188698542572234,-0.9246228586039376,-0.9818460751725901,0.0
2018-10-05,1.0,-0.620176377631646,-1.5211296324616403,-0.019931691899882756,-0.9375541622062497,-0.998827547535301,0.0
2018-10-08,1.0,-0.6175213675213674,-1.5173483923483924,-0.015415140415140414,-0.9397130647130647,-0.9975071225071224,0.0
2018-10-09,1.0,-0.618277107820689,-1.5179870757645142,-0.01653691548364117,-0.9390932682033277,-0.9963873200020352,0.0
2018-10-10,1.0,-0.6232866242038216,-1.5171464968152866,-0.020942675159235667,-0.9432356687898089,-0.9909299363057325,0.0
2018-10-11,1.0,-0.5356789390340458,-1.5087094220110846,-0.0,-0.907264449722882,-0.9968329374505146,0.0
2018-10-12,1.0,-0.5368225577872258,-1.5025656062160975,-0.0,-0.8794898108781702,-0.9679910081610712,0.0
2018-10-15,1.0,-0.509334633195223,-1.5263465756763346,-0.0,-0.8719473555934683,-0.9668535218133073,0.0
