Date,IWF,IWM,MTUM,RAD,SPY,VLUE,VXX
2018-09-24,-1.195667870036101,-2.5851985559566786,-0.0,1.0,-2.1387184115523463,-2.1056859205776175,0.0
2018-09-25,-1.2013525698827772,-2.5806131650135256,-0.0,1.0,-2.135347159603246,-2.099819657348963,0.0
2018-09-26,-1.2016950680732126,-2.581011631052205,-0.0,1.0,-2.135154629880083,-2.0985483725543235,0.0
2018-09-27,-1.2454038232872955,-2.5898655446812406,-0.0,1.0,-2.1768956370621053,-2.1344553187597186,0.0
2018-09-28,-1.2432804329877993,-2.6052655719658744,-0.0,1.0,-2.1835611411797085,-2.141271442986882,0.0
2018-10-01,-1.2456785582934902,-2.61456417800662,-0.0,1.0,-2.187752850312615,-2.146653181316661,0.0
2018-10-02,-1.2525711109052164,-2.6658019086444917,-0.0,1.0,-2.194755860279811,-2.152135643472621,0.0
2018-10-03,-1.2581274382314693,-2.679175181125766,-0.0,1.0,-2.1981237228311348,-2.153167378785064,0.0
2018-10-04,-1.265194395471838,-2.664099471095852,-0.0,1.0,-2.205530296000742,-2.144195972905261,0.0
2018-10-05,-1.2105847520355293,-2.641006661732051,-0.0,1.0,-2.226961509992598,-2.1739452257586973,0.0
2018-10-08,-1.2009794862317502,-2.6309369802254663,-0.0,1.0,-2.236555165403807,-2.1719645167251898,0.0
2018-10-09,-1.206922080325745,-2.6364057005367387,-0.0,1.0,-2.238848787710531,-2.1718489727928927,0.0
2018-10-10,-1.2212726428239666,-2.64375290292615,-0.0,1.0,-2.2538783093358106,-2.17045982350209,0.0
2018-10-11,-0.9611204382786958,-2.5679066890518687,-0.0,1.0,-2.142882389325793,-2.1642661482725103,0.0
2018-10-12,-0.9371790482711401,-2.4960629921259843,-0.0,1.0,-2.0540054775761725,-2.0713796644984597,0.0
2018-10-15,-0.881622586954673,-2.5261501828386765,-0.0,1.0,-2.0341865804915384,-2.062080108852794,0.0
2018-10-16,-0.8761580960475989,-2.5329366765830854,-0.0,1.0,-2.0313642158946026,-2.0594135146621335,0.0
2018-10-17,-0.7963023829087921,-2.3852095316351685,-0.0,1.0,-1.9848808545603944,-2.050534100246508,0.0
2018-10-18,-0.7948907507803515,-2.382865122391983,-0.0,1.0,-1.9862000985707244,-2.0502710694923607,0.0
2018-10-19,-0.7394971613949716,-2.34095701540957,-0.0,1.0,-1.9854014598540144,-2.0444444444444447,0.0
2018-10-22,-0.7427574454272499,-2.343666315020693,-0.0,1.0,-1.9846628256106467,-2.0438204982552945,0.0
2018-10-23,-0.7601205506231163,-2.354565447584915,-0.0,1.0,-1.983709375254541,-2.046916999266922,0.0
2018-10-24,-0.7569971440228478,-2.34859241126071,-0.0,1.0,-1.9932272541819664,-2.0611179110567113,0.0
2018-10-25,-0.6329663513723057,-2.183826949914715,-0.0,1.0,-1.9875174445650488,-1.9488292758567216,0.0
2018-10-26,-0.5838504616316028,-2.119948539427879,-0.0,1.0,-1.9644316633873162,-1.8995005297411836,0.0
2018-10-29,-0.5226501846687268,-2.151126856109143,-0.0,1.0,-1.943318007085249,-1.9204040099494986,0.0
2018-10-30,-0.49456685783278,-2.155599154844552,-0.0,1.0,-1.9481587684877755,-1.9477060066405072,0.0
2018-10-31,-0.49383724383724387,-2.0944460944460945,-0.0,1.0,-1.92003267003267,-1.916617166617167,0.0
2018-11-01,-0.5265606242496998,-2.0988145258103237,-0.0,1.0,-1.9422268907563023,-1.9354741896758705,0.0
2018-11-02,-0.5594770253929867,-2.0309854897218864,-0.0,1.0,-2.013830108827086,-1.953143893591294,0.0
2018-11-05,-0.5493578539402689,-2.0870126909339612,-0.0,1.0,-2.0300934721483395,-1.9328976365985258,0.0
2018-11-06,-0.5479942148131233,-2.087006165791277,-0.0,1.0,-2.036385780619624,-1.9407779553931648,0.0
2018-11-07,-0.5453301922638498,-2.0849608632874834,-0.0,1.0,-2.0313853636294548,-1.937761228056843,0.0
2018-11-08,-0.46935109647481477,-2.076191901803757,-0.0,1.0,-1.9971559015043785,-1.9416959808397574,0.0
2018-11-09,-0.47221801665404994,-2.1039364118092356,-0.0,1.0,-2.0296744890234675,-1.9642694928084785,0.0
