Date,CNC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3584070796460177,-0.6225458594619938,-0.08087675086444353,-0.44637519779640156,-0.4221121725370685,0.0
2018-09-25,1.0,-0.35976449222297074,-0.6211371159084916,-0.08316002226192916,-0.4450921233779548,-0.42007674507161896,0.0
2018-09-26,1.0,-0.3593411102643766,-0.6210211618500499,-0.08136467553783927,-0.44612814350196384,-0.42317838091330096,0.0
2018-09-27,1.0,-0.3600011717834544,-0.6185844855870635,-0.0820541363955941,-0.44589289899226625,-0.4228966486993203,0.0
2018-09-28,1.0,-0.3621569317382125,-0.61784541402768,-0.08204316209242318,-0.4466631480178278,-0.4234987098287591,0.0
2018-10-01,1.0,-0.3615203991781626,-0.6200469621367772,-0.08247725271499853,-0.446756677428823,-0.42433225711769884,0.0
2018-10-02,1.0,-0.36236903119772257,-0.6115105802248114,-0.08563965603263582,-0.4487717547618349,-0.42661344759780473,0.0
2018-10-03,1.0,-0.3620735177633702,-0.607973714319242,-0.08531111567459736,-0.44976090591721185,-0.4285504737876609,0.0
2018-10-04,1.0,-0.3642894844877133,-0.6036889332003988,-0.08583074306492289,-0.45267139757198993,-0.42589877426543904,0.0
2018-10-05,1.0,-0.3610753568921133,-0.6024163351275451,-0.08035923238942196,-0.45410133395740704,-0.4273929323660192,0.0
2018-10-08,1.0,-0.3598643235182315,-0.6003099505833503,-0.07564548671013772,-0.45998421006462176,-0.42825813620281294,0.0
2018-10-09,1.0,-0.36185404108386493,-0.6008954175689121,-0.0793585766957336,-0.45847720489260846,-0.4256452273658337,0.0
2018-10-10,1.0,-0.36273219248208277,-0.5998829896153284,-0.08032762907708059,-0.45885622348983474,-0.4234898347228317,0.0
2018-10-11,1.0,-0.32706380059455753,-0.6045620855248114,-0.02546878573061971,-0.4556082780699749,-0.4457466270294992,0.0
2018-10-12,1.0,-0.32979085189593604,-0.600861531485575,-0.021594966842373747,-0.44649436036955165,-0.4352434393243779,0.0
2018-10-15,1.0,-0.3249009620826259,-0.6085172608941709,-0.01386530843237125,-0.4463214487832485,-0.4360780984719864,0.0
2018-10-16,1.0,-0.32642369665562254,-0.6043666638348484,-0.0174723189760145,-0.4467759748534534,-0.43677965621725706,0.0
2018-10-17,1.0,-0.32831496420861267,-0.6093909782979207,-0.01778207021929326,-0.44821611180547666,-0.43691057834337005,0.0
2018-10-18,1.0,-0.3292686393223615,-0.6113242943634348,-0.016770415849464197,-0.4477132543134078,-0.4373383360336545,0.0
2018-10-19,1.0,-0.32026920031670625,-0.6037212984956453,-0.005485804773215699,-0.45611356181427437,-0.4421728311277005,0.0
2018-10-22,1.0,-0.3185792970302652,-0.6152120833569928,-0.014536369314632902,-0.4518482766452786,-0.4389869967633866,0.0
2018-10-23,1.0,-0.31770626030590776,-0.6168476715755956,-0.011002444987775062,-0.4557912094160459,-0.44166145448342525,0.0
