Date,IWF,IWM,MTUM,NAD,SPY,VLUE,VXX
2018-09-24,-0.09236476631365337,-0.2050225125245735,-0.0,1.0,-0.1635011731879003,-0.12450060244784071,0.0
2018-09-25,-0.09290197818919604,-0.2047616028404768,-0.0,1.0,-0.16331156479837686,-0.12411235100177528,0.0
2018-09-26,-0.09342653795552174,-0.2052403823291645,-0.0,1.0,-0.16329830234438156,-0.12316325074896571,0.0
2018-09-27,-0.09461878435534715,-0.20282921729212539,-0.0,1.0,-0.16346412786921602,-0.12321193783959321,0.0
2018-09-28,-0.09469330840292192,-0.20296629640780237,-0.0,1.0,-0.16355828804132533,-0.12334215405092776,0.0
2018-10-01,-0.09482075501600686,-0.20295413483787125,-0.0,1.0,-0.16365019493486324,-0.12341120162287235,0.0
2018-10-02,-0.09505010147133436,-0.20279997463216642,-0.0,1.0,-0.16390791476407915,-0.12373160832064943,0.0
2018-10-03,-0.09517239191803852,-0.2031433374567831,-0.0,1.0,-0.16393884606844927,-0.1237034922447426,0.0
2018-10-04,-0.09770069344166045,-0.1999555689553944,-0.0,1.0,-0.16739396055157968,-0.12177279867976325,0.0
2018-10-05,-0.09325762952448545,-0.195915148647583,-0.0,1.0,-0.16672186736061825,-0.12128381042504534,0.0
2018-10-08,-0.09166771633707016,-0.1939161103413528,-0.0,1.0,-0.16822017886383675,-0.12068585464164251,0.0
2018-10-09,-0.09311262658875781,-0.19430488400296095,-0.0,1.0,-0.16786102404989525,-0.11969823445104184,0.0
2018-10-10,-0.09236371661884794,-0.19522653466595202,-0.0,1.0,-0.16778068543683197,-0.1210707191726834,0.0
2018-10-11,-0.07855227055523013,-0.18705490643401054,-0.0,1.0,-0.15901593858864876,-0.11682646360637543,0.0
2018-10-12,-0.08125721577444249,-0.1813969739320654,-0.0,1.0,-0.15010329950780824,-0.10636811083429544,0.0
2018-10-15,-0.07401350655643378,-0.18674479876442263,-0.0,1.0,-0.14790587807758698,-0.1055237576087944,0.0
2018-10-16,-0.07250261209285422,-0.18916095034752192,-0.0,1.0,-0.14747346265085784,-0.10510455942700525,0.0
2018-10-17,-0.0681265936703165,-0.18018599070046498,-0.0,1.0,-0.1456577171141443,-0.10593970301484926,0.0
