Date,IWF,IWM,MTUM,OZK,SPY,VLUE,VXX
2018-09-24,-0.17916913391716272,-0.7910057032443045,-0.10000934958082713,1.0,-0.48611587247171756,-0.560226883161405,0.0
2018-09-25,-0.17797298987120172,-0.796079779917469,-0.09569213455045641,1.0,-0.4905589596098537,-0.5658059272227085,0.0
2018-09-26,-0.17815499077807995,-0.7963675013285816,-0.09622057582293912,1.0,-0.4903873206414705,-0.5649441995686016,0.0
2018-09-27,-0.1774597607565604,-0.8014655226404459,-0.09516502786998184,1.0,-0.4914198033443978,-0.5659485188200664,0.0
2018-09-28,-0.17568202461866134,-0.8032386381432643,-0.09568703605099133,1.0,-0.4914335828609015,-0.5660726031258809,0.0
2018-10-01,-0.17737386399247884,-0.8020996552804764,-0.09542463177687247,1.0,-0.49263553744907557,-0.5662801629583203,0.0
2018-10-02,-0.17756804214223004,-0.8063464191646809,-0.09444374764831306,1.0,-0.49187884108867436,-0.5653141853756428,0.0
2018-10-03,-0.1779682300496013,-0.7947196584416399,-0.09223331449739436,1.0,-0.49874427073522953,-0.5757204746656621,0.0
2018-10-04,-0.17686132535809854,-0.8015425783094602,-0.09217692428773808,1.0,-0.4971509523059972,-0.5803872186368645,0.0
2018-10-05,-0.16126700813876754,-0.7967193539264054,-0.07799390378028469,1.0,-0.5097885177387425,-0.5966125129623229,0.0
2018-10-08,-0.15981047412846341,-0.7949104145093979,-0.07606137625906054,1.0,-0.51096677021557,-0.5960965201292793,0.0
2018-10-09,-0.15719179158417398,-0.7972722416014582,-0.06781685050752648,1.0,-0.5166713805348669,-0.6036265359353886,0.0
2018-10-10,-0.15667043882811518,-0.7982207971834527,-0.06695586571105243,1.0,-0.5168489878033447,-0.6047717842323651,0.0
2018-10-11,-0.10800418358557895,-0.8104466592838687,-0.003906730650916698,1.0,-0.5162421557770395,-0.6375661375661376,0.0
2018-10-12,-0.10587446270158217,-0.8085845806785964,-0.0,1.0,-0.5058988507148736,-0.6281437673383533,0.0
