Date,IWF,IWM,MTUM,OTEX,SPY,VLUE,VXX
2018-09-24,-0.3639046610849132,-0.7222275687293491,-0.1303692297821833,1.0,-0.5331216116511084,-0.4583132839316075,0.0
2018-09-25,-0.3641670408621464,-0.7217589325806659,-0.13092565270382964,1.0,-0.5327153762268265,-0.4577907498877413,0.0
2018-09-26,-0.3641553609801469,-0.721799929439687,-0.13092145354244844,1.0,-0.5326982905160524,-0.4577119214856153,0.0
2018-09-27,-0.3658270845350253,-0.7164968275331667,-0.1323783887713901,1.0,-0.5324617060821637,-0.45731590078830997,0.0
2018-09-28,-0.3696901589340183,-0.7159736715363622,-0.13212393642639267,1.0,-0.5342109487879274,-0.4587895328303098,0.0
2018-10-01,-0.37285245479698864,-0.715494498423525,-0.13149089505179845,1.0,-0.5372562898140403,-0.46020204620037325,0.0
2018-10-02,-0.37279515900605126,-0.7189069138663576,-0.13084202394747005,1.0,-0.5366293292133385,-0.4596047379940775,0.0
2018-10-03,-0.37358600019336746,-0.7236456218376357,-0.13158658029585227,1.0,-0.5360146959296141,-0.4579586838119179,0.0
2018-10-04,-0.37693720398234365,-0.7179173244836807,-0.13219705512775076,1.0,-0.5403872796984245,-0.4545220221026517,0.0
2018-10-05,-0.3705285466572475,-0.7149187592319055,-0.1250401387194143,1.0,-0.543381927942971,-0.4572281805921264,0.0
2018-10-08,-0.369305248308807,-0.7128658908018338,-0.12327273893110191,1.0,-0.5442595620531563,-0.45634958802218584,0.0
2018-10-09,-0.370722006607435,-0.7133143022099625,-0.125926163517978,1.0,-0.5431568143182474,-0.4543413413734484,0.0
2018-10-10,-0.37040364499775397,-0.7143040492844768,-0.1250721940576269,1.0,-0.543380607071809,-0.45546428800616057,0.0
2018-10-11,-0.34399322119005776,-0.7096409741400954,-0.09220436856640724,1.0,-0.5341451167461713,-0.4583542555862416,0.0
2018-10-12,-0.3535450654425904,-0.7043297562185968,-0.09050307052912351,1.0,-0.5165932634451957,-0.4365423981142609,0.0
2018-10-15,-0.3543773655146739,-0.7042873983992057,-0.08993609232487434,1.0,-0.5174350065148601,-0.4362784637339455,0.0
2018-10-16,-0.35804696003731923,-0.6967190172601462,-0.09718550769709221,1.0,-0.5192971544083346,-0.4386254081791323,0.0
2018-10-17,-0.3478487694101762,-0.6720677591603756,-0.08927146627385994,1.0,-0.5164794697109188,-0.4431350886883938,0.0
2018-10-18,-0.3478180813846437,-0.6720984471859082,-0.08917940219726263,1.0,-0.5165408457619837,-0.4431350886883938,0.0
2018-10-19,-0.3405792682926829,-0.665030487804878,-0.0821341463414634,1.0,-0.5188719512195122,-0.44216463414634144,0.0
2018-10-22,-0.34061042168491024,-0.6649388663597281,-0.08287343354575114,1.0,-0.518523035643504,-0.44208311735829503,0.0
2018-10-23,-0.3438901601830664,-0.6651106025934401,-0.08924485125858124,1.0,-0.5134096109839817,-0.4394508009153318,0.0
2018-10-24,-0.34538801646592465,-0.6623875590791279,-0.08303094983991462,1.0,-0.5159018143009605,-0.4425369720994054,0.0
2018-10-25,-0.3211711310848091,-0.6264720714306902,-0.08006288748479724,1.0,-0.5214025095666103,-0.41728219275607364,0.0
2018-10-26,-0.31071218363743375,-0.6195997645673926,-0.06291936433195998,1.0,-0.535138316656857,-0.4145673925838729,0.0
2018-10-29,-0.30432614752896325,-0.6235225106320575,-0.05692916849978003,1.0,-0.532160140783106,-0.4161020677518698,0.0
