Date,IWF,IWM,MTUM,PBE,SPY,VLUE,VXX
2018-09-24,-0.32930880803824647,-0.5701050698214624,-0.19131350781946357,1.0,-0.32741809145666206,-0.2828782108419091,0.0
2018-09-25,-0.33281085317406695,-0.5683863470529417,-0.1960651839040078,1.0,-0.3257303461881469,-0.2794638272572494,0.0
2018-09-26,-0.3338109269822389,-0.5697061447379093,-0.19810224108566948,1.0,-0.3253494093157795,-0.27639155470249516,0.0
2018-09-27,-0.33404508351802803,-0.5687875020271366,-0.19836207362560138,1.0,-0.32531488188550733,-0.27633926158170713,0.0
2018-09-28,-0.33677003842615144,-0.5677599177355631,-0.1980570438924068,1.0,-0.3263246197975862,-0.2771283216972452,0.0
2018-10-01,-0.3368873975049387,-0.5675587908965443,-0.19811652639839794,1.0,-0.32641463480637567,-0.27718994398289715,0.0
2018-10-02,-0.3364415049333188,-0.5789331020275398,-0.1947847771874661,1.0,-0.32500271061476743,-0.27547977881383495,0.0
2018-10-03,-0.3375529718570031,-0.5868738454851679,-0.19577855047267195,1.0,-0.3238617842008041,-0.27241117027056394,0.0
2018-10-04,-0.33808631413129087,-0.5855400744180993,-0.1959857682174964,1.0,-0.3245878486650914,-0.2717890219723512,0.0
2018-10-05,-0.34436779101791515,-0.594388242030922,-0.1978021978021978,1.0,-0.32268971723066014,-0.26752651814686557,0.0
2018-10-08,-0.3434368191721133,-0.5927015250544662,-0.19588779956427013,1.0,-0.3242647058823529,-0.2669934640522876,0.0
2018-10-09,-0.3436180931891833,-0.5928487786280331,-0.1962092535606329,1.0,-0.3240107840200431,-0.2665504752049236,0.0
2018-10-10,-0.3430993132017878,-0.5945710236563828,-0.1948926196446092,1.0,-0.3241306006758966,-0.26869617355281805,0.0
2018-10-11,-0.3222463244155218,-0.5972255697490694,-0.16619801290806352,1.0,-0.3171313033930532,-0.27519348705176616,0.0
2018-10-12,-0.32754316069057104,-0.5953784860557769,-0.1658167330677291,1.0,-0.30560424966799465,-0.26167330677290834,0.0
2018-10-15,-0.3257782849863319,-0.5989277847076621,-0.16287587250192415,1.0,-0.3051036386315985,-0.2613126675336394,0.0
2018-10-16,-0.3260079093346073,-0.5981367943307588,-0.16346842901504896,1.0,-0.3051198343817183,-0.2613796215197601,0.0
2018-10-17,-0.3253625301556163,-0.5969353940775696,-0.16272103072559052,1.0,-0.30471090374062193,-0.26131332679409347,0.0
2018-10-18,-0.3249304174950298,-0.5962889330682571,-0.16304837640821737,1.0,-0.30520874751491056,-0.2612591119946985,0.0
2018-10-19,-0.3201371488856653,-0.5923513121455889,-0.15845971251483582,1.0,-0.30634313596202034,-0.2601872609785046,0.0
2018-10-22,-0.31831164709615994,-0.60105257590183,-0.16605839416058393,1.0,-0.3021792023696181,-0.2570612503966994,0.0
