Date,IWF,IWM,MTUM,OXFD,SPY,VLUE,VXX
2018-09-24,-0.6901851682933503,-1.392502052357931,-0.0751163002827693,1.0,-0.7773419684392958,-0.6256499133448873,0.0
2018-09-25,-0.6906487940546209,-1.3913737290840287,-0.0763233483791547,1.0,-0.7764555692335751,-0.624492773446405,0.0
2018-09-26,-0.7663421418636996,-1.531988873435327,-0.11096761374925491,1.0,-0.8769123783031989,-0.6810550367574012,0.0
2018-09-27,-0.7661057452952305,-1.539131733545753,-0.11032559992034252,1.0,-0.8793189286069899,-0.6837100467987653,0.0
2018-09-28,-0.7744391850174932,-1.6067091994237497,-0.11478699320847911,1.0,-0.9229265280922001,-0.7261782259724222,0.0
2018-10-01,-0.7741238227574494,-1.607328495702743,-0.11543410014924603,1.0,-0.9228552313313777,-0.7266738716483968,0.0
2018-10-02,-0.7800774193548387,-1.5799225806451611,-0.12681290322580646,1.0,-0.9350193548387096,-0.739458064516129,0.0
2018-10-03,-0.7810528493122351,-1.5642258765125658,-0.1239011273140966,1.0,-0.946116454648878,-0.7558692729341193,0.0
2018-10-04,-0.79905153994476,-1.5584449424149251,-0.12600969305331178,1.0,-0.9725884621397675,-0.7552764604721455,0.0
2018-10-05,-0.7829851210534501,-1.5515060397117526,-0.10570791642905282,1.0,-0.9808699258644824,-0.7632847737052205,0.0
2018-10-08,-0.7799503414028554,-1.5462962962962963,-0.09936892199462033,1.0,-0.9854645147941239,-0.7617421891164908,0.0
2018-10-09,-0.7772885043775579,-1.5500181318965964,-0.08920893125420919,1.0,-0.9929026576179868,-0.7711236595347873,0.0
2018-10-10,-0.7776396872248977,-1.5493760033141732,-0.08937911035161307,1.0,-0.9929055978457874,-0.7691471182227746,0.0
2018-10-11,-0.6884323672710834,-1.5614043899743837,-0.0,1.0,-0.9752373298508212,-0.7977798985383495,0.0
2018-10-12,-0.7071027944607138,-1.5592892242021144,-0.0,1.0,-0.9421750136496748,-0.7549014741648881,0.0
2018-10-15,-0.6573617952928298,-1.6196944817634473,-0.0,1.0,-0.9376026272577995,-0.761158381848037,0.0
2018-10-16,-0.6462462462462463,-1.653103103103103,-0.0,1.0,-0.9411411411411412,-0.7645145145145145,0.0
2018-10-17,-0.60953173166316,-1.5858981259480356,-0.0,1.0,-0.9269951558447914,-0.7706610559279738,0.0
2018-10-18,-0.6090926944226237,-1.5859190887666927,-0.0,1.0,-0.9382855459544384,-0.776413982717989,0.0
2018-10-19,-0.5906262154803579,-1.57341501361338,-0.0,1.0,-0.9322248152469855,-0.7656067677946324,0.0
2018-10-22,-0.5926953981008035,-1.5794984173362552,-0.0,1.0,-0.9316776235695154,-0.765863160457755,0.0
