Date,DSM,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.11291571384842537,-0.28408088301492695,-0.0,-0.22120388209662026,-0.18240092190791724,0.0
2018-09-25,1.0,-0.11367727534562211,-0.2836801555299539,-0.0,-0.22092813940092165,-0.1818296370967742,0.0
2018-09-26,1.0,-0.11250789070249796,-0.28352421318423665,-0.0,-0.22196771575435115,-0.18558932275227705,0.0
2018-09-27,1.0,-0.1149110313869008,-0.27936324794029094,-0.0,-0.22259279958174835,-0.18594169716418177,0.0
2018-09-28,1.0,-0.11444284168770286,-0.2799675441759827,-0.0,-0.22262892174540208,-0.18606202668589977,0.0
2018-10-01,1.0,-0.11410244827897732,-0.2825187460475201,-0.0,-0.22307344836931972,-0.18713524256933778,0.0
2018-10-02,1.0,-0.11509270302504608,-0.2790487549242835,-0.0,-0.22438469044779358,-0.18853229245726266,0.0
2018-10-03,1.0,-0.11537209806899545,-0.2802487886020105,-0.0,-0.22427135314963476,-0.18816446083749186,0.0
2018-10-04,1.0,-0.1175758014066427,-0.27707967961814534,-0.0,-0.22714205644650962,-0.1862445533276682,0.0
2018-10-05,1.0,-0.12354889188107283,-0.2846901270060774,-0.0,-0.22724626078096002,-0.18410422504457952,0.0
2018-10-08,1.0,-0.12488136088194493,-0.287398700445353,-0.0,-0.22753157625757464,-0.18540556326202817,0.0
2018-10-09,1.0,-0.12523268971055226,-0.2874402306821915,-0.0,-0.22734240975289266,-0.18500200751907145,0.0
2018-10-10,1.0,-0.12624281674724072,-0.2867463285597008,-0.0,-0.22791206786463558,-0.1834169479157165,0.0
2018-10-11,1.0,-0.11340982430978845,-0.28015417712441737,-0.0,-0.22013266403728937,-0.17906059519541054,0.0
2018-10-12,1.0,-0.12192530414917918,-0.2765942375462643,-0.0,-0.20804335121925305,-0.1643025376755388,0.0
2018-10-15,1.0,-0.11718984613753997,-0.2795668533272095,-0.0,-0.20638061085693088,-0.16334858414739706,0.0
2018-10-16,1.0,-0.11589415671589064,-0.2815834098777644,-0.0,-0.20598106408535297,-0.16295131774182153,0.0
2018-10-17,1.0,-0.10893196768508663,-0.2676100574060826,-0.0,-0.2034862417336986,-0.1648549144143358,0.0
2018-10-18,1.0,-0.10911185186477951,-0.2681722194104609,-0.0,-0.20311000191975426,-0.1648719872947172,0.0
2018-10-19,1.0,-0.10048981428596154,-0.2603977361233709,-0.0,-0.20515083856898073,-0.16475414092112778,0.0
2018-10-22,1.0,-0.10068392346982945,-0.26061812830058,-0.0,-0.20522898450350618,-0.16492078607912736,0.0
2018-10-23,1.0,-0.10233194259300937,-0.2606859062029327,-0.0,-0.2039367761369735,-0.16425739660336203,0.0
2018-10-24,1.0,-0.1018681888946549,-0.26059505275903827,-0.0,-0.20364988756270544,-0.16369140287147554,0.0
2018-10-25,1.0,-0.08439109794283021,-0.23760142756136154,-0.0,-0.2126864415339551,-0.14876603481364264,0.0
2018-10-26,1.0,-0.07513611009051739,-0.23215538261130966,-0.0,-0.21740873108654263,-0.1453622365476469,0.0
2018-10-29,1.0,-0.0718980349090667,-0.2321170069385514,-0.0,-0.2153446812758948,-0.1445781127805787,0.0
2018-10-30,1.0,-0.07359379421703593,-0.2322674079869492,-0.0,-0.21542123749438183,-0.14335891332212475,0.0
2018-10-31,1.0,-0.07516642930480576,-0.22528400622660882,-0.0,-0.21423839962905314,-0.14132414798132018,0.0
2018-11-01,1.0,-0.07209398527343426,-0.22741788698601803,-0.0,-0.21393232398444606,-0.1412261106974435,0.0
2018-11-02,1.0,-0.07382141150493515,-0.21866297559609144,-0.0,-0.21594410664557484,-0.1393708702028441,0.0
2018-11-05,1.0,-0.07408323032550473,-0.21806345282241452,-0.0,-0.21595385249278945,-0.14002472187886278,0.0
2018-11-06,1.0,-0.07233290965814364,-0.21718030405572705,-0.0,-0.21817071359006954,-0.14301513675904987,0.0
2018-11-07,1.0,-0.07244653620675419,-0.21729006688134753,-0.0,-0.21847906861530839,-0.14317562546445378,0.0
2018-11-08,1.0,-0.07145212888756967,-0.2168958807427196,-0.0,-0.2179842353484384,-0.14268988489825535,0.0
2018-11-09,1.0,-0.07018704417285461,-0.21861511237534523,-0.0,-0.22119503200092613,-0.14379744323349924,0.0
2018-11-12,1.0,-0.07052892561983472,-0.20735537190082645,-0.0,-0.23080991735537187,-0.1441818181818182,0.0
2018-11-13,1.0,-0.06386430678466076,-0.20399868895444118,-0.0,-0.23018682399213375,-0.14075712881022615,0.0
2018-11-14,1.0,-0.06359120641321989,-0.20439679339005556,-0.0,-0.2303480384924343,-0.14103509893604813,0.0
2018-11-15,1.0,-0.06339100119482136,-0.204347185622862,-0.0,-0.23117338003502627,-0.13781364060428497,0.0
2018-11-16,1.0,-0.06158420046719048,-0.20020582517928026,-0.0,-0.23086724275936424,-0.14085956515347045,0.0
2018-11-19,1.0,-0.06274400901710309,-0.19987911854550205,-0.0,-0.23023016482349676,-0.14067987650489244,0.0
2018-11-20,1.0,-0.05117419690128951,-0.19625166466365676,-0.0,-0.23102283431318413,-0.14561340825673175,0.0
2018-11-21,1.0,-0.05242007068962735,-0.1935410984328852,-0.0,-0.22954761866335274,-0.13842578396087862,0.0
2018-11-23,1.0,-0.05278266058152849,-0.19035946394878162,-0.0,-0.23078907900466059,-0.1387217984486123,0.0
2018-11-26,1.0,-0.05263751854001418,-0.19107499838782482,-0.0,-0.23026697620429484,-0.13819565357580446,0.0
