Date,IWF,IWM,MTUM,SPY,STBA,VLUE,VXX
2018-09-24,-0.13030908326324642,-0.7534693019343986,-0.05784798149705635,-0.3393082422203532,1.0,-0.34735071488645924,0.0
2018-09-25,-0.12906887721428761,-0.7594709469626969,-0.05290530373029911,-0.3446236701074474,1.0,-0.35391641806805885,0.0
2018-09-26,-0.12854347366194205,-0.7597313306536916,-0.04982018193357309,-0.346757986037656,1.0,-0.3595568013539243,0.0
2018-09-27,-0.12794300696522684,-0.7636325114542228,-0.048968457851108343,-0.34749331285256496,1.0,-0.36033793267830183,0.0
2018-09-28,-0.12487721999522153,-0.7691470439884254,-0.04958984841646977,-0.34906687196368363,1.0,-0.3620483686851257,0.0
2018-10-01,-0.12472118959107806,-0.769569835369092,-0.049840679766330324,-0.34899097185342537,1.0,-0.3622411046202868,0.0
2018-10-02,-0.12493341855757964,-0.7847022477894962,-0.04562160434643656,-0.34766165974219665,1.0,-0.36033876637903484,0.0
2018-10-03,-0.1248069857835046,-0.7814280389755603,-0.04531175123795325,-0.34862360896650874,1.0,-0.36212129279591077,0.0
2018-10-04,-0.12443378630428989,-0.7831867839062084,-0.04545696775912603,-0.3478816946442846,1.0,-0.36357580602184913,0.0
2018-10-05,-0.1150630391506304,-0.7816058394160584,-0.03792966157929662,-0.3513205043132051,1.0,-0.3683875248838753,0.0
2018-10-08,-0.11546331482022802,-0.7835029629826473,-0.038266322978395474,-0.3511466609975818,1.0,-0.36897770455209805,0.0
2018-10-09,-0.11305991004178531,-0.7856705613073218,-0.0307667740132542,-0.3562930827988183,1.0,-0.37569531312378573,0.0
2018-10-10,-0.11636896827512663,-0.7850973073846974,-0.03367102106105039,-0.35915755798453747,1.0,-0.3716608904292189,0.0
2018-10-11,-0.07770226284404864,-0.7916308621722262,-0.0,-0.3504934510324714,1.0,-0.3841626956227378,0.0
2018-10-12,-0.07166216777408638,-0.7958108388704318,-0.0,-0.34712416943521596,1.0,-0.3809177740863787,0.0
2018-10-15,-0.022159783703546626,-0.8741981657212532,-0.0,-0.3542119493187722,1.0,-0.40009542490590044,0.0
2018-10-16,-0.021044261860588387,-0.875907765703684,-0.0,-0.3538033395176252,1.0,-0.3996554465942221,0.0
2018-10-17,-0.017209069073824794,-0.8705624620582258,-0.0,-0.35199408768179064,1.0,-0.39966215324517645,0.0
2018-10-18,-0.016368340461481598,-0.86910607740641,-0.0,-0.35437457099107655,1.0,-0.40023232483235655,0.0
2018-10-19,-0.0,-0.8642879730157057,-0.0,-0.36389269526720774,1.0,-0.4069779698534837,0.0
2018-10-22,-0.0,-0.856932036788152,-0.0,-0.3678288138719794,1.0,-0.41049358315545365,0.0
2018-10-23,-0.0,-0.8607551274907798,-0.0,-0.3760779007137361,1.0,-0.4164610363766616,0.0
2018-10-24,-0.0,-0.8584415584415584,-0.0,-0.3751126424595812,1.0,-0.41683010866684334,0.0
2018-10-25,-0.0,-0.8385542796135719,-0.0,-0.36718485534984246,1.0,-0.39822409707574935,0.0
2018-10-26,-0.0,-0.8405044123022296,-0.0,-0.36917132264633695,1.0,-0.401153986736985,0.0
2018-10-29,-0.0,-0.8435411302696939,-0.0,-0.35778003172869366,1.0,-0.39936542612675874,0.0
2018-10-30,-0.0,-0.8414862614487927,-0.0,-0.3543921731890091,1.0,-0.40614592006661115,0.0
2018-10-31,-0.0,-0.8295813279511463,-0.0,-0.35421518397764323,1.0,-0.403793406820887,0.0
2018-11-01,-0.0,-0.8444150659719522,-0.0,-0.3471757783135028,1.0,-0.4006532389765923,0.0
2018-11-02,-0.0,-0.8144947843686751,-0.0,-0.37511028076184544,1.0,-0.40523639005656753,0.0
2018-11-05,-0.0,-0.823161554829,-0.0,-0.37477295137267114,1.0,-0.39693289739996884,0.0
2018-11-06,-0.0,-0.8240711913657119,-0.0,-0.3744292237442922,1.0,-0.3959111664591117,0.0
2018-11-07,-0.0,-0.8244074660574752,-0.0,-0.37522390384465615,1.0,-0.39638119467303545,0.0
2018-11-08,-0.0,-0.8217952024761414,-0.0,-0.3631931906112974,1.0,-0.39432550941449573,0.0
2018-11-09,-0.0,-0.8226510630602702,-0.0,-0.3659614043245757,1.0,-0.39476607507298045,0.0
2018-11-12,-0.0,-0.8112143758206112,-0.0,-0.37062018896583687,1.0,-0.39263187704348274,0.0
2018-11-13,-0.0,-0.8076716669648105,-0.0,-0.3634458613375585,1.0,-0.38440111420612816,0.0
2018-11-14,-0.0,-0.8073286656104666,-0.0,-0.36372463842183267,1.0,-0.38426943322941687,0.0
2018-11-15,-0.0,-0.8087934036669058,-0.0,-0.3634384922667213,1.0,-0.38845641708491246,0.0
2018-11-16,-0.0,-0.8115700359158544,-0.0,-0.3653412006157004,1.0,-0.3885069266290405,0.0
