Date,IWF,IWM,MTUM,PLAB,SPY,VLUE,VXX
2018-09-24,-0.5564445266614253,-1.1944688526106462,-0.16801553900938815,1.0,-0.7891134440179438,-0.9166165656939369,0.0
2018-09-25,-0.5556018711500162,-1.1979991663192997,-0.1651614098466954,1.0,-0.7922745588439627,-0.9205224399055163,0.0
2018-09-26,-0.5551075268817204,-1.1980904708935856,-0.16268075639599555,1.0,-0.7938913607712272,-0.925009269558769,0.0
2018-09-27,-0.5578347842192998,-1.1897110576032597,-0.16498425634376737,1.0,-0.7935728838673828,-0.9243841452120762,0.0
2018-09-28,-0.5567182146495046,-1.1902027965552366,-0.16566348735994071,1.0,-0.7933141957588665,-0.9241133438281321,0.0
2018-10-01,-0.556562137049942,-1.1985598141695704,-0.16687572590011615,1.0,-0.7957723577235772,-0.9279907084785134,0.0
2018-10-02,-0.5565739276077045,-1.2117335070252164,-0.16390620638317668,1.0,-0.7943612170838374,-0.9259328184609659,0.0
2018-10-03,-0.5562220982142857,-1.207728794642857,-0.16373697916666666,1.0,-0.7951078869047619,-0.9275018601190476,0.0
2018-10-04,-0.5580703629688154,-1.2030952270297903,-0.16452107635822838,1.0,-0.7971371473718455,-0.9246177441093089,0.0
2018-10-05,-0.5439603685355804,-1.1973702486226216,-0.14894208065188203,1.0,-0.8039261076901708,-0.9355988703180704,0.0
2018-10-08,-0.542977424130274,-1.1964285714285716,-0.14739082161361955,1.0,-0.8041728349370837,-0.9351868985936344,0.0
2018-10-09,-0.5431876012028684,-1.1968540365486928,-0.1476289613694194,1.0,-0.8039324543141337,-0.9348600508905852,0.0
2018-10-10,-0.5455975570258641,-1.1952065886272152,-0.15014111877111,1.0,-0.8054411696664046,-0.9305047887845279,0.0
2018-10-11,-0.47822350866084756,-1.2139206729682057,-0.04735199674370223,1.0,-0.8030392112523178,-0.9801456288725069,0.0
2018-10-12,-0.4922849859117134,-1.2100720067981574,-0.04078894404937609,1.0,-0.7765105773961268,-0.9528154210832327,0.0
2018-10-15,-0.47741676336695527,-1.2335535124520218,-0.019191288047844327,1.0,-0.7759975006694635,-0.9569311791484423,0.0
2018-10-16,-0.4701359329946451,-1.3223488489175708,-0.0,1.0,-0.8039269531786353,-0.9804567714769555,0.0
2018-10-17,-0.44532445324453246,-1.2774727747277475,-0.0,1.0,-0.7930429304293043,-0.9842048420484204,0.0
2018-10-18,-0.45451235607336277,-1.30255313339098,-0.0,1.0,-0.7979338278796705,-0.9960861056751468,0.0
2018-10-19,-0.429540520984081,-1.2889381331403762,-0.0,1.0,-0.8031385672937771,-1.000814037626628,0.0
2018-10-22,-0.4296691375881396,-1.2815042487796058,-0.0,1.0,-0.8058669318387273,-1.0029379858976677,0.0
2018-10-23,-0.42946255028703156,-1.2816073769380283,-0.0,1.0,-0.8060841658002983,-1.0030737241784566,0.0
2018-10-24,-0.4268744354110207,-1.2766485998193315,-0.0,1.0,-0.806594399277326,-1.006594399277326,0.0
2018-10-25,-0.3780615815255423,-1.2163226032190344,-0.0,1.0,-0.8130685794261722,-0.9662788663400979,0.0
2018-10-26,-0.3616846297017703,-1.1993680474397264,-0.0,1.0,-0.8132710037657447,-0.9540752283253257,0.0
