Date,IWF,IWM,MTUM,SGMO,SPY,VLUE,VXX
2018-09-24,-1.549872373846456,-2.938935794227371,-0.652267818574514,1.0,-1.880816807382682,-1.7955036324366778,0.0
2018-09-25,-1.5599134965103705,-2.936596874078443,-0.6651921753661653,1.0,-1.8789934139388575,-1.7892460434483435,0.0
2018-09-26,-1.5685694567682142,-2.9490288869170853,-0.675638371290545,1.0,-1.8835650202109828,-1.7823129251700678,0.0
2018-09-27,-1.5697685869030034,-2.939537173806007,-0.6766125061546036,1.0,-1.8815361890694238,-1.7799113737075332,0.0
2018-09-28,-1.579129232895646,-2.942541218284134,-0.6769671240991214,1.0,-1.8883404087274163,-1.7857636489288182,0.0
2018-10-01,-1.5795656465942745,-2.9407699901283317,-0.677492596248766,1.0,-1.8883514313919052,-1.7854886475814413,0.0
2018-10-02,-1.5797058533214885,-2.9379133353074725,-0.6791037409929919,1.0,-1.8882637449412694,-1.7856085282795382,0.0
2018-10-03,-1.597744736054286,-3.002295180121745,-0.6814689152779164,1.0,-1.9050992914878755,-1.7923360942021755,0.0
2018-10-04,-1.5997408035091218,-2.9927225600638026,-0.6825839896321404,1.0,-1.907187718073971,-1.786860731731632,0.0
2018-10-05,-1.5684252280840936,-2.978976596588655,-0.6472629908766362,1.0,-1.9189805632685442,-1.8030543435144786,0.0
2018-10-08,-1.5645065398335316,-2.972651605231867,-0.6350574712643677,1.0,-1.9321244550138723,-1.8044986127625842,0.0
2018-10-09,-1.5699116800635111,-2.979656643842414,-0.6403691574873475,1.0,-1.9322218914359433,-1.8014289967252157,0.0
2018-10-10,-1.5705783156432893,-2.978474357702609,-0.6407102469993056,1.0,-1.9321495883344908,-1.7977383196111498,0.0
2018-10-11,-1.4365991429684457,-3.034865601869887,-0.4225749902610051,1.0,-1.9402999610440204,-1.9045578496299185,0.0
2018-10-12,-1.470815243608297,-3.0327062228654125,-0.4116739025566811,1.0,-1.8900144717800287,-1.8425470332850942,0.0
2018-10-15,-1.431826923076923,-3.091923076923077,-0.35682692307692304,1.0,-1.8860576923076924,-1.8487500000000001,0.0
2018-10-16,-1.4286263577814093,-3.101509180044218,-0.3490339325194656,1.0,-1.8855137940978564,-1.8479284821686053,0.0
2018-10-17,-1.3741560390097525,-2.990810202550638,-0.3001687921980495,1.0,-1.860183795948987,-1.8521192798199548,0.0
2018-10-18,-1.372867054190887,-2.9890305644102755,-0.3004875304706544,1.0,-1.8613350834427151,-1.8518657416088504,0.0
2018-10-19,-1.3409534429885699,-2.966452931883654,-0.26354428027135024,1.0,-1.8693429978626523,-1.8524300715546882,0.0
2018-10-22,-1.343393072708701,-2.9544061658464114,-0.2556411923112638,1.0,-1.875011607391587,-1.8574612313120997,0.0
2018-10-23,-1.3444122864345065,-2.9749789935580244,-0.2379796470917748,1.0,-1.900569507982448,-1.8782559985062086,0.0
2018-10-24,-1.3573370839193624,-2.9770276605719648,-0.213033286451008,1.0,-1.9234880450070324,-1.9055789967182373,0.0
2018-10-25,-1.2545748116254039,-2.836383207750269,-0.17321492644420525,1.0,-1.9088625762468605,-1.7971833512737712,0.0
2018-10-26,-1.2184620836286322,-2.805811481218994,-0.12278525868178598,1.0,-1.9318745570517366,-1.7800318922749823,0.0
2018-10-29,-1.1786702365015618,-2.890138331102187,-0.06666666666666667,1.0,-1.9439535921463633,-1.8451584114234716,0.0
2018-10-30,-1.179342974468845,-2.892876272094269,-0.06463131583645777,1.0,-1.9451883592215677,-1.8449384038564542,0.0
2018-10-31,-1.2038028923406534,-2.84279592929834,-0.06472058560971256,1.0,-1.9647384395643637,-1.8509194786645242,0.0
2018-11-01,-1.1827411167512691,-2.864369044438507,-0.04239023955828658,1.0,-1.9643779499510197,-1.8517232166711195,0.0
2018-11-02,-1.1821482334189322,-2.8375099619233155,-0.03550872221730275,1.0,-1.9607721597449745,-1.8391038696537678,0.0
2018-11-05,-1.175221238938053,-2.8551327433628315,-0.035132743362831856,1.0,-1.9604424778761063,-1.8235398230088495,0.0
2018-11-06,-1.183651804670913,-2.860314932767162,-0.03211252653927813,1.0,-1.9551486199575372,-1.8151981599433828,0.0
2018-11-07,-1.1774378923172133,-2.858986826982583,-0.04358588984174697,1.0,-1.9487224825391212,-1.8122181946777471,0.0
2018-11-08,-1.1210213361315147,-2.866824064358167,-0.0,1.0,-1.9292584819867085,-1.827212311997202,0.0
2018-11-09,-1.12463844333421,-2.8736962047506354,-0.0,1.0,-1.933385923393812,-1.8332895082829346,0.0
2018-11-12,-1.1466762357584999,-2.9585538709966808,-0.0,1.0,-1.976316497712389,-1.889476989324482,0.0
2018-11-13,-1.0976410074494503,-2.9498935792834335,-0.0,1.0,-1.9572543455125933,-1.8636927988648457,0.0
2018-11-14,-1.1172928276110012,-2.9803163760560847,-0.0,1.0,-1.9964946971058781,-1.8938522380010787,0.0
2018-11-15,-1.1170589839134781,-3.01535944742343,-0.0,1.0,-2.0205398527674268,-1.9353812596564572,0.0
