Date,IWF,IWM,MTUM,SPGI,SPY,VLUE,VXX
2018-09-24,-0.32338718248485493,-0.3007492826017643,-0.2849133808056117,1.0,-0.39462217026251467,-0.3533584865554257,0.0
2018-09-25,-0.32295792243693683,-0.3015071369713724,-0.2840169054517424,1.0,-0.3952845485234311,-0.3542968023178544,0.0
2018-09-26,-0.32255223761108,-0.3028847436821178,-0.27865396418754834,1.0,-0.3997544898993942,-0.3647159288020709,0.0
2018-09-27,-0.3222904431393487,-0.3040843566470902,-0.2783769353977576,1.0,-0.399893219434063,-0.36486919380672717,0.0
2018-09-28,-0.31968045313668914,-0.307550496954152,-0.27872181254675643,1.0,-0.4003152719888853,-0.3655284813508603,0.0
2018-10-01,-0.33523549488054605,-0.32060068259385666,-0.27475767918088734,1.0,-0.42050511945392494,-0.37927645051194536,0.0
2018-10-02,-0.33904662815212333,-0.2996741779152863,-0.2825342934589163,1.0,-0.42877091148043694,-0.38797470087342223,0.0
2018-10-03,-0.34005431651715906,-0.3068334567799632,-0.2833785970976326,1.0,-0.4277562889199792,-0.38523578306312234,0.0
2018-10-04,-0.3432545125363472,-0.30199703736215505,-0.2836725736544687,1.0,-0.4320513523893126,-0.38218028199923193,0.0
2018-10-05,-0.3396814972910852,-0.2977343621736989,-0.2808515295791605,1.0,-0.43397362228424446,-0.38406391944398843,0.0
2018-10-08,-0.33847289428360533,-0.29533338800951364,-0.2773722627737226,1.0,-0.4382569233713333,-0.3843735476639602,0.0
2018-10-09,-0.3429722618133976,-0.29708913496327155,-0.2853853744107006,1.0,-0.435862295800899,-0.3796184628878413,0.0
2018-10-10,-0.3423089591567853,-0.2994345630215196,-0.28365173473869126,1.0,-0.4364020641194554,-0.3830149319279754,0.0
2018-10-11,-0.32050107758620694,-0.29194504310344827,-0.25786637931034484,1.0,-0.4319773706896552,-0.39172952586206905,0.0
2018-10-12,-0.3261629613814086,-0.28402145773839704,-0.2591475619845739,1.0,-0.4209613280311724,-0.37855293709466487,0.0
2018-10-15,-0.33518205931999034,-0.2731827559413766,-0.26881547571202746,1.0,-0.4235993891166305,-0.378506550920344,0.0
