Date,ARCH,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.46371546036906014,-1.3444880007648914,-0.0005736686107658476,-0.9302992637919495,-1.0414953628453962,0.0
2018-09-25,1.0,-0.4760165336922042,-1.3473997885225415,-0.012544458329328078,-0.9320868980101894,-1.038258194751514,0.0
2018-09-26,1.0,-0.48136181704200226,-1.3554998312195592,-0.019096301297198245,-0.9343202970535758,-1.0320200607609586,0.0
2018-09-27,1.0,-0.4827502429543245,-1.3769679300291546,-0.016909620991253642,-0.9426141885325559,-1.0398445092322643,0.0
2018-09-28,1.0,-0.48009527050017015,-1.379866815729354,-0.01793612987896758,-0.9427404851018326,-1.0401011033879357,0.0
2018-10-01,1.0,-0.48198220104070416,-1.378641248845013,-0.017944852404804746,-0.9440743082235082,-1.040412391188056,0.0
2018-10-02,1.0,-0.49965496845425866,-1.3438978706624605,-0.03800276025236593,-0.9759956624605678,-1.0715201104100947,0.0
2018-10-03,1.0,-0.4989902970004433,-1.334778111609122,-0.037088115056888145,-0.978328325863173,-1.0761463823080333,0.0
2018-10-04,1.0,-0.5015993307415973,-1.3282810885291079,-0.038187097091678564,-0.9810048718074897,-1.0719944884602135,0.0
2018-10-05,1.0,-0.4852609930467143,-1.3215160121437666,-0.020468122612868473,-0.9875134658701399,-1.081921457251983,0.0
2018-10-08,1.0,-0.48206781979869046,-1.316573829766442,-0.014560734877357567,-0.9918889866119418,-1.0811101338805824,0.0
2018-10-09,1.0,-0.47940313111545985,-1.3195205479452055,-0.00547945205479452,-0.9983855185909981,-1.0895792563600784,0.0
2018-10-10,1.0,-0.47918602944773275,-1.3196204079636062,-0.004940566453064619,-0.9985814215134764,-1.0893215281514455,0.0
2018-10-11,1.0,-0.36045245870604387,-1.304889015097733,-0.0,-0.959818259264518,-1.1077192484263334,0.0
2018-10-12,1.0,-0.37807627277850836,-1.3068758219049408,-0.0,-0.9335900807815143,-1.0780574863798609,0.0
2018-10-15,1.0,-0.3500585069038146,-1.3276386613620408,-0.0,-0.925906857009127,-1.0769482798970278,0.0
