Date,BAP,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.23782364176570456,-0.44582979626485564,-0.044434422750424446,-0.4713762733446519,-0.4533372241086587,0.0
2018-09-25,1.0,-0.23722782793414765,-0.44737121614445036,-0.0429368029739777,-0.4727031332979289,-0.4550982474774296,0.0
2018-09-26,1.0,-0.23936806829968882,-0.45062368680018083,-0.046357615894039736,-0.4728051277959521,-0.4504907045400144,0.0
2018-09-27,1.0,-0.24075796635394797,-0.44654104765195207,-0.04754564541419725,-0.4726393281420257,-0.45020862678395834,0.0
2018-09-28,1.0,-0.24043904642942568,-0.4467802375953438,-0.04783798867834268,-0.4724798681797645,-0.45012889680282775,0.0
2018-10-01,1.0,-0.245127876555075,-0.4476480324630252,-0.046772385071279836,-0.4773880079021838,-0.45272038015911154,0.0
2018-10-02,1.0,-0.24896909976972095,-0.42762277084560596,-0.05449044074331923,-0.48543351362930437,-0.4611203341723344,0.0
2018-10-03,1.0,-0.24872865478293452,-0.42409399925057545,-0.05414592366575666,-0.48643006263048016,-0.4630908409614046,0.0
2018-10-04,1.0,-0.24997993525776505,-0.4215736108510126,-0.054549345889403134,-0.48778726022633023,-0.4614088124347896,0.0
2018-10-05,1.0,-0.2476162495659838,-0.42039475441361074,-0.050666381773991076,-0.48951683982799604,-0.46264789936166234,0.0
2018-10-08,1.0,-0.24651324035307606,-0.4184111576308702,-0.048907970879223446,-0.49075975359342916,-0.46217232459532254,0.0
2018-10-09,1.0,-0.2479389557375737,-0.4186654571649636,-0.051732877991515706,-0.4895813879032043,-0.4601264640751314,0.0
2018-10-10,1.0,-0.2510219894728405,-0.4178534213268496,-0.054452667860100994,-0.4922382237422182,-0.4563016004488738,0.0
2018-10-11,1.0,-0.22525793391667753,-0.4110487135954029,-0.021992947629619956,-0.48786731095729396,-0.4658221235470811,0.0
2018-10-12,1.0,-0.22871612019740073,-0.40384466320440277,-0.01976590961940935,-0.4777665814019585,-0.4536857607937369,0.0
