Date,ET,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3059359334882015,-0.6929942535762318,-0.029526837021640787,-0.5125015283041937,-0.5156192688592738,0.0
2018-09-25,1.0,-0.3066792960156441,-0.6919762894157907,-0.030952089953556586,-0.5115802982155951,-0.5142996822292838,0.0
2018-09-26,1.0,-0.30630961115187083,-0.6918561995597945,-0.02937759843482514,-0.512472487160675,-0.5169356810956224,0.0
2018-09-27,1.0,-0.3054602279691139,-0.6982473342321364,-0.028128447113616867,-0.5138803774972424,-0.5183846059566124,0.0
2018-09-28,1.0,-0.3046848668688911,-0.69871618102154,-0.02858718632227227,-0.5136807917394368,-0.5183074424732665,0.0
2018-10-01,1.0,-0.3041140504501183,-0.703905121823824,-0.0292500076811995,-0.514701815835561,-0.5205088026546226,0.0
2018-10-02,1.0,-0.31841480185023124,-0.6696149518689836,-0.04594324290536317,-0.5430366295786972,-0.5483810476309539,0.0
2018-10-03,1.0,-0.3188129338920508,-0.6719619738570266,-0.04646944774532491,-0.5425605103508662,-0.5473450497216836,0.0
2018-10-04,1.0,-0.3233546046046046,-0.6655405405405405,-0.04714089089089089,-0.5486736736736736,-0.5434184184184184,0.0
2018-10-05,1.0,-0.31704502931271045,-0.6626855432206561,-0.039447424223525006,-0.5518897343145814,-0.547305725333666,0.0
2018-10-08,1.0,-0.31543059966373993,-0.6598791954667164,-0.03586773771716794,-0.5552338252693193,-0.5470452705647922,0.0
2018-10-09,1.0,-0.31771011873227584,-0.6606625323319517,-0.04013836517186575,-0.5536476674249743,-0.54417401601795,0.0
2018-10-10,1.0,-0.31998004800947716,-0.6593821117934969,-0.04236680487576768,-0.5552888362378028,-0.5404807182716588,0.0
2018-10-11,1.0,-0.2806494770128922,-0.6567745074191195,-0.0,-0.5474337144247142,-0.5557650206762345,0.0
2018-10-12,1.0,-0.28215155982070333,-0.6504316957973587,-0.0,-0.5344002887999759,-0.5413796215516983,0.0
2018-10-15,1.0,-0.277694295846607,-0.6531225581535133,-0.0,-0.5334495401815231,-0.5410831279677827,0.0
2018-10-16,1.0,-0.2740825343392143,-0.6590724655105047,-0.0,-0.5324456734092753,-0.5400198370953683,0.0
2018-10-17,1.0,-0.25285035629453684,-0.6234857482185273,-0.0,-0.5349465558194775,-0.5578384798099763,0.0
2018-10-18,1.0,-0.25203421037001844,-0.6219041396923443,-0.0,-0.5373285027023816,-0.5583833224446161,0.0
2018-10-19,1.0,-0.24107511653980054,-0.6136189296040597,-0.0,-0.5378533073700359,-0.5577978403257213,0.0
2018-10-22,1.0,-0.2410978350881344,-0.6016503016680469,-0.0,-0.5478824086123271,-0.5668993256831895,0.0
2018-10-23,1.0,-0.23356768885564697,-0.612415856394914,-0.0,-0.5655946148092745,-0.5801645474943905,0.0
2018-10-24,1.0,-0.23328830856971333,-0.6193306318475161,-0.0,-0.5679723848116464,-0.5810595827705238,0.0
2018-10-25,1.0,-0.2170455884085287,-0.5961832960301567,-0.0,-0.566438920956532,-0.5652903757804218,0.0
2018-10-26,1.0,-0.2090643274853801,-0.5882163742690057,-0.0,-0.5671637426900584,-0.55953216374269,0.0
2018-10-29,1.0,-0.19747189374963595,-0.591425409215355,-0.0,-0.5618920020970467,-0.561775499504864,0.0
2018-10-30,1.0,-0.22766817069214665,-0.6022589872895102,-0.0,-0.5711757940369813,-0.5479961072281695,0.0
2018-10-31,1.0,-0.23104883625491002,-0.5870903441402358,-0.0,-0.5692091223544585,-0.5439995309843466,0.0
2018-11-01,1.0,-0.24977843426883306,-0.5797636632200887,-0.0,-0.5757754800590841,-0.5488921713441653,0.0
2018-11-02,1.0,-0.25194973365902473,-0.5673798522616911,-0.0,-0.5778274816798611,-0.5458665646428676,0.0
2018-11-05,1.0,-0.2520822909615328,-0.567060070047385,-0.0,-0.5778320628660565,-0.546193012920505,0.0
2018-11-06,1.0,-0.24741689791580562,-0.5651532148550511,-0.0,-0.5846076636948693,-0.5549093700183031,0.0
2018-11-07,1.0,-0.24665013871672276,-0.5662003423646774,-0.0,-0.5835251756094681,-0.5550439761525293,0.0
2018-11-08,1.0,-0.2351577402787968,-0.5649303008070433,-0.0,-0.578459280997799,-0.5561555392516508,0.0
2018-11-09,1.0,-0.23416123539428102,-0.5653514180024661,-0.0,-0.5801479654747226,-0.5561916505196407,0.0
2018-11-12,1.0,-0.2336355367778658,-0.564064196226858,-0.0,-0.5804653346242994,-0.5558489569580143,0.0
2018-11-13,1.0,-0.2175356830760268,-0.5600349548499854,-0.0,-0.5818526070492281,-0.5535100495193708,0.0
2018-11-14,1.0,-0.2149815151692976,-0.5694794906402206,-0.0,-0.5886391643682882,-0.5610292823191126,0.0
2018-11-15,1.0,-0.2143865012640367,-0.5705802810276912,-0.0,-0.5890704920924217,-0.5655535304838615,0.0
2018-11-16,1.0,-0.21309310719211247,-0.5662724845212594,-0.0,-0.5878693623639192,-0.5671527920420201,0.0
2018-11-19,1.0,-0.21309936029109688,-0.5662891014730911,-0.0,-0.5878866130641469,-0.5671694348259874,0.0
2018-11-20,1.0,-0.17162892622352083,-0.5599999999999999,-0.0,-0.5967859751643535,-0.5934258582907231,0.0
