Date,IWF,IWM,MMYT,MTUM,SPY,VLUE,VXX
2018-09-24,-1.2960417356740643,-2.3916031798608812,1.0,-0.2352600198741305,-1.8323948327260682,-1.5255051341503807,0.0
2018-09-25,-1.2961643608648827,-2.3925109767210673,1.0,-0.23535746831248447,-1.8333195261370225,-1.5268826112169662,0.0
2018-09-26,-1.3072541464231866,-2.4174066007706485,1.0,-0.22784385994303902,-1.8601105712849724,-1.5639973194840007,0.0
2018-09-27,-1.4219349086045474,-2.531609451627285,1.0,-0.26170307623718236,-2.004547481052162,-1.6968345965225144,0.0
2018-09-28,-1.4200770126264888,-2.5505507298289603,1.0,-0.2644398674666428,-2.01361153398406,-1.7062774245544907,0.0
2018-10-01,-1.4260971013192139,-2.5527236830297046,1.0,-0.264829938077717,-2.0201023063806876,-1.7106703760208204,0.0
2018-10-02,-1.4260604430095956,-2.541834813021254,1.0,-0.2692135234508116,-2.0196394942157654,-1.711146982333423,0.0
2018-10-03,-1.4261501210653753,-2.541027710519236,1.0,-0.2710070845664066,-2.0188323917137474,-1.710788270110304,0.0
2018-10-04,-1.4355938284894152,-2.5271797631862216,1.0,-0.27341227125941875,-2.0308575529242914,-1.7031754574811626,0.0
2018-10-05,-1.399002493765586,-2.5041859636622728,1.0,-0.23129675810473815,-2.0487174919843247,-1.7230138938368365,0.0
2018-10-08,-1.3888839720329231,-2.4850871758562705,1.0,-0.22515266837773257,-2.0406230639879634,-1.710682361270909,0.0
2018-10-09,-1.3877876106194689,-2.48575221238938,1.0,-0.221858407079646,-2.041946902654867,-1.7121238938053096,0.0
2018-10-10,-1.3876160990712076,-2.484829721362229,1.0,-0.22131800088456435,-2.0416629809818665,-1.7103936311366652,0.0
2018-10-11,-1.2133705650459923,-2.371222076215506,1.0,-0.0445137976346912,-1.9229632063074902,-1.6606438896189224,0.0
2018-10-12,-1.2217774219375501,-2.3285028022417933,1.0,-0.026261008807045638,-1.8532425940752604,-1.5767013610888712,0.0
