Date,ACEL,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.08274937347359011,-0.19641802480565712,-0.0,-0.1716283301674462,-0.14544990183089376,0.0
2018-09-25,1.0,-0.0831231844734574,-0.19625243400261755,-0.0,-0.1714974303316628,-0.14519424138921697,0.0
2018-09-26,1.0,-0.08319634848944286,-0.19630061124499273,-0.0,-0.17146778595253676,-0.14497518313410684,0.0
2018-09-27,1.0,-0.08435675779131711,-0.19396152987336118,-0.0,-0.17161631949982456,-0.14501260008293726,0.0
2018-09-28,1.0,-0.08439559037028765,-0.19414176544726475,-0.0,-0.17171072573826202,-0.14513169860085193,0.0
2018-10-01,1.0,-0.0844450118082594,-0.1942937384310972,-0.0,-0.1717463458224293,-0.1452256334971596,0.0
2018-10-02,1.0,-0.08497869148138099,-0.19284608386139088,-0.0,-0.17239948284943576,-0.14591945858805128,0.0
2018-10-03,1.0,-0.08478146392838336,-0.19089792075574066,-0.0,-0.1729937606714858,-0.14707900489891013,0.0
2018-10-04,1.0,-0.08564408564408564,-0.18954018954018953,-0.0,-0.17403235585053767,-0.14623950987587353,0.0
2018-10-05,1.0,-0.07339391142443387,-0.1828959722465348,-0.0,-0.18044526488327314,-0.1546332691481405,0.0
2018-10-08,1.0,-0.07473411899971256,-0.18552585353390183,-0.0,-0.1806872983935358,-0.15593561368209255,0.0
2018-10-09,1.0,-0.07594512146427944,-0.1858139943460414,-0.0,-0.1803357237546118,-0.15506859816965068,0.0
2018-10-10,1.0,-0.07644664378641552,-0.1852502194907814,-0.0,-0.18054114454465642,-0.15405858408492298,0.0
2018-10-11,1.0,-0.0527351924477996,-0.17517942676442777,-0.0,-0.169040938754631,-0.15316767683030802,0.0
2018-10-12,1.0,-0.05413749885366674,-0.16932106502002264,-0.0,-0.160884052211659,-0.14410173325589218,0.0
2018-10-15,1.0,-0.04762847957582315,-0.17369311169685983,-0.0,-0.15889872472689043,-0.14340347081498636,0.0
2018-10-16,1.0,-0.044810026224309324,-0.17872171738732695,-0.0,-0.15833689089467584,-0.1428005122888333,0.0
