Date,HSIC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3077421113610032,-0.7514823144551217,-0.0,-0.6642131806719825,-0.6842159067675322,0.0
2018-09-25,1.0,-0.304946089337669,-0.7580010268697587,-0.0,-0.6691767927434537,-0.6907752866678075,0.0
2018-09-26,1.0,-0.3076527815839956,-0.7608933954508085,-0.0,-0.6697725404220334,-0.6873115922170457,0.0
2018-09-27,1.0,-0.3134507331780184,-0.7521926819240784,-0.0,-0.67181718514458,-0.6886049061258052,0.0
2018-09-28,1.0,-0.3133029565932372,-0.7524409880434411,-0.0,-0.6716913905923465,-0.6885127959162699,0.0
2018-10-01,1.0,-0.31419173576372234,-0.7515932296306448,-0.0,-0.6721030631124512,-0.6884465154526143,0.0
2018-10-02,1.0,-0.32440435201762846,-0.7275857319928385,-0.0,-0.6875430381490154,-0.70351879906349,0.0
2018-10-03,1.0,-0.32445178835760263,-0.7265310337705255,-0.0,-0.6876312437605425,-0.7038796516231195,0.0
2018-10-04,1.0,-0.326165491140547,-0.7233098228109409,-0.0,-0.6892826423533459,-0.7018062962325821,0.0
2018-10-05,1.0,-0.3048311830908592,-0.7128053801811695,-0.0,-0.6987029920395279,-0.714932747735383,0.0
2018-10-08,1.0,-0.3014983847687126,-0.7107704996907004,-0.0,-0.7076775036084954,-0.7167502921162966,0.0
2018-10-09,1.0,-0.3094901582267572,-0.7152263090764934,-0.0,-0.7082284808162983,-0.714261091385432,0.0
2018-10-10,1.0,-0.31363008971704626,-0.7146997929606625,-0.0,-0.7116287094547964,-0.7106970324361629,0.0
2018-10-11,1.0,-0.24193278155681402,-0.6988908621787354,-0.0,-0.6892068491773616,-0.7208725664309888,0.0
2018-10-12,1.0,-0.2380636164419948,-0.6917790025898134,-0.0,-0.6796932067202337,-0.7107377647918188,0.0
2018-10-15,1.0,-0.21679803934556538,-0.7088825594488972,-0.0,-0.6753328475856131,-0.7109359475392462,0.0
2018-10-16,1.0,-0.21046523195278044,-0.7213250654905992,-0.0,-0.6743376330536858,-0.7098517757071326,0.0
2018-10-17,1.0,-0.18722639660241752,-0.681313296308396,-0.0,-0.6736360666448873,-0.7246978111728194,0.0
2018-10-18,1.0,-0.18629410030464835,-0.6801192387067186,-0.0,-0.6813640383922429,-0.7279785108264816,0.0
2018-10-19,1.0,-0.18041000785957556,-0.6812942101126539,-0.0,-0.6831936075451925,-0.7299580822635576,0.0
2018-10-22,1.0,-0.18127026761439943,-0.6820727832552654,-0.0,-0.6827278980641357,-0.7295358511579154,0.0
2018-10-23,1.0,-0.18158592905571386,-0.6819953489895515,-0.0,-0.6824211457207429,-0.7293242933411942,0.0
2018-10-24,1.0,-0.1792514558659949,-0.6786625662500818,-0.0,-0.6828502257410194,-0.7308447294379377,0.0
2018-10-25,1.0,-0.14569116013331218,-0.6347563878749405,-0.0,-0.6898904935724488,-0.703761307728932,0.0
2018-10-26,1.0,-0.1324805129494594,-0.623114156399296,-0.0,-0.6922303243650993,-0.6952476741262258,0.0
2018-10-29,1.0,-0.12015528144762382,-0.6252582806336485,-0.0,-0.6877152338613738,-0.6975455513117527,0.0
2018-10-30,1.0,-0.09983052975144363,-0.6290484559377354,-0.0,-0.6918465980416771,-0.7176123524981171,0.0
2018-10-31,1.0,-0.10114676749054778,-0.6199418804487079,-0.0,-0.689310377152142,-0.714308033621848,0.0
2018-11-01,1.0,-0.08194622279129321,-0.636051341307267,-0.0,-0.689516254957684,-0.7154992036476063,0.0
2018-11-02,1.0,-0.08452499378264113,-0.620834369559811,-0.0,-0.6917122606316837,-0.7116078090027356,0.0
2018-11-05,1.0,-0.08562719666573357,-0.618518864109981,-0.0,-0.6919224907467886,-0.7142235078224627,0.0
2018-11-06,1.0,-0.08414269704893536,-0.61741999750965,-0.0,-0.6941227742497821,-0.7172518988917943,0.0
2018-11-07,1.0,-0.08342953417990077,-0.6219774734017659,-0.0,-0.6949237153286949,-0.7196967333312533,0.0
2018-11-08,1.0,-0.0846752759450924,-0.6234013945780307,-0.0,-0.6980081923642163,-0.7207717082017449,0.0
2018-11-09,1.0,-0.08495669303649042,-0.6233701260123199,-0.0,-0.6979143866670836,-0.7206153653731904,0.0
2018-11-12,1.0,-0.0839309097711542,-0.6156388351936147,-0.0,-0.6995073891625615,-0.7187129762424393,0.0
2018-11-13,1.0,-0.058728931498376366,-0.6112262254522962,-0.0,-0.7041595794031235,-0.7184784289469615,0.0
2018-11-14,1.0,-0.05937287401818294,-0.6106438246026347,-0.0,-0.7041561011812728,-0.7181334652730533,0.0
2018-11-15,1.0,-0.05863262656858503,-0.6132472028188168,-0.0,-0.7099276750942697,-0.7090313407924832,0.0
2018-11-16,1.0,-0.05614132445431003,-0.6059625107904798,-0.0,-0.708379578246393,-0.712510790479714,0.0
2018-11-19,1.0,-0.057739141157248985,-0.6054132371528099,-0.0,-0.7074200807669779,-0.7121366256666358,0.0
2018-11-20,1.0,-0.014233565446792846,-0.5982698855793123,-0.0,-0.7164023436301727,-0.7386729654283873,0.0
