Date,IWF,IWM,MTUM,SHW,SPY,VLUE,VXX
2018-09-24,-0.34903835822499196,-0.41243150316965727,-0.11813688621467712,1.0,-0.4475932094122703,-0.3589502524981197,0.0
2018-09-25,-0.3485271984519458,-0.413405719200172,-0.11709847344657062,1.0,-0.4484250698774457,-0.3601107288755106,0.0
2018-09-26,-0.3480157234397718,-0.41365569974691724,-0.11377954875881752,1.0,-0.4507296322222821,-0.36618921975122504,0.0
2018-09-27,-0.34791038345540715,-0.4140725980180956,-0.11374407582938388,1.0,-0.4507755277897458,-0.36627531236535976,0.0
2018-09-28,-0.34538791128836677,-0.4171764262038859,-0.11425799671238784,1.0,-0.4510765582473255,-0.3668382333126735,0.0
2018-10-01,-0.34575686528148325,-0.416767725766028,-0.1142911041043469,1.0,-0.4512625650146872,-0.36683105613496103,0.0
2018-10-02,-0.3463663064859475,-0.41017488076311603,-0.11675783460429523,1.0,-0.4526959661555873,-0.36862385815526394,0.0
2018-10-03,-0.3464036435173956,-0.4105963834316975,-0.11693211523432236,1.0,-0.452556121486512,-0.3684210526315789,0.0
2018-10-04,-0.35933761148575155,-0.40499238633891665,-0.11711442244942354,1.0,-0.47193822057863827,-0.36575484011311726,0.0
2018-10-05,-0.35303202731263206,-0.39939305262017016,-0.10987373326830327,1.0,-0.47683303527881643,-0.37042757275239796,0.0
2018-10-08,-0.351912035532445,-0.3972484021232803,-0.10554111147221318,1.0,-0.48239627342649766,-0.37116780413822986,0.0
2018-10-09,-0.35088432057636576,-0.39757861379702614,-0.1026245226293979,1.0,-0.48408764659678777,-0.37336475176728695,0.0
2018-10-10,-0.35356579929762466,-0.4221718330890689,-0.09285734037552194,1.0,-0.4974144844177751,-0.3992478500124437,0.0
2018-10-11,-0.3289936664320901,-0.417230552698533,-0.056704379364477885,1.0,-0.49407243003302115,-0.40962485790071995,0.0
2018-10-12,-0.3330829488142505,-0.4110687842043138,-0.05394892155810709,1.0,-0.4860768322781414,-0.39848696212039925,0.0
2018-10-15,-0.3196514745308311,-0.43603217158176943,-0.033324396782841825,1.0,-0.48831099195710453,-0.40367292225201074,0.0
2018-10-16,-0.3209131391169054,-0.4324266323300607,-0.036455818445195555,1.0,-0.4885723483019475,-0.4041794087665647,0.0
2018-10-17,-0.3172097488133966,-0.42299077382539596,-0.03343821662844648,1.0,-0.4874406698309423,-0.4054450429310436,0.0
2018-10-18,-0.3186428914633495,-0.42573808125567236,-0.03205915327531899,1.0,-0.4867866104319043,-0.406144893492072,0.0
2018-10-19,-0.31274213235684345,-0.4179801517805021,-0.024916414583665024,1.0,-0.4909515469935785,-0.40691503476091917,0.0
2018-10-22,-0.31241705154748634,-0.41922811488028877,-0.026623135318787492,1.0,-0.4898869246695333,-0.40622179752614535,0.0
2018-10-23,-0.3133956055620422,-0.4187718925804055,-0.029030888440717547,1.0,-0.48758093620634746,-0.4048667869652903,0.0
2018-10-24,-0.31395996287949096,-0.41699589022935174,-0.02585178311016837,1.0,-0.48871801670422915,-0.40591276680365906,0.0
2018-10-25,-0.3019541427826994,-0.3967952058363732,-0.023658155289213133,1.0,-0.49072433559145395,-0.39239187076602405,0.0
2018-10-26,-0.2799409237379162,-0.4243823845327605,-0.0,1.0,-0.5609828141783029,-0.41997851772287864,0.0
2018-10-29,-0.2582797427652733,-0.43756698821007506,-0.0,1.0,-0.5539389067524116,-0.4297427652733119,0.0
2018-10-30,-0.2592523114029211,-0.4376256197239716,-0.0,1.0,-0.5539595336995846,-0.42904997990084415,0.0
2018-10-31,-0.2571560731388768,-0.46060078363082285,-0.0,1.0,-0.5633979103178058,-0.43975838049629956,0.0
2018-11-01,-0.26342620358759067,-0.4572269778092798,-0.0,1.0,-0.5647729131454119,-0.4407338749250314,0.0
2018-11-02,-0.2663463887305594,-0.44192926743207667,-0.0,1.0,-0.5684119099964715,-0.4375322313600956,0.0
