Date,AVLR,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-02-13,1.0,-0.0,-1.38122962272939,-0.0,-2.7564042850489057,-2.625135848470735,0.0
2019-02-14,1.0,-0.0,-1.4635854341736694,-0.0,-2.9158016147635526,-2.8592848904267587,0.0
2019-02-15,1.0,-0.0,-1.46263491801928,-0.0,-2.916618604267941,-2.8600148306830353,0.0
2019-02-19,1.0,-0.0,-1.421529838443785,-0.0,-2.9563138806462246,-2.8649027365644577,0.0
2019-02-20,1.0,-0.0,-1.4244176441434,-0.0,-2.9735668263670907,-2.8623822897736657,0.0
2019-02-21,1.0,-0.0,-1.4196266314224353,-0.0,-2.976870973071204,-2.86395175945812,0.0
2019-02-22,1.0,-0.0,-1.4300638421358096,-0.0,-2.999502528811873,-2.8616200978360005,0.0
2019-02-25,1.0,-0.0,-1.417384105960265,-0.0,-2.9973509933774833,-2.8634933774834437,0.0
2019-02-26,1.0,-0.0,-1.4216847510974902,-0.0,-3.0014081007206164,-2.8598525635716063,0.0
2019-02-27,1.0,-0.0,-1.408374792703151,-0.0,-3.014676616915423,-2.8688225538971808,0.0
2019-02-28,1.0,-0.0,-1.4202357237715804,-0.0,-3.0232403718459495,-2.856656706507304,0.0
2019-03-01,1.0,-0.0,-1.4218646317186463,-0.0,-3.027455209024552,-2.845388188453882,0.0
2019-03-04,1.0,-0.0,-1.4029194658704487,-0.0,-3.026374720079622,-2.864642946006469,0.0
2019-03-05,1.0,-0.0,-1.3906237057897788,-0.0,-3.0352853474695602,-2.8570363621303736,0.0
2019-03-06,1.0,-0.0,-1.387088754454297,-0.0,-3.047236264191597,-2.852738874616723,0.0
2019-03-07,1.0,-0.0,-1.3184297520661157,-0.0,-3.10702479338843,-2.83900826446281,0.0
2019-03-08,1.0,-0.0,-1.3172949735449737,-0.0,-3.108713624338624,-2.8411871693121693,0.0
2019-03-11,1.0,-0.0,-1.3184260560469538,-0.0,-3.106968669918162,-2.8411176324708607,0.0
2019-03-12,1.0,-0.0,-1.2775908755230985,-0.0,-3.0983835234266017,-2.8295724952818575,0.0
2019-03-13,1.0,-0.0,-1.2788942662619964,-0.0,-3.095562300057419,-2.82831597079813,0.0
2019-03-14,1.0,-0.0,-1.2818412646408386,-0.0,-3.086575477107052,-2.8222622655418133,0.0
2019-03-15,1.0,-0.0,-1.2809761690279258,-0.0,-3.087789697813447,-2.8204897223814593,0.0
2019-03-18,1.0,-0.0,-1.294802426627316,-0.0,-3.0920642728316117,-2.8111985571405147,0.0
2019-03-19,1.0,-0.0,-1.2890144998771196,-0.0,-3.0953551241091177,-2.80765134758745,0.0
2019-03-20,1.0,-0.0,-1.2800557651303919,-0.0,-3.102673445957028,-2.8180252583237655,0.0
2019-03-21,1.0,-0.0,-1.2777185937884128,-0.0,-3.145701876587724,-2.771203802343686,0.0
2019-03-22,1.0,-0.0,-1.2681236239093208,-0.0,-3.1558346244801436,-2.730734730490092,0.0
2019-03-25,1.0,-0.0,-1.0765347010738902,-0.0,-3.2102099695464013,-2.7274402949190577,0.0
2019-03-26,1.0,-0.0,-1.0788524721532173,-0.0,-3.209231508935011,-2.7253786361086627,0.0
2019-03-27,1.0,-0.0,-1.0637838701942293,-0.0,-3.2120533930141475,-2.717048996882743,0.0
2019-03-28,1.0,-0.0,-1.0644414277728977,-0.0,-3.206899305278288,-2.713966302004312,0.0
2019-03-29,1.0,-0.0,-1.0586732657459885,-0.0,-3.207950826215375,-2.716133152390836,0.0
2019-04-01,1.0,-0.0,-1.0803927830113365,-0.0,-3.213076800255468,-2.689845122145936,0.0
2019-04-02,1.0,-0.0,-1.0993172435693872,-0.0,-3.223959987297555,-2.6157510320736743,0.0
2019-04-03,1.0,-0.0,-1.0995633187772926,-0.0,-3.230488289003573,-2.6095275903136166,0.0
2019-04-04,1.0,-0.0,-1.0960057174620823,-0.0,-3.248233145398238,-2.5966806956245536,0.0
2019-04-05,1.0,-0.0,-1.0955835459183674,-0.0,-3.2838807397959187,-2.592474489795918,0.0
2019-04-08,1.0,-0.0,-1.0836916706481923,-0.0,-3.287147634973722,-2.5915750915750917,0.0
2019-04-09,1.0,-0.0,-1.0861670781237558,-0.0015927371187385525,-3.2855777653898226,-2.590348013060445,0.0
2019-04-10,1.0,-0.0,-1.0562137234634652,-0.02981633139858472,-3.298322334419973,-2.5666693170072357,0.0
2019-04-11,1.0,-0.0,-1.0247080320966075,-0.04107412409628982,-3.3128624771589736,-2.5659807738142524,0.0
2019-04-12,1.0,-0.0,-1.0254210359072133,-0.04297743883063235,-3.3106132824912615,-2.5650619637750243,0.0
2019-04-15,1.0,-0.0,-1.0236545483410064,-0.04183203683124306,-3.3064772186061275,-2.5657247182092395,0.0
2019-04-16,1.0,-0.0,-1.0270012706480305,-0.040184243964421856,-3.3061467598475223,-2.56821791613723,0.0
2019-04-17,1.0,-0.0,-1.0252481143310836,-0.06192933703850734,-3.306788408098452,-2.545692735212386,0.0
2019-04-18,1.0,-0.0,-1.0229419703103915,-0.06049059299833294,-3.306977851869493,-2.5480670000793837,0.0
2019-04-22,1.0,-0.0,-1.0293744045728803,-0.06009844395046047,-3.3041441727532552,-2.545411241664021,0.0
2019-04-23,1.0,-0.0,-1.0285033743549026,-0.06184994045256054,-3.307502977371973,-2.5417229059150457,0.0
2019-04-24,1.0,-0.0,-1.0,-0.06863521215959469,-3.2986858771374292,-2.549081697276758,0.0
2019-04-25,1.0,-0.0,-1.0092592592592593,-0.0732826843937955,-3.2940804051915165,-2.5373535929091484,0.0
2019-04-26,1.0,-0.0,-1.002134893650668,-0.08270736142958805,-3.2967502174428716,-2.525341978334783,0.0
2019-04-29,1.0,-0.0,-1.0073645866328793,-0.0785555907507127,-3.3099461514095663,-2.52304402914159,0.0
2019-04-30,1.0,-0.0,-1.0067305408187504,-0.07934119882809405,-3.3096840604956843,-2.5225275160345237,0.0
2019-05-01,1.0,-0.0,-1.0103729511441917,-0.07736162799904979,-3.3100007918283314,-2.5205479452054793,0.0
2019-05-02,1.0,-0.0,-0.99928848130287,-0.07312831053838248,-3.3053996363348888,-2.5279468732706145,0.0
2019-05-03,1.0,-0.0,-0.998656020238754,-0.07407700213455609,-3.3048462329037873,-2.5281049885366436,0.0
2019-05-06,1.0,-0.0,-0.9483505235808203,-0.09093772143925674,-3.30603889457523,-2.5280686560113375,0.0
2019-05-07,1.0,-0.0,-0.9571822117276663,-0.09279811097992917,-3.300039354584809,-2.5208972845336484,0.0
2019-05-08,1.0,-0.0,-0.9386383178300635,-0.1686078324083483,-3.1991714218713363,-2.510279058860314,0.0
2019-05-09,1.0,-0.0,-1.124047492468545,-0.4065213538897749,-3.5282651072124755,-2.801701222753854,0.0
2019-05-10,1.0,-0.0,-1.1243913235945109,-0.4112439132359451,-3.5237715803452856,-2.7940681717574147,0.0
2019-05-13,1.0,-0.0,-1.1344977391612732,-0.3971983331855661,-3.5279723379732246,-2.8063658125720363,0.0
2019-05-14,1.0,-0.0,-1.0297183219915582,-0.5313119131708157,-3.373761736583685,-2.679214402618658,0.0
2019-05-15,1.0,-0.0,-1.008151707568217,-0.5482237858246096,-3.3712030204221723,-2.6532521022824778,0.0
2019-05-16,1.0,-0.0,-1.0111540111540112,-0.5498069498069498,-3.363020163020163,-2.656027456027456,0.0
2019-05-17,1.0,-0.0,-1.0067718155323162,-0.5395165438025029,-3.364477970169724,-2.6611520658323333,0.0
2019-05-20,1.0,-0.0,-0.9806655830267773,-0.556078364274104,-3.359568825391394,-2.658653434853281,0.0
2019-05-21,1.0,-0.0,-0.9800462447546459,-0.5520253489766207,-3.368673460649139,-2.6631840369958035,0.0
