Date,IWF,IWM,MTUM,SPY,TAN,VLUE,VXX
2018-09-24,-0.3239193580857611,-0.5393862701676684,-0.18682235195996663,-0.44735555491645335,1.0,-0.3785050760691381,0.0
2018-09-25,-0.32380349746893694,-0.5395478601012426,-0.18663713759779108,-0.4475092038656236,1.0,-0.378739070409572,0.0
2018-09-26,-0.32370707012598515,-0.5394638439855031,-0.18630270954380715,-0.4476500028763734,1.0,-0.3792498417994592,0.0
2018-09-27,-0.32517030266448216,-0.5351096547957805,-0.1875197608576931,-0.44752953350004315,1.0,-0.37897732172113474,0.0
2018-09-28,-0.32135544340302813,-0.543042537851478,-0.18806056236481616,-0.4498630136986301,1.0,-0.3815717375630858,0.0
2018-10-01,-0.3235073334103245,-0.542123801824691,-0.1875793971590253,-0.4517553990068137,1.0,-0.3822323593948493,0.0
2018-10-02,-0.32406685719234435,-0.536589590369793,-0.18957304927686847,-0.4528737623047833,1.0,-0.38364943275309604,0.0
2018-10-03,-0.32480463096960926,-0.5242836468885673,-0.18671490593342982,-0.461794500723589,1.0,-0.3967293777134588,0.0
2018-10-04,-0.3287691060676239,-0.5185270958777212,-0.18718156553960164,-0.46714335340435387,1.0,-0.3932086614173228,0.0
2018-10-05,-0.3220138488170802,-0.5140507789959607,-0.18092902481246392,-0.4710040392383151,1.0,-0.39717253317945755,0.0
2018-10-08,-0.3231756678616861,-0.5168266450792182,-0.1817682433213831,-0.47103041517289235,1.0,-0.3983751590146871,0.0
2018-10-09,-0.3249920444354442,-0.517227413428993,-0.1853791188127405,-0.4695229554199092,1.0,-0.3957821043191483,0.0
2018-10-10,-0.32449410879194046,-0.5186868540659467,-0.18417624410155456,-0.4698202240685522,1.0,-0.3977361549373245,0.0
2018-10-11,-0.2959406249114756,-0.5159060649839948,-0.14818277102631655,-0.4642927962380669,1.0,-0.40845868388997486,0.0
2018-10-12,-0.30144399270993966,-0.5100518715827842,-0.14765175942801065,-0.45170335062386086,1.0,-0.39299032665077804,0.0
2018-10-15,-0.2943959243085881,-0.5207423580786026,-0.13800246332997423,-0.4517691187996865,1.0,-0.39430075019594674,0.0
2018-10-16,-0.2914881623449831,-0.5501972942502819,-0.11927846674182639,-0.45839909808342727,1.0,-0.39912626832018044,0.0
2018-10-17,-0.2823319684688449,-0.5281189938998914,-0.11102754797916492,-0.4579538174424111,1.0,-0.4060054037491992,0.0
2018-10-18,-0.28299941482988267,-0.5294396299495638,-0.11031849973528018,-0.45749157076378627,1.0,-0.40627525287708643,0.0
2018-10-19,-0.27760680917131053,-0.5243283706229727,-0.10540907704677145,-0.4593418170728326,1.0,-0.4057500901050764,0.0
2018-10-22,-0.27778085837861816,-0.5239547521348564,-0.10557835200177443,-0.45932682710435846,1.0,-0.40589996672951095,0.0
2018-10-23,-0.27751740203555286,-0.5242796527912588,-0.10468953659280622,-0.46024570842230783,1.0,-0.4065004575834049,0.0
2018-10-24,-0.2768849399771607,-0.5322953513633958,-0.10753975990864273,-0.46213408350277135,1.0,-0.406428432164443,0.0
2018-10-25,-0.2582182640193916,-0.5051066263583627,-0.10561865076122777,-0.46678650216520956,1.0,-0.3877767791486233,0.0
