Date,IWF,IWM,MTUM,PFBC,SPY,VLUE,VXX
2018-09-24,-0.1898287236348995,-0.9047914021123052,-0.025242357605228107,1.0,-0.47681729488648683,-0.5005729860315298,0.0
2018-09-25,-0.18880487880767913,-0.9117271850399825,-0.02003796011076885,1.0,-0.4829335075764647,-0.5080120725598183,0.0
2018-09-26,-0.18868629037276743,-0.9117244383595743,-0.019727425477627732,1.0,-0.4830418818843736,-0.5084323853382289,0.0
2018-09-27,-0.19009420762988524,-0.9072847682119205,-0.020955756614743647,1.0,-0.4827907844417498,-0.5080371855859216,0.0
2018-09-28,-0.18746303962152572,-0.9109215973108405,-0.021662672352080675,1.0,-0.48348843723738677,-0.5089171776276883,0.0
2018-10-01,-0.18898888300688194,-0.9097873135490299,-0.021517765390963162,1.0,-0.48457011179273185,-0.5091396007847289,0.0
2018-10-02,-0.18951020535742194,-0.9292657768886945,-0.016441096489857157,1.0,-0.4833244772293939,-0.5071421873534836,0.0
2018-10-03,-0.18924576641879645,-0.9225145285259014,-0.01559082671999,1.0,-0.4856901830906705,-0.511341623445604,0.0
2018-10-04,-0.1886744780974639,-0.94277232100559,-0.015033319647538136,1.0,-0.48599311499226217,-0.5257556138079146,0.0
2018-10-05,-0.1686306895785027,-0.9422863132484197,-0.0,1.0,-0.5108153606708382,-0.5546167773083887,0.0
2018-10-08,-0.16513237254777471,-0.9392736969081327,-0.0,1.0,-0.5155545679639387,-0.5544409878737858,0.0
2018-10-09,-0.16176657353314705,-0.9393256286512572,-0.0,1.0,-0.5169227838455677,-0.5570231140462281,0.0
2018-10-10,-0.16134357736999175,-0.9396152136643597,-0.0,1.0,-0.516858213219887,-0.556987745253667,0.0
2018-10-11,-0.07717201891959173,-0.9495581279561862,-0.0,1.0,-0.5009024147373662,-0.5841112770724421,0.0
2018-10-12,-0.07199630314232902,-0.9482131854590266,-0.0,1.0,-0.48847812692544673,-0.5720271102895872,0.0
2018-10-15,-0.03639450532489582,-0.9887328291402993,-0.0,1.0,-0.48488964346349744,-0.5768791480166692,0.0
