Date,GOL,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.9049001814882032,-3.1761645493042954,-0.2690865093768905,-2.9856019358741683,-2.763581367211131,0.0
2018-09-25,1.0,-1.9098869025902956,-3.2004134744010706,-0.2606104827921683,-3.005594065426244,-2.784506870971665,0.0
2018-09-26,1.0,-1.912287104622871,-3.2036496350364967,-0.26496350364963506,-3.0054744525547448,-2.7791970802919708,0.0
2018-09-27,1.0,-1.940176168338635,-3.1913383900171275,-0.2773427942255934,-3.0276486420357234,-2.7975287496941528,0.0
2018-09-28,1.0,-1.974260611310481,-3.22695210988739,-0.2768221754733325,-3.065585942333869,-2.831085261725034,0.0
2018-10-01,1.0,-2.007014906676688,-3.2663159213328323,-0.2758361518226231,-3.1106100463484907,-2.866842039333584,0.0
2018-10-02,1.0,-2.00802407221665,-3.2777081243731194,-0.27570210631895686,-3.1098294884653965,-2.866223671013039,0.0
2018-10-03,1.0,-2.101141282959465,-3.378066378066378,-0.27377672832218286,-3.2983077528532068,-3.066902794175521,0.0
2018-10-04,1.0,-2.1033394688403892,-3.3919274257165393,-0.2722850381277938,-3.3033131738101496,-3.076650013147515,0.0
2018-10-05,1.0,-2.052528163479172,-3.3628504060780715,-0.21089861147498035,-3.3458213256484144,-3.127194131516898,0.0
2018-10-08,1.0,-2.0675747156836812,-3.3936789209203915,-0.1893678920920391,-3.4088865379529225,-3.1643745040994444,0.0
2018-10-09,1.0,-2.263966071950863,-3.8093009651945016,-0.19640245685873062,-3.794238081310325,-3.560251535536707,0.0
2018-10-10,1.0,-2.286806883365201,-3.827768789527872,-0.20708927783497574,-3.8224738932195916,-3.5639064568318872,0.0
2018-10-11,1.0,-1.9550321199143468,-3.509368308351178,-0.0,-3.525428265524625,-3.393468950749465,0.0
2018-10-12,1.0,-2.0305752983773635,-3.5433820571275314,-0.0,-3.4949711680300393,-3.341424165213893,0.0
2018-10-15,1.0,-1.939305204312525,-3.588846000266205,-0.0,-3.4592040463197127,-3.322906961267137,0.0
2018-10-16,1.0,-1.9258963081434093,-3.6213514594162337,-0.0,-3.4584832733573236,-3.3224043715846996,0.0
2018-10-17,1.0,-1.8064311938220028,-3.355614634763894,-0.0,-3.299784782883909,-3.1979997468033927,0.0
2018-10-18,1.0,-1.8062634715354382,-3.355014580956004,-0.0,-3.3129199949283636,-3.2047673386585522,0.0
2018-10-19,1.0,-1.7329659318637276,-3.2864478957915835,-0.0,-3.3116232464929864,-3.1940130260521045,0.0
2018-10-22,1.0,-1.7343025441784685,-3.2611856122321092,-0.0,-3.3279859631532775,-3.2094247399423486,0.0
2018-10-23,1.0,-1.7553432235353281,-3.2754588886095046,-0.0,-3.3276338948956505,-3.2138546643198396,0.0
2018-10-24,1.0,-1.7478348186268358,-3.2575624450859793,-0.0,-3.328103426634869,-3.2182753859671145,0.0
2018-10-25,1.0,-1.562098501070664,-2.996193195336664,-0.0,-3.298953128717583,-3.03913871044492,0.0
2018-10-26,1.0,-1.473934749796819,-2.901195866713108,-0.0,-3.269824683617787,-2.9654011378149314,0.0
2018-10-29,1.0,-1.4337837837837837,-3.2083538083538086,-0.0,-3.428869778869779,-3.2141277641277637,0.0
2018-10-30,1.0,-1.450117153779751,-3.223208780367493,-0.0,-3.4435812060673325,-3.21506967566901,0.0
2018-10-31,1.0,-1.4335064621331077,-3.107984056045416,-0.0,-3.386278536055079,-3.15098441840802,0.0
2018-11-01,1.0,-1.3692660550458717,-3.1633268952197007,-0.0,-3.3843553838725255,-3.1546354418155484,0.0
2018-11-02,1.0,-1.3679895437262357,-3.0356463878326996,-0.0,-3.3728612167300382,-3.1056321292775664,0.0
2018-11-05,1.0,-1.3561250149682673,-3.1272901448928274,-0.0,-3.405460423901329,-3.085738234941923,0.0
2018-11-06,1.0,-1.3601340033500837,-3.128379995214166,-0.0,-3.3986599664991624,-3.0772912179947354,0.0
2018-11-07,1.0,-1.3602923556194584,-3.138509465612269,-0.0,-3.400191708602923,-3.0829139707644373,0.0
2018-11-08,1.0,-1.2451905842991995,-3.1777990201935715,-0.0,-3.3884574023180787,-3.137411877165731,0.0
2018-11-09,1.0,-1.245102723363593,-3.1761825131390347,-0.0,-3.3873626373626373,-3.135929288103201,0.0
2018-11-12,1.0,-1.2478510028653296,-3.1172397325692454,-0.0,-3.433739255014326,-3.1400429799426934,0.0
2018-11-13,1.0,-1.14158357771261,-3.0682697947214077,-0.0,-3.416422287390029,-3.1038123167155423,0.0
2018-11-14,1.0,-1.1436613111293539,-3.0659082913099565,-0.0,-3.4157382432273957,-3.1021461240764627,0.0
2018-11-15,1.0,-1.150992438563327,-3.10609640831758,-0.0,-3.4656190926275987,-3.0921550094517958,0.0
2018-11-16,1.0,-1.1329344127654581,-3.060542062653995,-0.0,-3.4458523993898864,-3.093629003871876,0.0
