Date,IWF,IWM,MTUM,RDNT,SPY,VLUE,VXX
2018-09-24,-0.47579642413068646,-1.2261715902756936,-0.004158984693221284,1.0,-0.8383141105346654,-0.7431291000300133,0.0
2018-09-25,-0.4754788284806321,-1.229193506828137,-0.0021901571759855706,1.0,-0.8410203555784591,-0.7465429872026109,0.0
2018-09-26,-0.4750580545282532,-1.2298959318826868,-0.0,1.0,-0.8432957770706115,-0.7520426593274275,0.0
2018-09-27,-0.4750788916266805,-1.2432023516188995,-0.0,1.0,-0.8478796524445598,-0.7567111918039165,0.0
2018-09-28,-0.47735236859182345,-1.2425697598961711,-0.0,1.0,-0.8487562189054727,-0.7575167640060567,0.0
2018-10-01,-0.4773651865316368,-1.243616376698693,-0.0,1.0,-0.8488271444646412,-0.7580282177789319,0.0
2018-10-02,-0.4802478358307334,-1.30025926088676,-0.0,1.0,-0.8530122599639671,-0.760732961286637,0.0
2018-10-03,-0.4792023542847103,-1.2889269556814686,-0.0,1.0,-0.8566346027144551,-0.767514384855273,0.0
2018-10-04,-0.48068820224719105,-1.2851123595505618,-0.0,1.0,-0.8577510533707865,-0.7654494382022472,0.0
2018-10-05,-0.4557442906423301,-1.274180166804943,-0.0,1.0,-0.8631937469979477,-0.7734596742500328,0.0
2018-10-08,-0.4755891872179423,-1.3253863335916487,-0.0,1.0,-0.9352235948397685,-0.8223093403838263,0.0
2018-10-09,-0.46876285361729353,-1.3283213747086513,-0.0,1.0,-0.9415931630181436,-0.8314976463598556,0.0
2018-10-10,-0.4678785658684006,-1.3322954347726543,-0.0,1.0,-0.9429918952332983,-0.8357983424149458,0.0
2018-10-11,-0.35358022519352567,-1.3100369458128078,-0.0,1.0,-0.8978272343420126,-0.8368226600985222,0.0
2018-10-12,-0.36672458731537794,-1.3069939183318855,-0.0,1.0,-0.8691572545612511,-0.8012163336229365,0.0
2018-10-15,-0.34977054290414755,-1.317646549484804,-0.0,1.0,-0.8637544376136462,-0.7982076370248506,0.0
2018-10-16,-0.3470977795091546,-1.3215166861446566,-0.0,1.0,-0.8626585291953426,-0.7971691988053499,0.0
2018-10-17,-0.32093809423198816,-1.2676949080921192,-0.0,1.0,-0.8445383477709698,-0.7924783435453201,0.0
2018-10-18,-0.32259430168070785,-1.2725964184412175,-0.0,1.0,-0.8442487616951018,-0.7941238728250285,0.0
2018-10-19,-0.3077343192034617,-1.2646305087594,-0.0,1.0,-0.8405663151703567,-0.7881779607612486,0.0
2018-10-22,-0.3083609792970226,-1.261243858396674,-0.0,1.0,-0.841011212362995,-0.7887708394574392,0.0
2018-10-23,-0.31304859098735877,-1.261769770274243,-0.0,1.0,-0.8378060560245265,-0.7871571962538324,0.0
2018-10-24,-0.309944218428889,-1.2573082246361615,-0.0,1.0,-0.8381076206853164,-0.7887849683345216,0.0
2018-10-25,-0.2593456065600128,-1.187113111986494,-0.0,1.0,-0.835879089959,-0.7373181123884557,0.0
2018-10-26,-0.23299042777137863,-1.1682885172975335,-0.0,1.0,-0.8454144655836677,-0.725185685347738,0.0
