Date,BSAC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.23817762399077277,-0.46528807601471955,-0.05519855000823859,-0.519745152963146,-0.46775965288076016,0.0
2018-09-25,1.0,-0.23711425727242563,-0.4746432916712753,-0.04872248645061387,-0.5275688530029863,-0.4771319544298197,0.0
2018-09-26,1.0,-0.23778970075778527,-0.4755517451186459,-0.05019636041816472,-0.5272415509707395,-0.47483267879860613,0.0
2018-09-27,1.0,-0.2392638036809816,-0.47117669817056324,-0.05145636433979992,-0.5270546620239872,-0.47452053280274137,0.0
2018-09-28,1.0,-0.2384005305772791,-0.47190980186254733,-0.05184182164865835,-0.5268190234061956,-0.47445215132506147,0.0
2018-10-01,1.0,-0.2409211691762622,-0.47132418069087684,-0.05134521700620018,-0.5290079716563331,-0.475310008857396,0.0
2018-10-02,1.0,-0.24110726643598615,-0.4711418685121107,-0.0517923875432526,-0.5288304498269896,-0.4752664359861592,0.0
2018-10-03,1.0,-0.24129243036712997,-0.4718699817265629,-0.05207929564206213,-0.5286006977130516,-0.4748878675452683,0.0
2018-10-04,1.0,-0.24254165052305307,-0.4692810095754691,-0.05249903138318481,-0.5299164222062324,-0.47318315160236896,0.0
2018-10-05,1.0,-0.23937903983205347,-0.46801281697143804,-0.0480912656759295,-0.5322081652947351,-0.4745870393900889,0.0
2018-10-08,1.0,-0.23795596269521546,-0.4655372220076155,-0.044230450858120406,-0.536614977098394,-0.47486341813365707,0.0
2018-10-09,1.0,-0.23777728727513522,-0.4655667144906743,-0.043869330096015895,-0.5368336828164662,-0.47500275907736456,0.0
2018-10-10,1.0,-0.23780756923755927,-0.46529846629151494,-0.04383206443782412,-0.5369634778770827,-0.4745669204457685,0.0
2018-10-11,1.0,-0.21833066767871182,-0.45902572582612705,-0.020222830654124536,-0.5343869446176367,-0.478896147903169,0.0
2018-10-12,1.0,-0.22823112827941414,-0.4537797092118676,-0.018294972906271793,-0.5209238693062933,-0.4613176672568271,0.0
2018-10-15,1.0,-0.22553328331010827,-0.4566673812841677,-0.014229820988316003,-0.5215457176546253,-0.4618394254475292,0.0
2018-10-16,1.0,-0.22408385384553522,-0.46331394257834496,-0.009436238372248882,-0.5219955499557677,-0.46191995281880815,0.0
2018-10-17,1.0,-0.21552477555019994,-0.4427024020763262,-0.0023835376996212826,-0.5207765036150322,-0.46701448661246325,0.0
2018-10-18,1.0,-0.21532228165881043,-0.442455378422753,-0.0023833483396006566,-0.5209999470367035,-0.4670038663206398,0.0
2018-10-19,1.0,-0.2094745999525479,-0.43748187593915583,-0.0,-0.5226320090686211,-0.4666121846413413,0.0
2018-10-22,1.0,-0.20931765450326936,-0.43013077409829154,-0.0,-0.5267085003163889,-0.47041763341067283,0.0
2018-10-23,1.0,-0.2076153785260047,-0.430720109771222,-0.0,-0.5286962028656622,-0.4716732195160567,0.0
2018-10-24,1.0,-0.20655815548579415,-0.43060648429050036,-0.0,-0.5291634790408104,-0.47170707257234806,0.0
2018-10-25,1.0,-0.1881703795379538,-0.403852103960396,-0.0,-0.5318430280528053,-0.45449154290429045,0.0
2018-10-26,1.0,-0.17869477346568086,-0.39630074957149064,-0.0,-0.5341912046867405,-0.4491033283020799,0.0
2018-10-29,1.0,-0.16039154706976982,-0.4051594483672793,-0.0,-0.527543399016034,-0.45604017436080446,0.0
2018-10-30,1.0,-0.1717894952181251,-0.4072776556027208,-0.0,-0.5291771083721168,-0.4489080959443564,0.0
2018-10-31,1.0,-0.17569147854382755,-0.39246491763270286,-0.0,-0.5283201138905838,-0.4457240187105959,0.0
2018-11-01,1.0,-0.1772126144455748,-0.39160732451678537,-0.0,-0.5285350966429299,-0.4458799593082401,0.0
2018-11-02,1.0,-0.17355982274741505,-0.4531546739818527,-0.0,-0.5389058873179995,-0.47206689174931415,0.0
2018-11-05,1.0,-0.17080245774109332,-0.46085282561113894,-0.0,-0.5395954748028797,-0.46583687139052243,0.0
2018-11-06,1.0,-0.17897907419150286,-0.4692982456140351,-0.0,-0.5355368843796238,-0.45833333333333337,0.0
2018-11-07,1.0,-0.17844788888595495,-0.46951493227007474,-0.0,-0.5344986929312666,-0.458081381532043,0.0
2018-11-08,1.0,-0.15875429260492308,-0.47083650090439616,-0.0,-0.5286392114714132,-0.4632081159724225,0.0
2018-11-09,1.0,-0.16135232628557886,-0.47460438663471916,-0.0,-0.5301614049869665,-0.46691592722293895,0.0
2018-11-12,1.0,-0.16126745773390738,-0.45986033812874094,-0.0,-0.538538275753439,-0.46555707235114985,0.0
2018-11-13,1.0,-0.15612466906078798,-0.45935673281082073,-0.0,-0.5404597761409211,-0.4653332983826575,0.0
2018-11-14,1.0,-0.15754412651787353,-0.45883710561514857,-0.0,-0.5411366676283145,-0.46515775394057013,0.0
2018-11-15,1.0,-0.15750492449113593,-0.4636638214051215,-0.0,-0.5495994747209455,-0.45562705187130664,0.0
2018-11-16,1.0,-0.16034523715258533,-0.4711906458679759,-0.0,-0.5527489640245995,-0.45514292501385706,0.0
2018-11-19,1.0,-0.15876076277005968,-0.47224129734298237,-0.0,-0.5542232317363055,-0.455945274945856,0.0
2018-11-20,1.0,-0.12038084216617133,-0.466505352305305,-0.0,-0.5631624628494779,-0.48007679966334393,0.0
2018-11-21,1.0,-0.11855061047656558,-0.46559012734672445,-0.0,-0.5637652619141394,-0.47779965865826435,0.0
2018-11-23,1.0,-0.11902700149570968,-0.4624366947440237,-0.0,-0.5646960035687109,-0.4778923613844499,0.0
2018-11-26,1.0,-0.11923329394774845,-0.4613889982932913,-0.0,-0.5659708546671918,-0.4790862544308783,0.0
2018-11-27,1.0,-0.11519338462343644,-0.4617679384518763,-0.0,-0.5635107552205998,-0.4763699167844246,0.0
2018-11-28,1.0,-0.11412559576808255,-0.4681034934269104,-0.0,-0.5612790027758865,-0.4752788980254544,0.0
2018-11-29,1.0,-0.11279610939706111,-0.46663703393818956,-0.0,-0.5600585682162841,-0.47516080112952985,0.0
2018-11-30,1.0,-0.11245914498627271,-0.466649235194143,-0.0,-0.5601778010197411,-0.47540855013727285,0.0
2018-12-03,1.0,-0.10846782645147766,-0.4708394466568854,-0.0,-0.563299098721442,-0.47736323621882204,0.0
2018-12-04,1.0,-0.10897452713869725,-0.47092001364149116,-0.0,-0.5651250032792047,-0.47831789921036755,0.0
2018-12-06,1.0,-0.10492939666238767,-0.4309884467265725,-0.0,-0.5693196405648266,-0.4621566110397946,0.0
2018-12-07,1.0,-0.10864317995069844,-0.4306183237469186,-0.0,-0.5694330320460148,-0.459069433032046,0.0
2018-12-10,1.0,-0.09914464445295545,-0.4305374696795608,-0.0,-0.5702029873611643,-0.4534150389378271,0.0
2018-12-11,1.0,-0.09278903913499144,-0.43373124408885255,-0.0,-0.5690805449758441,-0.46057104879732114,0.0
2018-12-12,1.0,-0.09427979645587747,-0.43365637865343803,-0.0,-0.5698468304907051,-0.4593039609277112,0.0
2018-12-13,1.0,-0.09445537973874588,-0.43290983920856874,-0.0,-0.5700810347912779,-0.45885631023287915,0.0
