Date,CTMX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.0420212365388961,-2.2729121168762707,-0.21274192333760075,-1.5581745613374502,-1.4448377136832593,0.0
2018-09-25,1.0,-1.0565766583465699,-2.2768323122305425,-0.22713864306784662,-1.561001437107632,-1.4420996898873006,0.0
2018-09-26,1.0,-1.057030481809243,-2.2775130474245517,-0.22819756448075032,-1.5606232508887379,-1.4402843960366085,0.0
2018-09-27,1.0,-1.0577039274924471,-2.268882175226586,-0.22998489425981875,-1.558308157099698,-1.4379909365558914,0.0
2018-09-28,1.0,-1.0575485235254134,-2.2681066384714144,-0.23094932406917906,-1.5578883770107996,-1.437806812174307,0.0
2018-10-01,1.0,-1.0574452003023431,-2.271050642479214,-0.23219954648526078,-1.5585034013605443,-1.4393046107331822,0.0
2018-10-02,1.0,-1.0614930791921942,-2.246501777475229,-0.24211481733605625,-1.566069132440814,-1.4475455714393768,0.0
2018-10-03,1.0,-1.0618003025718608,-2.2464447806354007,-0.2431164901664145,-1.565733736762481,-1.447201210287443,0.0
2018-10-04,1.0,-1.0619469026548674,-2.2451403070872096,-0.24438393464942137,-1.5652371227592468,-1.446940473489146,0.0
2018-10-05,1.0,-1.046816197501129,-2.2411561041698027,-0.22376938130362786,-1.5668372723167243,-1.4481409001956946,0.0
2018-10-08,1.0,-1.0410260256506412,-2.2317557938948474,-0.2165304132603315,-1.567614190354759,-1.443336083402085,0.0
2018-10-09,1.0,-1.0493604213694507,-2.239202407825433,-0.22686230248307,-1.5685477802859293,-1.440556809631302,0.0
2018-10-10,1.0,-1.058725845410628,-2.2420742753623193,-0.23346920289855075,-1.5780495169082127,-1.4360658212560389,0.0
2018-10-11,1.0,-0.942187387646509,-2.2025598619400304,-0.09843963471632991,-1.5181563241533043,-1.4292083123606816,0.0
2018-10-12,1.0,-0.9576109263321775,-2.1900785507041256,-0.08329205293326729,-1.472294954355672,-1.373434293397495,0.0
2018-10-15,1.0,-0.9385136087998871,-2.2148498096178253,-0.05528134254689042,-1.4692568043999437,-1.3732195741080242,0.0
2018-10-16,1.0,-0.9349283647399251,-2.234384924835909,-0.04213423671395299,-1.4714517608864421,-1.3747618039381748,0.0
