Date,ALTR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5618543498676684,-1.0948518739861692,-0.2623153760778622,-0.7166396311790318,-0.6330999743874328,0.0
2018-09-25,1.0,-0.5653788687299893,-1.0924653148345784,-0.26757737459978653,-0.7144503735325507,-0.6290715048025612,0.0
2018-09-26,1.0,-0.5677593059532459,-1.0958587973845035,-0.27142185563485616,-0.7145177144322407,-0.6240864994230523,0.0
2018-09-27,1.0,-0.5703185039706259,-1.0878234138843823,-0.27363162838357097,-0.7142003244812569,-0.6235163521475535,0.0
2018-09-28,1.0,-0.5693062966915688,-1.0881109925293488,-0.2740661686232657,-0.7139381003201707,-0.623479188900747,0.0
2018-10-01,1.0,-0.5696207961564859,-1.0984471516815375,-0.27505147563486615,-0.7176132463967055,-0.6289464653397392,0.0
2018-10-02,1.0,-0.5697214580467674,-1.1133081155433286,-0.27136348005502064,-0.7165577716643741,-0.6275790921595598,0.0
2018-10-03,1.0,-0.5706355695167606,-1.1179482766039845,-0.2723008735315633,-0.7161237574766557,-0.6261457033435174,0.0
2018-10-04,1.0,-0.5744333089595252,-1.110714439330724,-0.2730440018925545,-0.7210632715385609,-0.6219622349348359,0.0
2018-10-05,1.0,-0.5611427592410159,-1.1046815436672803,-0.25956225639268427,-0.7280164475093159,-0.6298882083351179,0.0
2018-10-08,1.0,-0.558891454965358,-1.1009323411170986,-0.254169874262253,-0.7332563510392609,-0.629544093747327,0.0
2018-10-09,1.0,-0.5638047065883665,-1.1037335505165244,-0.26207724291654166,-0.731578721762613,-0.6253161301384543,0.0
2018-10-10,1.0,-0.5638774104683196,-1.1122159090909092,-0.2581353305785124,-0.7353650137741047,-0.6348140495867769,0.0
2018-10-11,1.0,-0.5652942444492347,-1.1163612847596465,-0.25695192929510674,-0.7375727527484373,-0.6350937702090969,0.0
2018-10-12,1.0,-0.5652695123517575,-1.1151689001155969,-0.25161621783619476,-0.727704756604016,-0.6215695508841033,0.0
2018-10-15,1.0,-0.5591894318327562,-1.1249198409644734,-0.24240092343208927,-0.7272027702962678,-0.6214355948869222,0.0
