Date,ASND,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.6879770503560269,-1.4516162081860562,-0.13190922596178475,-0.9427283438348445,-0.9084575585267148,0.0
2018-09-25,1.0,-0.6922840454964648,-1.4489189466133825,-0.13823137616559075,-0.9402602725689108,-0.9037811251152782,0.0
2018-09-26,1.0,-0.692134255700743,-1.448936715347169,-0.1374839866769152,-0.9407122726108123,-0.9049961568024596,0.0
2018-09-27,1.0,-0.6933353808353807,-1.44272113022113,-0.13907657657657657,-0.9397010647010646,-0.9039209664209664,0.0
2018-09-28,1.0,-0.6923588719995906,-1.4428066943037001,-0.13977173857413377,-0.9393008854086697,-0.9037309995393826,0.0
2018-10-01,1.0,-0.7056817585646084,-1.4924715387440324,-0.1441162583285242,-0.968574576360107,-0.9354703320917056,0.0
2018-10-02,1.0,-0.7056970333420844,-1.500078760829614,-0.1429771593594119,-0.967603045418745,-0.9343659753216067,0.0
2018-10-03,1.0,-0.7057649900241522,-1.4991599285939305,-0.14354720151212855,-0.9674997374776856,-0.9344744303265778,0.0
2018-10-04,1.0,-0.71219998949635,-1.4896276456068485,-0.14489785200357125,-0.9760516779580904,-0.9290478441258337,0.0
2018-10-05,1.0,-0.6972405142677955,-1.4834848959966551,-0.12689453329152292,-0.9819692693634368,-0.9367095223162956,0.0
2018-10-08,1.0,-0.6940041710114703,-1.4782064650677789,-0.12132429614181439,-0.985245046923879,-0.9349843587069864,0.0
2018-10-09,1.0,-0.6930656934306569,-1.4788842544316998,-0.11850886339937435,-0.9866006256517206,-0.9367570385818561,0.0
2018-10-10,1.0,-0.6928012519561816,-1.4808033385498174,-0.11711006781429317,-0.9872196139801773,-0.9386019822639541,0.0
2018-10-11,1.0,-0.6270452600312137,-1.4695665307355383,-0.032724160499421034,-0.9594723858430247,-0.9456778935709611,0.0
2018-10-12,1.0,-0.627472418248683,-1.4612364576085877,-0.022761156942649834,-0.9374316668323227,-0.9207832223437034,0.0
2018-10-15,1.0,-0.6095469416080103,-1.487855655794587,-0.0,-0.9361058788539703,-0.9234162783781105,0.0
2018-10-16,1.0,-0.6115243479123277,-1.4858177129822474,-0.0,-0.9371218883268868,-0.9243776653773678,0.0
2018-10-17,1.0,-0.5985884428760477,-1.4572856932804,-0.0,-0.9258932509925011,-0.9194726265745233,0.0
2018-10-18,1.0,-0.5979356107151634,-1.4563774883263703,-0.0,-0.936397149176702,-0.924502334725977,0.0
2018-10-19,1.0,-0.5702967373652872,-1.4501254859504946,-0.0,-0.9593031838984302,-0.9413414694158752,0.0
2018-10-22,1.0,-0.5703732886831478,-1.4356347877474638,-0.0,-0.968679208115828,-0.9499655274303161,0.0
2018-10-23,1.0,-0.5828187521612409,-1.4414859457590279,-0.0,-0.9654695450279109,-0.9502050091389616,0.0
2018-10-24,1.0,-0.5817048434176025,-1.4476327116212337,-0.0,-0.9671003809429575,-0.9508237273042102,0.0
2018-10-25,1.0,-0.5509684240880474,-1.3945787475368865,-0.0,-0.9501610035084346,-0.9103667035132408,0.0
2018-10-26,1.0,-0.5395351052681718,-1.3783461941507098,-0.0,-0.9461274649899972,-0.8992092978946367,0.0
2018-10-29,1.0,-0.5072807475216999,-1.396006260968553,-0.0,-0.9315087985580801,-0.9083621875444672,0.0
2018-10-30,1.0,-0.5083017077798861,-1.396157495256167,-0.0,-0.931641366223909,-0.9077324478178368,0.0
2018-10-31,1.0,-0.5193197921587152,-1.3633443552196505,-0.0,-0.9359470949456778,-0.9050543221539915,0.0
2018-11-01,1.0,-0.5160742104517774,-1.3650096775716378,-0.0,-0.93513666619459,-0.9044988906198367,0.0
2018-11-02,1.0,-0.5250856526024311,-1.3205519312901863,-0.0,-0.9498756277279766,-0.8977800722767165,0.0
2018-11-05,1.0,-0.5229159825491392,-1.3257024909696487,-0.0,-0.9497114978655533,-0.892714734718769,0.0
2018-11-06,1.0,-0.5337529947855498,-1.3363085451214356,-0.0,-0.9445671066848311,-0.8830741767275803,0.0
2018-11-07,1.0,-0.5327063249470961,-1.3401833999529744,-0.0,-0.9445567834469786,-0.8851163884316953,0.0
2018-11-08,1.0,-0.5041911148365466,-1.3374778802272518,-0.0,-0.9298686784017882,-0.885256589363882,0.0
2018-11-09,1.0,-0.505803384142078,-1.3385540483848415,-0.0,-0.9302195497133268,-0.8867757423204213,0.0
2018-11-12,1.0,-0.504896727779067,-1.3148294267811556,-0.0,-0.9392898584358319,-0.8824321188210722,0.0
2018-11-13,1.0,-0.4861949758008758,-1.3124683106706614,-0.0,-0.9356533763539986,-0.8750864254436506,0.0
2018-11-14,1.0,-0.48860595995940587,-1.3119291447550512,-0.0,-0.9371713257680598,-0.8752191161546269,0.0
2018-11-15,1.0,-0.49342756183745584,-1.337809187279152,-0.0,-0.9589163722025913,-0.9212249705535925,0.0
2018-11-16,1.0,-0.4920761815189278,-1.3320009405125792,-0.0,-0.9566423700917,-0.9218434046555373,0.0
2018-11-19,1.0,-0.4881277678319042,-1.3361914632997267,-0.0,-0.9617921417129934,-0.9251389804956185,0.0
2018-11-20,1.0,-0.43571261408846246,-1.3267025509010062,-0.0,-0.9666744675871752,-0.9514626725953662,0.0
2018-11-21,1.0,-0.44326454903779267,-1.3187572455367491,-0.0,-0.9613725944817992,-0.9137955019707861,0.0
2018-11-23,1.0,-0.44336209295853046,-1.3202059560256052,-0.0,-0.9610817329993506,-0.9139530568698396,0.0
2018-11-26,1.0,-0.4426465133531157,-1.3233494065281899,-0.0,-0.9588278931750742,-0.9116747032640949,0.0
2018-11-27,1.0,-0.4287823559267291,-1.3292114612651686,-0.0,-0.9518294652332395,-0.9042587551331148,0.0
