Date,CCAP,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-10-01,1.0,-0.3889144027978945,-0.35885116755572827,-0.6889815240046632,-0.9148267213056842,-0.1811212774225457,0.0
2020-10-02,1.0,-0.38719706069384585,-0.35246944110789236,-0.6869921571398291,-0.9188511269695471,-0.1873454391295132,0.0
2020-10-05,1.0,-0.378979318133691,-0.3586503846968307,-0.6786899131785135,-0.9191783722735937,-0.19383073339450838,0.0
2020-10-06,1.0,-0.3787755965178162,-0.3537518062947168,-0.6758890494484193,-0.9201705847108166,-0.19585521446445567,0.0
2020-10-07,1.0,-0.3749295774647888,-0.35813380281690144,-0.6739084507042254,-0.9167253521126763,-0.19739436619718312,0.0
2020-10-08,1.0,-0.3754574887387387,-0.3549056869369369,-0.6738457207207207,-0.9187429617117118,-0.19615709459459457,0.0
2020-10-09,1.0,-0.3765306122448979,-0.3550316678395496,-0.6744194229415904,-0.918332160450387,-0.19437016185784659,0.0
2020-10-12,1.0,-0.370935960591133,-0.3535186488388459,-0.6729415904292751,-0.916256157635468,-0.2049612948627727,0.0
2020-10-13,1.0,-0.36503584985238297,-0.3570223534373682,-0.6717981161254042,-0.9131519752565724,-0.20771826233656684,0.0
2020-10-14,1.0,-0.36624718785151855,-0.35707255343082117,-0.6743883577052868,-0.9115227784026996,-0.2059898762654668,0.0
2020-10-15,1.0,-0.3650804807759893,-0.3552048921065579,-0.6742461516834188,-0.9110142686441274,-0.20893371757925072,0.0
2020-10-16,1.0,-0.36597539543058,-0.35430579964850617,-0.6749033391915642,-0.9111775043936733,-0.20857644991212654,0.0
2020-10-19,1.0,-0.3655056061298373,-0.35408245755860956,-0.674879617588134,-0.9112157744894731,-0.20913148922709218,0.0
2020-10-20,1.0,-0.3630425621576064,-0.35373647984267453,-0.67425200168563,-0.9106967270684084,-0.21000140469167017,0.0
2020-10-21,1.0,-0.36412508784258607,-0.35354884047786367,-0.6723822909346451,-0.9126493323963458,-0.21096275474349965,0.0
2020-10-22,1.0,-0.36462651956995296,-0.3528213056004497,-0.6717026210385777,-0.912690605017216,-0.2116154873164219,0.0
2020-10-23,1.0,-0.37015681035088954,-0.34846353983545464,-0.675304127698474,-0.9138246255537584,-0.20817804655087546,0.0
2020-10-26,1.0,-0.36949641299760866,-0.346005064003376,-0.6757631171754115,-0.9127866085244057,-0.21265297510198342,0.0
2020-10-27,1.0,-0.36651663267459034,-0.34411702651381953,-0.6860538715802799,-0.9153948941557071,-0.20433926436458258,0.0
2020-10-28,1.0,-0.3723875870804307,-0.34445148124692143,-0.6876363380479911,-0.9163676025613963,-0.19755822954049682,0.0
