Date,IWF,IWM,MTUM,PSX,SPY,VLUE,VXX
2018-09-24,-0.23559455951238784,-0.551470173260342,-0.06746994751396806,1.0,-0.46935492973644116,-0.4979682826344602,0.0
2018-09-25,-0.2423204326038334,-0.5513150816794541,-0.07479969423289261,1.0,-0.46855978030067097,-0.4941536196596925,0.0
2018-09-26,-0.24485859359487133,-0.5551584262332283,-0.07865997220094743,1.0,-0.4688678977675658,-0.4890647604459195,0.0
2018-09-27,-0.24487248588692517,-0.5552466596692293,-0.07874953902016964,1.0,-0.4688661314572637,-0.48906414002439647,0.0
2018-09-28,-0.2420239211341231,-0.5597602204608085,-0.07934884513764595,1.0,-0.4697576635699877,-0.490127560442058,0.0
2018-10-01,-0.24266962154790317,-0.5590692124105012,-0.07932719627230367,1.0,-0.47008182748039556,-0.4900556881463803,0.0
2018-10-02,-0.24647506195345656,-0.5388099239467913,-0.08701968268436494,1.0,-0.47793887258951206,-0.49821972825932154,0.0
2018-10-03,-0.2461775006406423,-0.5327297058739785,-0.08618775091825402,1.0,-0.48011161413399384,-0.5020927650123858,0.0
2018-10-04,-0.24514493171209592,-0.5542845617472484,-0.0850285253270328,1.0,-0.4802915922318908,-0.5165965539099868,0.0
2018-10-05,-0.23660944945174808,-0.5494287846604282,-0.07718583156323554,1.0,-0.4845857971180894,-0.5226189792755037,0.0
2018-10-08,-0.23517769555115736,-0.5471129851131572,-0.07279924275019362,1.0,-0.48994636147204773,-0.5233055101396896,0.0
2018-10-09,-0.23513552273053204,-0.5471676466370285,-0.07276638462641617,1.0,-0.48991825613079015,-0.5232468091208948,0.0
2018-10-10,-0.23512374179117315,-0.5469874680966992,-0.07272518711823578,1.0,-0.4900060221960941,-0.5228700065957386,0.0
2018-10-11,-0.21589433877067224,-0.5425579951459051,-0.050826889428232776,1.0,-0.4849861714737258,-0.5278546029237456,0.0
2018-10-12,-0.21396655894337502,-0.5413516931291275,-0.046620767177181395,1.0,-0.48264718280174235,-0.5255585218490937,0.0
2018-10-15,-0.20049963509796212,-0.5643911749845618,-0.027479930387918933,1.0,-0.4841127266603043,-0.5304552854656711,0.0
2018-10-16,-0.2053196585049731,-0.5554647657152518,-0.03637541912034037,1.0,-0.48682764644557774,-0.5336282437801133,0.0
2018-10-17,-0.19748578436837996,-0.5371278849370053,-0.030577544876797858,1.0,-0.4848087858178169,-0.5374066228119077,0.0
2018-10-18,-0.19877786768604036,-0.5398309104606713,-0.029241887329445576,1.0,-0.4842210999190826,-0.5381567566059321,0.0
2018-10-19,-0.18791629662522205,-0.5313887655417407,-0.01873334813499112,1.0,-0.4929784635879219,-0.5442939609236235,0.0
