Date,IWF,IWM,MRSN,MTUM,SPY,VLUE,VXX
2018-09-24,-3.098274296094459,-4.719346049046321,1.0,-1.4428701180744776,-4.072116257947321,-3.832515894641235,0.0
2018-09-25,-3.0972423802612483,-4.711901306240929,1.0,-1.4435776487663279,-4.065674891146589,-3.8238388969521044,0.0
2018-09-26,-3.10092575785079,-4.716100925757851,1.0,-1.4494463605009984,-4.066255218732982,-3.8195679796696314,0.0
2018-09-27,-3.096307023895728,-4.695872556118755,1.0,-1.44243301955105,-4.058291093410572,-3.809920347574222,0.0
2018-09-28,-3.124747381958479,-4.797538122358993,1.0,-1.4480984751056403,-4.12713577071468,-3.874701451405475,0.0
2018-10-01,-3.130011033468187,-4.799742552408975,1.0,-1.447958808385436,-4.132953291651343,-3.8786318499448327,0.0
2018-10-02,-3.13081876724931,-4.808463661453542,1.0,-1.4450781968721251,-4.1348666053357865,-3.879852805887764,0.0
2018-10-03,-3.1258497152305718,-4.7762263457652026,1.0,-1.4400146977769614,-4.1390777144956825,-3.8910527282748486,0.0
2018-10-04,-3.1264662756598245,-4.749816715542522,1.0,-1.4406158357771262,-4.138013196480939,-3.8737170087976542,0.0
2018-10-05,-3.0495658465991315,-4.678183791606368,1.0,-1.3675832127351664,-4.125180897250361,-3.8692112879884224,0.0
2018-10-08,-3.0315088224702915,-4.649801944544472,1.0,-1.3451566438602809,-4.124054735325891,-3.8545192653943103,0.0
2018-10-09,-3.026822682268227,-4.65058505850585,1.0,-1.3339333933393338,-4.128892889288929,-3.8615661566156616,0.0
2018-10-10,-3.0353153153153154,-4.64990990990991,1.0,-1.3423423423423422,-4.135495495495496,-3.854954954954955,0.0
2018-10-11,-2.7214091218516,-4.5142954390742,1.0,-0.9761742682096665,-3.973451327433628,-3.8328795098706605,0.0
2018-10-12,-2.7042556714687866,-4.410332836562345,1.0,-0.9326047358834244,-3.834409670475244,-3.6774300380857756,0.0
2018-10-15,-2.6312232113419056,-4.5098911968348165,1.0,-0.8323442136498517,-3.8247609627431585,-3.6874381800197824,0.0
2018-10-16,-2.6269566650189486,-4.517712967539957,1.0,-0.820893063107596,-3.8248475860932607,-3.68660405338606,0.0
2018-10-17,-2.4851688229725464,-4.242978857683811,1.0,-0.7182076364783843,-3.711107604922688,-3.6203849794887972,0.0
2018-10-18,-2.483117702745345,-4.238718838750394,1.0,-0.7205743136636162,-3.714736509940044,-3.6208583149258438,0.0
2018-10-19,-2.4246724890829694,-4.177011852776046,1.0,-0.6606363069245166,-3.7188084840923272,-3.614628820960699,0.0
2018-10-22,-2.4237895064611554,-4.1594270590066955,1.0,-0.6486065701385646,-3.721158337225596,-3.6160672582905184,0.0
2018-10-23,-2.4279462331978747,-4.1844326351985,1.0,-0.6306658330728353,-3.7477336667708663,-3.638949671772429,0.0
2018-10-24,-2.422627395979429,-4.1692379616643285,1.0,-0.6060464391460184,-3.746454729624435,-3.6392395200249332,0.0
2018-10-25,-2.151742703315387,-3.7255596486256732,1.0,-0.5123264380844431,-3.4961745536979314,-3.2825162935675825,0.0
2018-10-26,-2.064387699066447,-3.60392641405821,1.0,-0.4464579901153212,-3.430807248764415,-3.183141131246568,0.0
2018-10-29,-2.002712600027126,-3.6072155160721544,1.0,-0.38749491387494917,-3.3887155838871554,-3.176861521768615,0.0
2018-10-30,-1.9882161722876879,-3.6066639577407558,1.0,-0.3736963294053907,-3.3891372070973858,-3.187051334146011,0.0
2018-10-31,-1.974034620505992,-3.499600532623169,1.0,-0.3699067909454061,-3.3414114513981357,-3.1306258322237017,0.0
2018-11-01,-1.9331197436924308,-3.5812308103057,1.0,-0.31184087571752767,-3.365238285943131,-3.15778934721666,0.0
2018-11-02,-1.9479318091714022,-3.4678208008457774,1.0,-0.2898110215409013,-3.380203515263645,-3.1296418659970926,0.0
2018-11-05,-1.9548751007252216,-3.607843137254902,1.0,-0.27961321514907334,-3.4492344883158745,-3.1384636046199303,0.0
2018-11-06,-1.9641610738255033,-3.6136912751677857,1.0,-0.27624161073825504,-3.4414765100671145,-3.127248322147651,0.0
2018-11-07,-1.9593813046402153,-3.623402824478816,1.0,-0.29240080699394755,-3.4423671822461333,-3.132212508406187,0.0
2018-11-08,-1.8788039867109636,-3.6326910299003323,1.0,-0.20425249169435217,-3.4166112956810633,-3.1566777408637874,0.0
2018-11-09,-1.8782724252491694,-3.633621262458472,1.0,-0.2025249169435216,-3.417541528239203,-3.157076411960133,0.0
2018-11-12,-1.8590956887486858,-3.569400630914827,1.0,-0.185068349106204,-3.4058885383806525,-3.1246056782334386,0.0
2018-11-13,-1.78954180688584,-3.5418068858400207,1.0,-0.10600569505565623,-3.403442920010355,-3.102511001812063,0.0
2018-11-14,-1.799532588937938,-3.550376525577772,1.0,-0.10581667099454685,-3.416125681641132,-3.1117891456764473,0.0
2018-11-15,-1.8166601281548318,-3.5919968615143194,1.0,-0.09389302994638421,-3.4651497319210147,-3.1094546881129856,0.0
2018-11-16,-1.7994808565866323,-3.5505515898767035,1.0,-0.0837118754055808,-3.4433484750162235,-3.1014925373134328,0.0
2018-11-19,-1.8091453882230328,-3.5579729025534137,1.0,-0.10487232933819698,-3.4472381448671188,-3.108389786347056,0.0
2018-11-20,-1.7209540907925112,-3.517953321364453,1.0,-0.006027186458066171,-3.4438317517312136,-3.1351628622723777,0.0
2018-11-21,-1.6973122331072596,-3.4516453152474256,1.0,-0.0,-3.386837478020598,-3.023863350916855,0.0
2018-11-23,-1.693598897657522,-3.430038832519103,1.0,-0.0,-3.3850682700739076,-3.017913065263685,0.0
2018-11-26,-1.6923655509590074,-3.449166353265639,1.0,-0.0,-3.3810956499937324,-3.0134135639964903,0.0
