Date,IWF,IWM,MTUM,OLP,SPY,VLUE,VXX
2018-09-24,-0.3613138686131387,-1.1237454379562044,-0.0,1.0,-0.7228558394160585,-0.5937880170316302,0.0
2018-09-25,-0.3599006116207951,-1.1317660550458715,-0.0,1.0,-0.729243119266055,-0.6017584097859328,0.0
2018-09-26,-0.36110261507875824,-1.1330096345006881,-0.0,1.0,-0.7293164092368863,-0.5997476678391191,0.0
2018-09-27,-0.3608322476818147,-1.1384780442945819,-0.0,1.0,-0.7308606023450073,-0.6015020308069584,0.0
2018-09-28,-0.358728323699422,-1.1509826589595376,-0.0,1.0,-0.7365317919075144,-0.6073217726396917,0.0
2018-10-01,-0.36471002307301237,-1.1745336514019789,-0.0,1.0,-0.7493254076883971,-0.6221109851003089,0.0
2018-10-02,-0.36493879639469434,-1.2010863147951352,-0.0,1.0,-0.7487306647774236,-0.6211673948124532,0.0
2018-10-03,-0.3640511307767945,-1.192645034414946,-0.0,1.0,-0.7508357915437561,-0.6256047197640119,0.0
2018-10-04,-0.37367797947908443,-1.186069455406472,-0.0,1.0,-0.7638910812943961,-0.6226913970007892,0.0
2018-10-05,-0.34977596100935465,-1.1772659382124049,-0.0,1.0,-0.7714016193695464,-0.6320257841364673,0.0
2018-10-08,-0.3469275714677855,-1.1738755342927727,-0.0,1.0,-0.7708717305203717,-0.6297400101956786,0.0
2018-10-09,-0.3409493098430925,-1.1766487081678396,-0.0,1.0,-0.7767509536356129,-0.6382083448031773,0.0
2018-10-10,-0.3429930795847751,-1.175723497955332,-0.0,1.0,-0.7781928279333123,-0.6351053790500157,0.0
2018-10-11,-0.24832646269051853,-1.1604704814492646,-0.0,1.0,-0.7414621232177301,-0.6317461518096895,0.0
2018-10-12,-0.24035907985786423,-1.155937909107911,-0.0,1.0,-0.7287076865532074,-0.6153731064148121,0.0
2018-10-15,-0.2022324605760947,-1.1991609544143538,-0.0,1.0,-0.7248754541708806,-0.6195078098662772,0.0
2018-10-16,-0.19799940056945903,-1.206391428143264,-0.0,1.0,-0.7236625206054249,-0.6183500674359359,0.0
2018-10-17,-0.18068478540693614,-1.1721157736015593,-0.0,1.0,-0.7111544260968703,-0.6137324850134236,0.0
2018-10-18,-0.18220011055831953,-1.1769301639948406,-0.0,1.0,-0.7108162889257417,-0.6152939008660402,0.0
