Date,GWRE,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,1.0,-0.0,-0.6772787421187826,-0.11812096209231726,-0.0,-0.0,-0.7443761189382736,-0.0,-0.05335876080018681,-0.6261383980695882,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6726473106561843,-0.0,-0.0
2019-01-03,1.0,-0.0,-0.6613611416026345,-0.14905127803042184,-0.0,-0.0,-0.7801866081229418,-0.0,-0.04759291202759919,-0.5938529088913282,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.688333071977419,-0.0,-0.0
2019-01-04,1.0,-0.0,-0.6803019045011928,-0.12592389816589106,-0.0,-0.0,-0.7739235853114856,-0.0,-0.019357866332955304,-0.6126471393375308,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6985647804153143,-0.0,-0.0
2019-01-07,1.0,-0.0,-0.6002343779533512,-0.1985408082259101,-0.0,-0.0,-0.8353305863229123,-0.0,-0.0,-0.5126450686122558,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6335387290666465,-0.0,-0.0
2019-01-08,1.0,-0.0,-0.6532926130941019,-0.17201756060316856,-0.0,-0.0,-0.844855888528345,-0.0,-0.0,-0.5124260355029585,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6348921549914106,-0.0,-0.0
2019-01-09,1.0,-0.0,-0.6308356366665404,-0.18374919541100296,-0.0,-0.0,-0.874294801408504,-0.0,-0.0,-0.49309000037863016,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6043315285297792,-0.0,-0.0
2019-01-10,1.0,-0.0,-0.6289198606271778,-0.18266171792152705,-0.0,-0.0,-0.8757006514164521,-0.0,-0.0,-0.49481139221330095,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6052113316164217,-0.0,-0.0
2019-01-11,1.0,-0.0,-0.6112324023187533,-0.20484830234133855,-0.0,-0.0,-0.860912444477904,-0.0,-0.0,-0.4979673266581344,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5892870586463901,-0.0,-0.0
2019-01-14,1.0,-0.0,-0.609666968053044,-0.20253164556962025,-0.0,-0.0,-0.8588758288125375,-0.0,-0.0,-0.5032022302591922,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.593090717299578,-0.0,-0.0
2019-01-15,1.0,-0.0,-0.5999625257635376,-0.19970020610830055,-0.0,-0.0,-0.8728124414465056,-0.0,-0.0,-0.5054525014052839,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5694584972831179,-0.0,-0.0
2019-01-16,1.0,-0.0,-0.604659846165335,-0.1972966918079307,-0.0,-0.0,-0.8752520349488463,-0.0,-0.0,-0.49723695019042646,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5593308938839519,-0.0,-0.0
2019-01-17,1.0,-0.0,-0.5883824243102997,-0.19931309963788404,-0.0,-0.0,-0.8838989061858364,-0.0,-0.0,-0.505469070817934,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5561279725239855,-0.0,-0.0
2019-01-18,1.0,-0.0,-0.5807617769827071,-0.1989415623136553,-0.0,-0.0,-0.8792859272510435,-0.0,-0.0,-0.5118887895050686,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.556015205724508,-0.0,-0.0
2019-01-22,1.0,-0.0,-0.580909768829232,-0.19615958240119313,-0.0,-0.0,-0.8849366144668158,-0.0,-0.0,-0.5120432513049963,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5545115585384042,-0.0,-0.0
2019-01-23,1.0,-0.0,-0.573615404670565,-0.21788520987746285,-0.0,-0.0,-0.885172632127826,-0.0,-0.0,-0.486796528734776,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5610637267682222,-0.0,-0.0
2019-01-24,1.0,-0.0,-0.5861003573555689,-0.2008636092912448,-0.0,-0.0,-0.8717242406194163,-0.0,-0.0,-0.5048391899940441,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5589636688505062,-0.0,-0.0
2019-01-25,1.0,-0.0,-0.5852905050805821,-0.2017716901775412,-0.0,-0.0,-0.8721852086202404,-0.0,-0.0,-0.5042989541072691,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.558454609744296,-0.0,-0.0
2019-01-28,1.0,-0.0,-0.5953942465345059,-0.18609330749739156,-0.0,-0.0,-0.891451781189447,-0.0,-0.0,-0.5090550007452677,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5443434192875242,-0.0,-0.0
2019-01-29,1.0,-0.0,-0.5962147460973883,-0.18333892179874073,-0.0,-0.0,-0.8962780820386722,-0.0,-0.0,-0.5079542490965314,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5418948623374689,-0.0,-0.0
2019-01-30,1.0,-0.0,-0.5914411391933199,-0.18120480131215985,-0.0,-0.0,-0.8858197271303959,-0.0,-0.0,-0.5227391336762842,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5464847535972565,-0.0,-0.0
2019-01-31,1.0,-0.0,-0.59963545735223,-0.15593497749507124,-0.0,-0.0,-0.8981512480005951,-0.0,-0.0,-0.5263921437339583,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5397091098463713,-0.0,-0.0
2019-02-01,1.0,-0.0,-0.6282178399618082,-0.2264331093239323,-0.0,-0.0,-0.9658844699056222,-0.0,-0.022180602989240204,-0.364584480922478,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4649480371635269,-0.0,-0.0
2019-02-04,1.0,-0.0,-0.6352527932438997,-0.20974552520458875,-0.0,-0.0,-1.0502597062890024,-0.0,-0.03508837487388364,-0.3443817495609282,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4620903553678861,-0.0,-0.0
2019-02-05,1.0,-0.0,-0.6742275068161164,-0.16033020296879735,-0.0,-0.0,-1.1190926991820662,-0.0,-0.014427446228415632,-0.35583913965465014,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.46281429869736446,-0.0,-0.0
2019-02-06,1.0,-0.0,-0.682782885030076,-0.16929595581280973,-0.0,-0.0,-1.1181099383346573,-0.0,-0.0074149737071085384,-0.3433208489388264,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.462187417243597,-0.0,-0.0
2019-02-07,1.0,-0.0,-0.694641777509069,-0.1876511487303507,-0.0,-0.0,-1.1145329504232164,-0.0,-0.0024939540507859736,-0.317941354292624,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.46141928657799275,-0.0,-0.0
2019-02-08,1.0,-0.0,-0.6934240362811791,-0.181708238851096,-0.0,-0.0,-1.1216931216931216,-0.0,-0.006916099773242631,-0.3201814058956916,-0.0,-0.0006802721088435375,-0.0,-0.0,-0.0,-0.0,-0.454724111866969,-0.0,-0.0
2019-02-11,1.0,-0.0,-0.6925607957338982,-0.18100676978934233,-0.0,-0.0,-1.1242388714496427,-0.0,-0.006467228924775917,-0.3220377444120873,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.45569380885745625,-0.0,-0.0
2019-02-12,1.0,-0.0,-0.703779366700715,-0.18204517080921576,-0.0,-0.0,-1.1216282676956835,-0.0,-0.005674724775848372,-0.3135096281163697,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4565126924677486,-0.0,-0.0
2019-02-13,1.0,-0.0,-0.7006723069950144,-0.18356247167245807,-0.0,-0.0,-1.12618975676084,-0.0,-0.0,-0.3125094425139749,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4540716120259858,-0.0,-0.0
2019-02-14,1.0,-0.0,-0.6971068989333129,-0.18076126160693728,-0.0,-0.0,-1.1338730719054562,-0.0,-0.0064461668329368425,-0.3229990023789425,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.49581766556672546,-0.0,-0.0
2019-02-15,1.0,-0.0,-0.7018526331939703,-0.17997008169997317,-0.0,-0.0,-1.1271527751141115,-0.0,-0.003720609105903111,-0.3255724751639753,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4974109163438303,-0.0,-0.0
2019-02-19,1.0,-0.0,-0.6652997087229803,-0.18373447800091985,-0.0,-0.0,-1.1101870305074353,-0.0,-0.0017246665644642036,-0.3574275640042925,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5142572435995707,-0.0,-0.0
2019-02-20,1.0,-0.0,-0.6616109387567506,-0.18552989390631583,-0.0,-0.0,-1.1154008196407368,-0.0,-0.0,-0.3577310505955801,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5098241985522234,-0.0,-0.0
2019-02-21,1.0,-0.0,-0.6498925226470137,-0.18006295102103487,-0.0,-0.0,-1.133578995854445,-0.0,-0.0,-0.36496238292645483,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5099800399201597,-0.0,-0.0
2019-02-22,1.0,-0.0,-0.6537962609690958,-0.18752384586035864,-0.0,-0.0,-1.1219000381533766,-0.0,-0.0,-0.3561236169400992,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.49603204883632196,-0.0,-0.0
2019-02-25,1.0,-0.0,-0.6471507528111301,-0.19531160663236133,-0.0,-0.0,-1.1202591957308936,-0.0,-0.0,-0.3534210024776062,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.49552125023823135,-0.0,-0.0
2019-02-26,1.0,-0.0,-0.6363463223250676,-0.19574905725059993,-0.0,-0.0,-1.1306898259246563,-0.0,-0.0,-0.35767340875328535,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4886298708719004,-0.0,-0.0
2019-02-27,1.0,-0.0,-0.6246575342465754,-0.19094368340943685,-0.0,-0.0,-1.117123287671233,-0.0,-0.0,-0.3773592085235921,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.49505327245053277,-0.0,-0.0
2019-02-28,1.0,-0.0,-0.6384650595056454,-0.16093225511138234,-0.0,-0.0,-1.1319804699420202,-0.0,-0.0,-0.39063930424168447,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4924473603906011,-0.0,-0.0
2019-03-01,1.0,-0.0,-0.6827809523809524,-0.06876190476190476,-0.0,-0.0,-1.1376761904761905,-0.0,-0.03565714285714286,-0.3766095238095238,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5081142857142857,-0.0,-0.0
2019-03-04,1.0,-0.0,-0.7137089166446549,-0.0651673521753896,-0.0,-0.0,-1.0865627712161803,-0.0,-0.01788611750499981,-0.3887777819704916,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5013773065167352,-0.0,-0.0
2019-03-05,1.0,-0.0,-0.7894104934565974,-0.0,-0.0,-0.0,-1.3147236563012767,-0.0,-0.0,-0.33297314603593864,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.522431664465522,-0.04258214271421139,-0.0
2019-03-06,1.0,-0.0,-0.762116122840691,-0.0,-0.0,-0.0,-1.3157389635316696,-0.0,-0.0,-0.35056781829814454,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5151951375559821,-0.0551023672424824,-0.0
2019-03-07,1.0,-0.0,-0.7560279187817259,-0.0,-0.0,-0.0,-1.3011579949238579,-0.0,-0.0,-0.3374048223350254,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.505631345177665,-0.06551395939086295,-0.0
2019-03-08,1.0,-0.0,-0.7759286653517423,-0.0,-0.0,-0.0,-1.3685897435897436,-0.0,-0.0,-0.3421268902038133,-0.0,-0.006040433925049309,-0.0,-0.0,-0.0,-0.0,-0.6056048652202499,-0.010889217619986851,-0.0
2019-03-11,1.0,-0.0,-0.7800049188391539,-0.0,-0.0,-0.0,-1.3768650598458763,-0.0,-0.0,-0.33599770454172817,-0.0,-0.012420068863748156,-0.0,-0.0,-0.0,-0.0,-0.5937448762092147,-0.0,-0.0
2019-03-12,1.0,-0.0,-0.750915900024424,-0.0,-0.0,-0.0,-1.3654237564113003,-0.0,-0.0,-0.3399413823984369,-0.0,-0.004966213465765692,-0.0,-0.0,-0.0,-0.0,-0.5904095090775869,-0.019050720508019214,-0.0
2019-03-13,1.0,-0.0,-0.7376915552657319,-0.0,-0.0,-0.0,-1.3630991196609066,-0.0,-0.0,-0.3402755135311379,-0.0,-0.008844147375285296,-0.0,-0.0,-0.0,-0.0,-0.5964704923377894,-0.02930388001304206,-0.0
2019-03-14,1.0,-0.0,-0.7298566586351941,-0.0,-0.0,-0.0,-1.370563972720219,-0.0,-0.0,-0.3376077102135827,-0.0,-0.012863968636419325,-0.0,-0.0,-0.0,-0.0,-0.5898640094744151,-0.04308408543308694,-0.0
2019-03-15,1.0,-0.0,-0.7082790621947248,-0.0,-0.0,-0.0,-1.362992510582872,-0.0,-0.0,-0.3382041680234451,-0.0,-0.042616411592315204,-0.0,-0.0,-0.0,-0.0,-0.5728183002279388,-0.045384239661348094,-0.0
2019-03-18,1.0,-0.0,-0.7086466929549983,-0.0,-0.0,-0.0,-1.3490385788040165,-0.0,-0.0,-0.34586771819992684,-0.0,-0.04048945079068255,-0.0,-0.0,-0.0,-0.0,-0.568519045489654,-0.052603764380665885,-0.0
2019-03-19,1.0,-0.0,-0.7083568833266047,-0.0,-0.0,-0.0,-1.369156237383932,-0.0,-0.0,-0.3208720226079935,-0.0,-0.03649576100121114,-0.0,-0.0,-0.0,-0.0,-0.544368187323375,-0.05785224061364554,-0.0
2019-03-20,1.0,-0.0,-0.6859868234913706,-0.0,-0.0,-0.0,-1.4141708095873249,-0.0,-0.0,-0.3157511822480902,-0.0,-0.04551149913099713,-0.0,-0.0,-0.0,-0.0,-0.5286366759629764,-0.051816822278808454,-0.0
2019-03-21,1.0,-0.0,-0.6751131587455546,-0.0,-0.0,-0.0,-1.3512770772712577,-0.0,-0.0,-0.32258325250565795,-0.0,-0.06268186226964112,-0.0,-0.0,-0.0,-0.0,-0.5632880698351116,-0.06644034917555772,-0.0
2019-03-22,1.0,-0.0,-0.6640199911329653,-0.0,-0.0,-0.0,-1.2970456652291322,-0.0,-0.0,-0.31562613356978764,-0.0,-0.10366369755350449,-0.0,-0.0,-0.0,-0.0,-0.5707549070976583,-0.07931965660392568,-0.0
2019-03-25,1.0,-0.0,-0.6265230371984185,-0.0,-0.0,-0.0,-1.3277253288146533,-0.0,-0.0,-0.33422093117082224,-0.0,-0.08896151053013798,-0.0,-0.0,-0.0,-0.0,-0.5796417332365045,-0.07738239328653272,-0.0
2019-03-26,1.0,-0.0,-0.64025574619618,-0.0,-0.0,-0.0,-1.334574295888637,-0.0,-0.0,-0.32761411460019424,-0.0,-0.07057300097118809,-0.0,-0.0,-0.0,-0.0,-0.593921981223697,-0.07971835545483975,-0.0
2019-03-27,1.0,-0.0,-0.6332471937333441,-0.0,-0.0,-0.0,-1.3365904869579261,-0.0,-0.0,-0.3303319066462085,-0.0,-0.06706775417911653,-0.0,-0.0,-0.0,-0.0,-0.5877008802390374,-0.08289590567713802,-0.0
2019-03-28,1.0,-0.0,-0.6069494949494949,-0.0,-0.0,-0.0,-1.3257373737373739,-0.0,-0.0,-0.3418989898989899,-0.0,-0.08121212121212121,-0.0,-0.0,-0.0,-0.0,-0.6014141414141415,-0.08319191919191919,-0.0
2019-03-29,1.0,-0.0,-0.5863455446348794,-0.0,-0.0,-0.0,-1.3840061733409148,-0.0,-0.03724311591259849,-0.3199577613516368,-0.0,-0.05840305417918935,-0.0,-0.0,-0.0,-0.0,-0.5921533587848267,-0.08329948826252945,-0.0
2019-04-01,1.0,-0.0,-0.580086931795101,-0.0,-0.0,-0.0,-1.3799406913921275,-0.0,-0.038713084453832716,-0.3197790145021733,-0.0,-0.06694560669456068,-0.0,-0.0,-0.0,-0.0,-0.5948734614290937,-0.0818540033310314,-0.0
2019-04-02,1.0,-0.0,-0.5754924304085952,-0.0,-0.0,-0.0,-1.380473709913723,-0.0,-0.03890607195181508,-0.31975419176298225,-0.0,-0.07349829073742471,-0.0,-0.0,-0.0,-0.0,-0.6023522708774215,-0.07919583265505455,-0.0
2019-04-03,1.0,-0.0,-0.5613071257070769,-0.0,-0.0,-0.0,-1.3585642778659506,-0.0,-0.03861962316363488,-0.3218166280063484,-0.0,-0.09982501119114474,-0.0,-0.0,-0.0,-0.0,-0.6157978268831645,-0.0735766898628576,-0.0
2019-04-04,1.0,-0.0,-0.5755375253549696,-0.0,-0.0,-0.0,-1.3638539553752536,-0.0,-0.0,-0.32494929006085194,-0.0,-0.10539553752535497,-0.0,-0.0,-0.0,-0.0,-0.6089249492900609,-0.07809330628803246,-0.0
2019-04-05,1.0,-0.0,-0.5410161090458488,-0.0,-0.0,-0.0,-1.4601404378356049,-0.0,-0.0,-0.3496902106567534,-0.0,-0.12325485336637752,-0.0,-0.0,-0.0,-0.0,-0.600991325898389,-0.05543163981825692,-0.0
2019-04-08,1.0,-0.0,-0.48977427019687714,-0.0,-0.0,-0.0,-1.5642396469789546,-0.0,-0.0,-0.3085539714867617,-0.0,-0.18906992532247116,-0.0,-0.0,-0.0,-0.0,-0.6157926001357774,-0.07565342837746096,-0.0
2019-04-09,1.0,-0.0,-0.48164165182735524,-0.0,-0.0,-0.0,-1.5677520563045875,-0.0,-0.0,-0.3101416094293225,-0.0,-0.19108793351988468,-0.0,-0.0,-0.0,-0.0,-0.607775799202917,-0.08136182481132875,-0.0
2019-04-10,1.0,-0.0,-0.4559748427672956,-0.0,-0.0,-0.0,-1.5708397076321603,-0.0,-0.0,-0.3291262961074282,-0.0,-0.19020907700152984,-0.0,-0.0,-0.0,-0.0,-0.6172021077681455,-0.0861805201427843,-0.0
2019-04-11,1.0,-0.0,-0.4830897166616657,-0.0,-0.0,-0.0,-1.5610613399631361,-0.0,-0.0,-0.32821809764670584,-0.0,-0.17583265463586095,-0.0,-0.0,-0.0,-0.0,-0.6301170217326074,-0.10814865617900467,-0.0
2019-04-12,1.0,-0.0,-0.5188477647662193,-0.0,-0.0,-0.0,-1.569193948200701,-0.0,-0.0,-0.31836054363620825,-0.0,-0.147875886827934,-0.0,-0.0,-0.0,-0.0,-0.6300538507564749,-0.0895375673134456,-0.0
2019-04-15,1.0,-0.0,-0.5232761190851399,-0.0,-0.0,-0.0,-1.5529196303079347,-0.0,-0.0,-0.313471612930704,-0.0,-0.13037182162783764,-0.0,-0.0,-0.0,-0.0,-0.6263043570850547,-0.11278163465224243,-0.0
2019-04-16,1.0,-0.0,-0.4807494866529774,-0.0,-0.0,-0.0,-1.5636978097193703,-0.0,-0.0,-0.3327344284736482,-0.0,-0.1603353867214237,-0.0,-0.0,-0.0,-0.0,-0.6552446954140999,-0.08517282683093771,-0.0
2019-04-17,1.0,-0.0,-0.4345113456689885,-0.0,-0.0,-0.0,-1.4990812358446222,-0.0,-0.0,-0.3337891543096449,-0.0,-0.2675526686893723,-0.0,-0.0,-0.0,-0.0,-0.6629203880176061,-0.07542412717405239,-0.0
2019-04-18,1.0,-0.0,-0.44809303916538396,-0.0,-0.0,-0.0,-1.4803317940824354,-0.0,-0.0,-0.33311954848640324,-0.0,-0.2811698306824012,-0.0,-0.0,-0.0,-0.0,-0.6759021720540448,-0.057080554130323244,-0.0
2019-04-22,1.0,-0.0,-0.44571672719504374,-0.0,-0.0,-0.0,-1.4906643879512924,-0.0,-0.0,-0.33941465498825035,-0.0,-0.2765648365733817,-0.0,-0.0,-0.0,-0.0,-0.6576372569963683,-0.06259346293527024,-0.0
2019-04-23,1.0,-0.0,-0.4316332182879543,-0.0,-0.0,-0.0,-1.45408837189484,-0.0,-0.0,-0.37918104733904295,-0.0,-0.275086284034258,-0.0,-0.0,-0.0,-0.0,-0.6339852571477268,-0.0869231752524607,-0.0
2019-04-24,1.0,-0.0,-0.39617911479944673,-0.0,-0.0,-0.0,-1.4873357538035963,-0.0,-0.0,-0.39293741355463346,-0.0,-0.31487724757952973,-0.0,-0.0,-0.0,-0.0,-0.681664937759336,-0.049273858921161824,-0.0
2019-04-25,1.0,-0.0,-0.38549254249046133,-0.0,-0.0,-0.0,-1.443721817551162,-0.0,-0.0,-0.3535379812695109,-0.0,-0.36155913978494625,-0.0,-0.0,-0.0,-0.0,-0.7263267429760666,-0.06512313562261533,-0.0
2019-04-26,1.0,-0.0,-0.37363450406928667,-0.0,-0.0,-0.0,-1.4316055185620404,-0.0,-0.0,-0.37097967532750137,-0.0,-0.3707620664142403,-0.0,-0.0,-0.0,-0.0,-0.7324280802541672,-0.07272489881185533,-0.0
2019-04-29,1.0,-0.0,-0.4472092621392777,-0.0,-0.0501123207188526,-0.0,-1.3672023500950405,-0.0,-0.0,-0.3017539312251598,-0.0,-0.2958354933471574,-0.0,-0.0,-0.0407810609987904,-0.0,-0.7513824088474167,-0.06579402108173493,-0.0
2019-04-30,1.0,-0.0,-0.48559263719249957,-0.0,-0.0743591949079649,-0.0,-1.2992860829175985,-0.0,-0.0,-0.2941682435919491,-0.0,-0.27593325305350075,-0.0,-0.0,-0.06309134698090486,-0.0,-0.7298726991226561,-0.07835885085153965,-0.0
2019-05-01,1.0,-0.0,-0.4705405520713341,-0.0,-0.08895430692435685,-0.0,-1.236272878535774,-0.0,-0.0,-0.3553052604633304,-0.0,-0.27168394556081743,-0.0,-0.0,-0.04428516574939204,-0.0,-0.7127010537992235,-0.08669311830709503,-0.0
2019-05-02,1.0,-0.0,-0.4154917542510468,-0.0,-0.05789113902418183,-0.0,-1.213321370588738,-0.0,-0.0,-0.3344014355293515,-0.0,-0.3420917713406819,-0.0,-0.0,-0.052806972571135605,-0.0,-0.7304964539007093,-0.1258651627787747,-0.0
2019-05-03,1.0,-0.0,-0.39722588605709913,-0.0,-0.09773220439943837,-0.0,-1.205760966685104,-0.0,-0.0,-0.3408075564821513,-0.0,-0.3321278134706208,-0.0,-0.0,-0.04080330170616517,-0.0,-0.718716759562609,-0.12164404544100754,-0.0
2019-05-06,1.0,-0.0,-0.33766289254432813,-0.0,-0.10655842768639179,-0.0,-1.2594317453535568,-0.0,-0.0,-0.3519760734885708,-0.0,-0.34727622302926725,-0.0,-0.0,-0.023627430036317027,-0.0,-0.7138218329416791,-0.13227942747276222,-0.0
2019-05-07,1.0,-0.0,-0.3459521677963934,-0.0,-0.09519546404058489,-0.0,-1.2623950206761307,-0.0,-0.0,-0.34744425970925524,-0.0,-0.3388753890096773,-0.0,-0.0,-0.026772392036492305,-0.0,-0.7049068508334398,-0.14153557573432238,-0.0
2019-05-08,1.0,-0.0,-0.3113550021105952,-0.0,-0.0776276910088645,-0.0,-1.2983959476572393,-0.0,-0.0,-0.32144364710848455,-0.0,-0.3354579991557619,-0.0,-0.0,-0.055424229632756436,-0.0,-0.6816378218657662,-0.1398480371464753,-0.0
2019-05-09,1.0,-0.0,-0.30053674823549303,-0.0,-0.0593381513883606,-0.0,-1.3269515236042435,-0.0,-0.0,-0.3217108321710832,-0.0,-0.3474916529309835,-0.0,-0.0,-0.07167913444064072,-0.0,-0.6424918642491864,-0.1562486792612316,-0.0
2019-05-10,1.0,-0.0,-0.29615221987315016,-0.0,-0.06215644820295983,-0.0,-1.3359830866807612,-0.0,-0.0,-0.32063424947145874,-0.0,-0.34799154334038057,-0.0,-0.0,-0.06858350951374206,-0.0,-0.6416067653276957,-0.15526427061310785,-0.0
