Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WWW
2018-09-24,-0.2981786974349194,-0.8264517974635264,-0.09023870824195035,-0.4568513397539811,-0.5067861797145672,0.0,1.0
2018-09-25,-0.2977227911710451,-0.8275554990140577,-0.08911646841803957,-0.4579225240124674,-0.5081737802938745,0.0,1.0
2018-09-26,-0.2988641063985491,-0.8291068758153297,-0.09134875433516815,-0.45757103312227554,-0.5048522065608196,0.0,1.0
2018-09-27,-0.3053758643765336,-0.8191899557056819,-0.09480258755297792,-0.46043784455562287,-0.5068353462286097,0.0,1.0
2018-09-28,-0.3033374772879411,-0.8212361735360685,-0.09537470912626311,-0.4605846163654331,-0.5070925376940486,0.0,1.0
2018-10-01,-0.3040581465778316,-0.8203640536835729,-0.09538078995186329,-0.46102840383818416,-0.5070611112882145,0.0,1.0
2018-10-02,-0.3044661437489995,-0.8422282695693933,-0.0896430286537538,-0.4600288138306387,-0.5051384664639027,0.0,1.0
2018-10-03,-0.3164710114123148,-0.8883620548706713,-0.0929662208560871,-0.46819920865897124,-0.5040057552074817,0.0,1.0
2018-10-04,-0.31696472357537514,-0.887010821590872,-0.09340569522999968,-0.4686304639225815,-0.5033510968712199,0.0,1.0
2018-10-05,-0.3130363844020232,-0.8888562571381955,-0.087975199869473,-0.4689835209658998,-0.5043237069668788,0.0,1.0
2018-10-08,-0.31126604548120157,-0.8861340978692904,-0.08418583436502247,-0.4724050302990812,-0.5039747181859647,0.0,1.0
2018-10-09,-0.30893433799784714,-0.8882473823270378,-0.07675245457807352,-0.4774113579280425,-0.5105848582705418,0.0,1.0
2018-10-10,-0.30941046041476455,-0.887537498369636,-0.07740967784009391,-0.4775335854962827,-0.508803965044998,0.0,1.0
2018-10-11,-0.2909932200122104,-0.889110247100029,-0.05488255518781531,-0.4688474020757688,-0.5094309308826837,0.0,1.0
2018-10-12,-0.30115351615875935,-0.8875718961517683,-0.05236899806158442,-0.44907686929994595,-0.4875274079252597,0.0,1.0
2018-10-15,-0.2981459140262874,-0.8926915994666328,-0.04762207124261858,-0.4486316591529621,-0.48774525366689947,0.0,1.0
2018-10-16,-0.297012413880687,-0.8971965584023874,-0.04422643426358065,-0.44880464806172016,-0.48766549195161435,0.0,1.0
2018-10-17,-0.2886481394253415,-0.8780028261893547,-0.03843617522373999,-0.44518762757104724,-0.489967027790862,0.0,1.0
2018-10-18,-0.28833835719668427,-0.8777003265511178,-0.038526752072343635,-0.4454596834966089,-0.4899208741522231,0.0,1.0
2018-10-19,-0.2797204978631812,-0.8727890944255544,-0.030383379605078455,-0.446766696821287,-0.48978382256605424,0.0,1.0
2018-10-22,-0.2794962088766219,-0.909203388217379,-0.04952254052853654,-0.44478284318390915,-0.4894832016750738,0.0,1.0
2018-10-23,-0.28555972761407755,-0.9115382167631897,-0.05899573601476485,-0.4388086297969834,-0.48717622350919626,0.0,1.0
2018-10-24,-0.28805628063920546,-0.9093397848093209,-0.04994588400076399,-0.44298720315782775,-0.4929967530400459,0.0,1.0
2018-10-25,-0.25912623463479584,-0.8728055237328545,-0.04433848345047528,-0.45301421184630153,-0.46697835712295266,0.0,1.0
2018-10-26,-0.24712608158220026,-0.8725278121137207,-0.014431396786155747,-0.48448702101359703,-0.47169344870210134,0.0,1.0
2018-10-29,-0.23896175872898576,-0.8788410616417267,-0.00726645729416836,-0.4800480325143173,-0.47385922778496214,0.0,1.0
2018-10-30,-0.2138627979788586,-0.8884342354071733,-0.0,-0.49114975665705696,-0.5064943116649617,0.0,1.0
2018-10-31,-0.2129795175810044,-0.9075624980395847,-0.0,-0.499984316677645,-0.5161381387033029,0.0,1.0
