Date,IWF,IWM,MTUM,RCII,SPY,VLUE,VXX
2018-09-24,-1.0646290080696994,-1.8758837391987435,-0.1336142255231022,1.0,-1.5798757409126618,-1.487395558094694,0.0
2018-09-25,-1.0674518201284795,-1.872234118486795,-0.13882940756602424,1.0,-1.5767309064953605,-1.4825124910778016,0.0
2018-09-26,-1.0675241157556272,-1.8733833511968563,-0.13597713469096107,1.0,-1.5796355841371919,-1.4889603429796356,0.0
2018-09-27,-1.0726169225276685,-1.859407354516244,-0.1400928239914316,1.0,-1.579792931096037,-1.4883970010710459,0.0
2018-09-28,-1.0707452884066249,-1.8600085665334094,-0.14106225014277554,1.0,-1.5790262707024556,-1.4879354654483152,0.0
2018-10-01,-1.0706025128498,-1.859937178754997,-0.14170474014848658,1.0,-1.578669331810394,-1.4878640776699028,0.0
2018-10-02,-1.0706940874035988,-1.8635389888603255,-0.14231648100542701,1.0,-1.5774778634675808,-1.4867894887175093,0.0
2018-10-03,-1.0703370465581263,-1.847829191659526,-0.14038846043987432,1.0,-1.5841902313624678,-1.4980719794344473,0.0
2018-10-04,-1.0736196319018405,-1.8382793551148522,-0.14167498929947211,1.0,-1.587887002425453,-1.4922242830646313,0.0
2018-10-05,-1.0492257422929394,-1.8255434010512859,-0.11010086660036938,1.0,-1.6053416678505472,-1.5129990055405598,0.0
2018-10-08,-1.0454577689525566,-1.819374512445926,-0.1009857456917949,1.0,-1.6131480036876817,-1.5127295936458407,0.0
2018-10-09,-1.043755762002695,-1.8200836820083681,-0.09616339266718672,1.0,-1.61563009715623,-1.51606269058932,0.0
2018-10-10,-1.0450840008506415,-1.8179627135464664,-0.09739845466789537,1.0,-1.616148011625434,-1.512086198341249,0.0
2018-10-11,-0.9120787685480516,-1.8378865621966443,-0.0,1.0,-1.6076827069754545,-1.5762030231590627,0.0
2018-10-12,-0.926037529105602,-1.8257088070127379,-0.0,1.0,-1.568209834269278,-1.5284207642788656,0.0
2018-10-15,-0.876707650273224,-1.8687841530054645,-0.0,1.0,-1.5572404371584698,-1.5278688524590163,0.0
2018-10-16,-0.8697820591651295,-1.8809865409578466,-0.0,1.0,-1.5552367288378768,-1.5260640841702535,0.0
2018-10-17,-0.8191625648978491,-1.8015642910120693,-0.0,1.0,-1.559301463151507,-1.5626727799878632,0.0
2018-10-18,-0.818255359309694,-1.8000539301604421,-0.0,1.0,-1.5603343669947418,-1.5626263988135365,0.0
2018-10-19,-0.7807064490232807,-1.7751538667380249,-0.0,1.0,-1.5683034519668182,-1.5656944072785657,0.0
2018-10-22,-0.7806003075071863,-1.7627515208235842,-0.0,1.0,-1.5722976134768367,-1.5693562403904004,0.0
2018-10-23,-0.7853084686852483,-1.762916917318361,-0.0,1.0,-1.568611723815253,-1.5672080743265826,0.0
2018-10-24,-0.7809225018356585,-1.755356785261331,-0.0,1.0,-1.569054135237968,-1.569788398638275,0.0
2018-10-25,-0.6962574462574462,-1.6620046620046622,-0.0,1.0,-1.6034706034706034,-1.5133385133385135,0.0
2018-10-26,-0.6534061696658098,-1.6424807197943447,-0.0,1.0,-1.6286632390745501,-1.5022493573264784,0.0
