Date,ARCE,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-05-28,1.0,-0.0,-0.8593994369721615,-0.5923522051923679,-2.967000312793244,-2.4010791366906474,0.0
2019-05-29,1.0,-0.0,-0.9050028105677346,-0.6200112422709387,-3.080141331406087,-2.4250381434192563,0.0
2019-05-30,1.0,-0.0,-0.8961976576287501,-0.6184822717792395,-3.076046847424996,-2.431092571795283,0.0
2019-05-31,1.0,-0.0,-0.9016367137355583,-0.6121630295250321,-3.073491655969191,-2.435895378690629,0.0
2019-06-03,1.0,-0.0,-0.9025958561562276,-0.6578550448519489,-3.0446137969357783,-2.3333333333333335,0.0
2019-06-04,1.0,-0.0,-0.9043457535552554,-0.6534519742591562,-3.0432986414554697,-2.343608484944784,0.0
2019-06-05,1.0,-0.0,-0.8663710725479703,-0.6655454475957495,-2.95245011849247,-2.1603088448895345,0.0
2019-06-06,1.0,-0.0,-0.892343032159265,-0.6181470137825421,-2.942113323124043,-2.204364471669219,0.0
2019-06-07,1.0,-0.0,-0.9020791927839781,-0.6122152576058707,-2.93288487998777,-2.1969117871885033,0.0
2019-06-10,1.0,-0.0,-0.9059360730593609,-0.5968036529680366,-2.9114155251141556,-2.1961948249619483,0.0
2019-06-11,1.0,-0.0,-0.9056560392397301,-0.6233139178418148,-2.9412936848559164,-2.1937461679950947,0.0
2019-06-12,1.0,-0.0,-0.910255426862008,-0.62936258341643,-2.941167446498427,-2.1896908798036354,0.0
2019-06-13,1.0,-0.0,-0.9322164749478884,-0.6525129313672507,-2.9593144445302246,-2.176175403381456,0.0
2019-06-14,1.0,-0.0,-0.9188876906485903,-0.6628408565706363,-2.9597904791249428,-2.1615313511015257,0.0
2019-06-17,1.0,-0.0,-0.9116945107398567,-0.6660250981599816,-2.9632766186773423,-2.157825852644545,0.0
2019-06-18,1.0,-0.0,-0.9027585144089998,-0.6707505008475882,-2.966019417475728,-2.1658190784404376,0.0
2019-06-19,1.0,-0.0,-0.901238366279517,-0.7000999923082841,-2.9683101299900008,-2.1219906161064537,0.0
2019-06-20,1.0,-0.0,-0.9026480352041997,-0.7080985099976839,-2.9796958233613835,-2.129776885663553,0.0
2019-06-21,1.0,-0.0,-0.9249786871270247,-0.6987522281639929,-2.973184530729288,-2.1531426799969,0.0
2019-06-24,1.0,-0.0,-0.9073038073038072,-0.6899766899766899,-2.999067599067599,-2.1735819735819732,0.0
2019-06-25,1.0,-0.0,-0.9345261348542855,-0.6877881084459724,-3.0058598327994375,-2.184936323150246,0.0
2019-06-26,1.0,-0.0,-0.9336865892620587,-0.6742772539546481,-2.9887010052209146,-2.19574534403491,0.0
2019-06-27,1.0,-0.0,-0.931451298448101,-0.6704359354285269,-2.9895500272947046,-2.2069718474615923,0.0
2019-06-28,1.0,-0.0,-0.9093314654836953,-0.6748385088333723,-2.9954082029729943,-2.20305082107557,0.0
2019-07-01,1.0,-0.0,-0.8799497171590195,-0.7089094908862351,-3.0691389063482086,-2.1986957888120675,0.0
2019-07-02,1.0,-0.0,-0.8924368429311157,-0.6917464302526283,-3.0596265495057273,-2.20171034049898,0.0
2019-07-03,1.0,-0.0,-0.8952612584340186,-0.6894712066530677,-3.0582927977404677,-2.2025733563470893,0.0
2019-07-05,1.0,-0.0,-0.9073405535499399,-0.6849578820697955,-3.142559165663859,-2.2876052948255117,0.0
2019-07-08,1.0,-0.0,-0.9407571288102261,-0.6751065224516553,-3.220665355621108,-2.3575876761717467,0.0
2019-07-09,1.0,-0.0,-0.9245514868518063,-0.675595969525682,-3.2255263373474237,-2.3663471778487755,0.0
2019-07-10,1.0,-0.0,-0.9242747090640878,-0.6744795935092608,-3.2261924274709064,-2.3704310768726438,0.0
2019-07-11,1.0,-0.0,-0.9265536723163841,-0.6712519446491443,-3.22156718251044,-2.368623597805617,0.0
