Date,IWF,IWM,MTUM,PKX,SPY,VLUE,VXX
2018-09-24,-0.4367771330659293,-0.7478094941391799,-0.09790100860625413,1.0,-0.7931773044121655,-0.8185677012344716,0.0
2018-09-25,-0.4369597383381357,-0.7474885133556577,-0.09835682579238378,1.0,-0.7928510240635465,-0.8181216416166965,0.0
2018-09-26,-0.43962256794166965,-0.7513939252154248,-0.10266307950247593,1.0,-0.7929192498147932,-0.8124926892034157,0.0
2018-09-27,-0.443167205704711,-0.7426645364922261,-0.10528776838249619,1.0,-0.793204223980049,-0.8123368273389704,0.0
2018-09-28,-0.4439767722826299,-0.7422346934798707,-0.10565493588994115,1.0,-0.7931719864375074,-0.8122685997116021,0.0
2018-10-01,-0.4512223789374706,-0.7445541451183199,-0.10445071305438018,1.0,-0.8009716345400407,-0.8166823381915059,0.0
2018-10-02,-0.4530209231251469,-0.7303111041454431,-0.10982681608024449,1.0,-0.8044824073348483,-0.8205469790768748,0.0
2018-10-03,-0.4528006267136701,-0.727849588719154,-0.1098315707011359,1.0,-0.8048962005483744,-0.8215824520172345,0.0
2018-10-04,-0.45529632819228055,-0.7227746026775228,-0.11058482737023408,1.0,-0.8077194081265168,-0.8182102873248258,0.0
2018-10-05,-0.49550024323009567,-0.7814982973893303,-0.12015566726122912,1.0,-0.827995784011675,-0.8287254742986865,0.0
2018-10-08,-0.49426033342798037,-0.7795400154139456,-0.11276518070823023,1.0,-0.838437512675942,-0.8313389851133736,0.0
2018-10-09,-0.4969955339017459,-0.7805115712545676,-0.11770198944376777,1.0,-0.8368250101502233,-0.8281364190012181,0.0
2018-10-10,-0.49738198644315457,-0.7796809676502822,-0.11803385152413037,1.0,-0.8370743191135284,-0.8267646223160288,0.0
2018-10-11,-0.4433450746032374,-0.7795939367554517,-0.03906280919776784,1.0,-0.8348834448094352,-0.8608461629793802,0.0
2018-10-12,-0.45278223125953154,-0.769366128338482,-0.033746529542877254,1.0,-0.8157040628788175,-0.838814374535643,0.0
2018-10-15,-0.4501719556041895,-0.772666875097702,-0.028099108957323746,1.0,-0.8168672815382211,-0.8402766921994685,0.0
2018-10-16,-0.4477687825100708,-0.7848175525049865,-0.01959403965739763,1.0,-0.8180609331612501,-0.8407446517267003,0.0
2018-10-17,-0.43028364421149995,-0.7429474333281949,-0.0,1.0,-0.8211808231848312,-0.8593340527208263,0.0
2018-10-18,-0.4283840098780676,-0.7404692082111436,-0.0020450686834388022,1.0,-0.8266321963265936,-0.8610510881308844,0.0
2018-10-19,-0.4230502466091246,-0.7387099260172627,-0.0,1.0,-0.8286837237977807,-0.8628622071516646,0.0
2018-10-22,-0.42399349013833454,-0.7226721432169566,-0.0,1.0,-0.847870732746929,-0.8803812918975471,0.0
2018-10-23,-0.4288648606751153,-0.7233267449521374,-0.0,1.0,-0.8445529589582608,-0.8787737859938768,0.0
2018-10-24,-0.4271438531257262,-0.7172515299403517,-0.0,1.0,-0.846231311488109,-0.8826012859245487,0.0
2018-10-25,-0.389542532797053,-0.6640228545652747,-0.0,1.0,-0.854828402811713,-0.8505807615682442,0.0
2018-10-26,-0.37472077438570367,-0.6509307520476545,-0.0,1.0,-0.8565897244973939,-0.8407669396872673,0.0
2018-10-29,-0.3493287843951643,-0.6619446710672698,-0.0,1.0,-0.8466958392049246,-0.8503671289772307,0.0
2018-10-30,-0.3443188137164041,-0.6618350324374421,-0.0,1.0,-0.8467099165894346,-0.8542354031510658,0.0
2018-10-31,-0.3571163962362006,-0.6350300066681484,-0.0,1.0,-0.8561902645032229,-0.856227309772542,0.0
2018-11-01,-0.35792359850309385,-0.6345918707621624,-0.0,1.0,-0.8563488828782095,-0.8563118307458594,0.0
2018-11-02,-0.3615421473591095,-0.6130625483763961,-0.0,1.0,-0.8600862482031625,-0.8511297040286019,0.0
2018-11-05,-0.3506541778174249,-0.6611284567350579,-0.0,1.0,-0.874145108534047,-0.8309916741005055,0.0
2018-11-06,-0.3588379705400982,-0.6688736795119774,-0.0,1.0,-0.8692158904924862,-0.8227570302038386,0.0
2018-11-07,-0.3590087073007368,-0.6691597826895884,-0.0,1.0,-0.8697998065044282,-0.8231003944332813,0.0
2018-11-08,-0.3219211003068732,-0.6758975117388251,-0.0,1.0,-0.8624246681702222,-0.8370244389396236,0.0
2018-11-09,-0.32318223866790013,-0.676854764107308,-0.0,1.0,-0.8623126734505088,-0.8379278445883442,0.0
2018-11-12,-0.32219640815724454,-0.6657816130102887,-0.0,1.0,-0.8645867905741784,-0.8351218792639303,0.0
2018-11-13,-0.30599530929346236,-0.6593740838463794,-0.0,1.0,-0.8659850483729111,-0.8332600410436821,0.0
2018-11-14,-0.30841190065666385,-0.659085072819986,-0.0,1.0,-0.8676033603580469,-0.8334128177849517,0.0
2018-11-15,-0.3073904272877315,-0.6589400330093526,-0.0,1.0,-0.8681826517513296,-0.8332294150009169,0.0
2018-11-16,-0.310074668039872,-0.6649501600029426,-0.0,1.0,-0.8704527899363667,-0.8326773825725531,0.0
2018-11-19,-0.30945811720560645,-0.6653423095316925,-0.0,1.0,-0.8709855424346098,-0.8329470625022992,0.0
2018-11-20,-0.2570036986853188,-0.6563518511736918,-0.0,1.0,-0.882484344673527,-0.8661881568828506,0.0
2018-11-21,-0.26154069661860313,-0.6480586932045181,-0.0,1.0,-0.8800348672502087,-0.8423346529619001,0.0
2018-11-23,-0.2620862369337979,-0.6442000580720093,-0.0,1.0,-0.8809523809523809,-0.8422619047619048,0.0
2018-11-26,-0.26442413162705664,-0.6423765996343693,-0.0,1.0,-0.8946983546617915,-0.8547714808043875,0.0
