Date,IWF,IWM,MTUM,SPY,THCX,VLUE,VXX
2020-03-06,-0.1737943585077343,-1.2325295723384895,-1.2183348498635123,-0.8865332120109191,1.0,-0.03839854413102821,0.0
2020-03-09,-0.1614656460890439,-1.2323474795054123,-1.2231985144254722,-0.8877666560985552,1.0,-0.024412337515286018,0.0
2020-03-10,-0.4868810416255671,-0.7147760899585717,-0.9572302229236536,-0.6927993687117774,1.0,-0.09386466758729532,0.0
2020-03-11,-0.38701427589892357,-0.8378502175738606,-0.9634704939308345,-0.6073746087487595,1.0,-0.02141384838537293,0.0
2020-03-12,-0.4051157840654703,-0.7387427061543543,-0.903849682557158,-0.6060772872398986,1.0,-0.01607398436639877,0.0
2020-03-13,-0.4539197582675843,-0.566896088635219,-0.7540708410273628,-0.5395333221420178,1.0,-0.04297465167030384,0.0
2020-03-16,-0.3411891412461592,-0.6766764864265576,-0.7000538502961766,-0.4497133263644715,1.0,-0.0,0.0
2020-03-17,-0.37044323573660454,-0.4599294063187131,-0.4809628515218146,-0.5184874435829187,1.0,-0.06336072213864136,0.0
2020-03-18,-0.3581911939706466,-0.48492661642205476,-0.40658468861562874,-0.5133450444834816,1.0,-0.07032356774522582,0.0
2020-03-19,-0.3601963534361851,-0.4607012622720898,-0.39744740532959333,-0.5160448807854138,1.0,-0.07065918653576438,0.0
2020-03-20,-0.3673949389328119,-0.545325738898807,-0.3737992008841282,-0.5159398112726346,1.0,-0.03128453625775737,0.0
2020-03-23,-0.37908200803667436,-0.6398494538457185,-0.28405682268379645,-0.5157903673099778,1.0,-0.011036278227403926,0.0
2020-03-24,-0.3862616109997459,-0.6428470594878455,-0.26759648776080636,-0.5066207402806403,1.0,-0.0200175047291002,0.0
2020-03-25,-0.38313102171901364,-0.6317293560502967,-0.20322791355941427,-0.4923520766425344,1.0,-0.011240542158837297,0.0
2020-03-26,-0.3698999972451032,-0.6332681341083777,-0.23372544698201053,-0.5039257279814872,1.0,-0.0141050717650624,0.0
2020-03-27,-0.3712320061890421,-0.6373608156273313,-0.2359019699941978,-0.5071146354267401,1.0,-0.011300527726355926,0.0
2020-03-30,-0.35287147266313934,-0.6288029100529101,-0.2646604938271605,-0.5093970458553791,1.0,-0.0,0.0
2020-03-31,-0.3381617138908085,-0.6594056668970283,-0.2651278507256392,-0.5016447823082238,1.0,-0.0,0.0
2020-04-01,-0.33923735838629454,-0.6613705443492678,-0.26117712075158883,-0.5014092290688036,1.0,-0.0,0.0
2020-04-02,-0.3401110073088971,-0.6491454635379458,-0.25490465461339784,-0.5035445403088421,1.0,-0.0,0.0
2020-04-03,-0.3389891002937704,-0.6513192213711116,-0.25483897537270406,-0.5003706449221645,1.0,-0.0,0.0
2020-04-06,-0.34028311203774825,-0.6461373861516514,-0.25488313398441786,-0.5020575002743334,1.0,-0.0,0.0
2020-04-07,-0.3208501479687921,-0.6218455743879473,-0.24307237019101427,-0.5045466774280334,1.0,-0.0,0.0
2020-04-08,-0.32060945407558955,-0.6251480564229568,-0.23834392161085388,-0.5078335307418973,1.0,-0.0,0.0
2020-04-09,-0.322612660944206,-0.6119098712446351,-0.2427575107296137,-0.5050965665236051,1.0,-0.0,0.0
2020-04-13,-0.3374795592847761,-0.5792831675736536,-0.2540278261802,-0.5099321770366995,1.0,-0.0,0.0
2020-04-14,-0.3488778390001344,-0.5523451149039107,-0.27778524391882814,-0.5087757021905658,1.0,-0.0,0.0
2020-04-15,-0.33869974016233156,-0.5609547025260508,-0.26891859312635613,-0.5101658139347995,1.0,-0.0,0.0
2020-04-16,-0.3478830672122817,-0.541603145310118,-0.2760437561849742,-0.5090534649228383,1.0,-0.0,0.0
2020-04-17,-0.3425375929790763,-0.5539144860063145,-0.2660405629582062,-0.513137475250174,1.0,-0.0,0.0
2020-04-20,-0.3473672962359416,-0.5435845377073705,-0.27026954825955707,-0.5102182566184917,1.0,-0.0,0.0
2020-04-21,-0.3474578535360282,-0.5486921905474365,-0.2752411231932459,-0.500360682892944,1.0,-0.0,0.0
2020-04-22,-0.33567456833479664,-0.5618431904647884,-0.2614201718679331,-0.5015563891771091,1.0,-0.0,0.0
