Date,IWF,IWM,MTUM,OCFC,SPY,VLUE,VXX
2018-09-24,-0.13350390970611445,-0.5897319400272604,-0.02857552787010689,1.0,-0.3215763169851024,-0.31789378033908033,0.0
2018-09-25,-0.1323963255222699,-0.593672798791164,-0.0250401746096467,1.0,-0.32506655793538486,-0.3223083011536709,0.0
2018-09-26,-0.13232437099752956,-0.5936488139495838,-0.024872280718585854,1.0,-0.3251145276185451,-0.3225001798863118,0.0
2018-09-27,-0.13125362178868072,-0.6065288777284141,-0.02214120146803168,1.0,-0.3286652501448715,-0.32593683600540857,0.0
2018-09-28,-0.12860079816180917,-0.6107147176200266,-0.022687144757528116,1.0,-0.3296166404643851,-0.32705284798645545,0.0
2018-10-01,-0.12809337013898978,-0.6127415371204417,-0.023051963775485497,1.0,-0.3297011961838346,-0.32783669911375857,0.0
2018-10-02,-0.12815915093653832,-0.616782572875524,-0.02205044948993191,1.0,-0.3290605539266762,-0.3270735903462647,0.0
2018-10-03,-0.12942405324653242,-0.6239220735054778,-0.02297957101561931,1.0,-0.32827264556562297,-0.32453178516773146,0.0
2018-10-04,-0.12798333741729967,-0.6383974516049987,-0.022151433472188186,1.0,-0.32722371967654984,-0.33462386669933836,0.0
2018-10-05,-0.1179974125515659,-0.6351453609002368,-0.013571899333609978,1.0,-0.33263358312788344,-0.3416408328654771,0.0
2018-10-08,-0.11704046806435885,-0.6340078010726475,-0.012286689419795223,1.0,-0.3333495855680156,-0.341175036567528,0.0
2018-10-09,-0.11491896114040226,-0.6357156805311462,-0.0058582308142940825,1.0,-0.33765377855887524,-0.3467828549111502,0.0
2018-10-10,-0.11571498291849681,-0.6348462664714495,-0.006930209858467545,1.0,-0.33809175207418257,-0.34463152757442655,0.0
2018-10-11,-0.07117344509000857,-0.6338222687875036,-0.0,1.0,-0.3240546718735117,-0.3521287741689685,0.0
2018-10-12,-0.06762062440870388,-0.6340586565752128,-0.0,1.0,-0.31778618732261116,-0.34571901608325445,0.0
2018-10-15,-0.03348633671843414,-0.6763146003282041,-0.0,1.0,-0.3162889147858349,-0.3521773253739862,0.0
2018-10-16,-0.031178652968036527,-0.6800085616438356,-0.0,1.0,-0.3155917047184171,-0.35145547945205474,0.0
2018-10-17,-0.018479817784769998,-0.6583464437504403,-0.0,1.0,-0.31359335008335876,-0.3576913142508277,0.0
2018-10-18,-0.01768685112979753,-0.656950251327101,-0.0,1.0,-0.315944003382346,-0.35827030582045377,0.0
2018-10-19,-0.012022216493637366,-0.658901830282862,-0.0,1.0,-0.31506175154085914,-0.3575261887464555,0.0
2018-10-22,-0.013116831311448484,-0.6625759673369782,-0.0,1.0,-0.31410000703944435,-0.35668864537625833,0.0
2018-10-23,-0.009508119557542952,-0.6645799011532125,-0.0,1.0,-0.3192515886090845,-0.36015533066603905,0.0
