Date,HCC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.7964601769911505,-1.5008611985508107,-0.15062065688661877,-1.2894221060759044,-1.2019362119142365,0.0
2018-09-25,1.0,-0.8048185603807257,-1.4993456276026174,-0.16073765615704938,-1.2875669244497323,-1.1963712076145152,0.0
2018-09-26,1.0,-0.8169174509921467,-1.5195132186319762,-0.17259157124872607,-1.2960254181403992,-1.1898567232180324,0.0
2018-09-27,1.0,-0.8170064345420651,-1.5315412833002588,-0.17132719947080402,-1.2998977689578448,-1.1938180287449638,0.0
2018-09-28,1.0,-0.8139059304703476,-1.5344640923854207,-0.1725610489594611,-1.2996511488030795,-1.1940935883555879,0.0
2018-10-01,1.0,-0.8139773275446214,-1.542269657501206,-0.1739628557645924,-1.3017969126869273,-1.1978412928123494,0.0
2018-10-02,1.0,-0.8264432708067748,-1.505008195228556,-0.19195046439628485,-1.325380926364354,-1.2217568141807806,0.0
2018-10-03,1.0,-0.8254882930971733,-1.492721096688099,-0.1906466092442072,-1.3286424845323306,-1.228314933883295,0.0
2018-10-04,1.0,-0.8366453965360072,-1.481920388939532,-0.19252506836827712,-1.3437253114554846,-1.2223640230932848,0.0
2018-10-05,1.0,-0.8204911092294667,-1.4725414297810573,-0.1726140074996976,-1.3517600096770293,-1.2306761824119996,0.0
2018-10-08,1.0,-0.8198509361934193,-1.4722777676786039,-0.161728170635642,-1.3691450039386779,-1.2364418590559292,0.0
2018-10-09,1.0,-0.8186390353269102,-1.472823123068533,-0.15833484820941646,-1.3709628552384414,-1.2387444707022965,0.0
2018-10-10,1.0,-0.8198667474258026,-1.4708055723803755,-0.15972138098122352,-1.3715929739551789,-1.2348879466989704,0.0
2018-10-11,1.0,-0.7281303099548838,-1.4669830667369779,-0.029472080623425323,-1.3597000058592605,-1.2749750981426144,0.0
2018-10-12,1.0,-0.8063044130891623,-1.5334133893725608,-0.019693785649954967,-1.3727409186430501,-1.2721104773341338,0.0
2018-10-15,1.0,-0.7648293648413603,-1.5848977388592336,-0.0,-1.3696995141846098,-1.278234270977029,0.0
2018-10-16,1.0,-0.7512138868657442,-1.6467589220684633,-0.0,-1.3818281136198107,-1.2896941005098326,0.0
2018-10-17,1.0,-0.7033661006851355,-1.5643133750372358,-0.0,-1.3762883526958594,-1.3136729222520107,0.0
2018-10-18,1.0,-0.7021568160152526,-1.561844613918017,-0.0,-1.37958770257388,-1.3144065776930411,0.0
2018-10-19,1.0,-0.6708510136727959,-1.5355374823196606,-0.0,-1.3785950023573785,-1.3084040546911835,0.0
2018-10-22,1.0,-0.678957368483553,-1.5659066619166373,-0.0,-1.3809523809523812,-1.3117206982543643,0.0
2018-10-23,1.0,-0.6970275755043571,-1.5772949743344873,-0.0,-1.3794914647248417,-1.3148501850304406,0.0
