Date,CWEN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.31277027912462324,-0.8743611584327087,-0.0,-0.6173502817455117,-0.47162888219106275,0.0
2018-09-25,1.0,-0.312901323548683,-0.8742628751146638,-0.0,-0.6173175206394967,-0.47166164329707766,0.0
2018-09-26,1.0,-0.31497113876747523,-0.8887924994161023,-0.0,-0.6339795135297455,-0.4988488872576825,0.0
2018-09-27,1.0,-0.31668221807517993,-0.8837976539589443,-0.0,-0.6335977072780591,-0.49836710210610496,0.0
2018-09-28,1.0,-0.3157947350883039,-0.8845051649450184,-0.0,-0.6334221926024659,-0.49846717760746423,0.0
2018-10-01,1.0,-0.3156929438442044,-0.8860877684407097,-0.0,-0.6336534613845538,-0.4992663732159531,0.0
2018-10-02,1.0,-0.31854865603948507,-0.8757753618355232,-0.0,-0.6373307543520309,-0.5032348429266991,0.0
2018-10-03,1.0,-0.3184521820490543,-0.8641315244269197,-0.0,-0.6445899886386419,-0.5144356078326539,0.0
2018-10-04,1.0,-0.3205902974858936,-0.8596040198991687,-0.0,-0.6468231444692999,-0.5118026109311876,0.0
2018-10-05,1.0,-0.30330479792952425,-0.8501891300019909,-0.0,-0.6494790629769727,-0.5151304001592674,0.0
2018-10-08,1.0,-0.29951946975973487,-0.8462966031483015,-0.0,-0.6538525269262634,-0.5143330571665286,0.0
2018-10-09,1.0,-0.29485350233931706,-0.8471977967282741,-0.0,-0.6569665195606729,-0.5191293094866775,0.0
2018-10-10,1.0,-0.29832951413104847,-0.8468998040583177,-0.0,-0.6598917339178373,-0.515891202550563,0.0
2018-10-11,1.0,-0.2207518892892446,-0.826217276234814,-0.0,-0.6281049711425017,-0.5135996938873122,0.0
2018-10-12,1.0,-0.22252489197820777,-0.8146721773436032,-0.0,-0.6065815016594652,-0.48728787024860665,0.0
2018-10-15,1.0,-0.204648260801747,-0.8278583684292622,-0.0,-0.6018405864919669,-0.4852909062548744,0.0
2018-10-16,1.0,-0.2007364183854963,-0.8345242924454708,-0.0,-0.6008362717259026,-0.4842887009704497,0.0
2018-10-17,1.0,-0.1798370112627049,-0.7936391661325275,-0.0,-0.5917040564050912,-0.48704331105210147,0.0
2018-10-18,1.0,-0.18042402395063237,-0.7957169915073011,-0.0,-0.5912506873587096,-0.48753589539927905,0.0
2018-10-19,1.0,-0.16351269649334946,-0.7831318016928659,-0.0,-0.5921100362756953,-0.48422007255139055,0.0
2018-10-22,1.0,-0.1636501210653753,-0.7732142857142855,-0.0,-0.599001210653753,-0.49076876513317186,0.0
2018-10-23,1.0,-0.16717113626732852,-0.7735940432229553,-0.0,-0.5965252133906411,-0.4895272110902597,0.0
2018-10-24,1.0,-0.16558716707021792,-0.7747881355932202,-0.0,-0.5970338983050847,-0.48919491525423725,0.0
2018-10-25,1.0,-0.12811771561771562,-0.7252913752913753,-0.0,-0.6056526806526806,-0.45469114219114215,0.0
2018-10-26,1.0,-0.11143070816314789,-0.7108957026980383,-0.0,-0.6090720819191163,-0.44494621181614213,0.0
2018-10-29,1.0,-0.09890769758664075,-0.7132277250371727,-0.0,-0.6028251172366466,-0.4444698616035686,0.0
2018-10-30,1.0,-0.09543544745191071,-0.7130076885700403,-0.0,-0.6027095778431989,-0.4470803441278189,0.0
2018-10-31,1.0,-0.0979114121347805,-0.6968571995352396,-0.0,-0.5981239549975912,-0.44101227080794625,0.0
2018-11-01,1.0,-0.08540794387235487,-0.7058107955188412,-0.0,-0.5970351929387802,-0.4407604390630304,0.0
2018-11-02,1.0,-0.0920542090760839,-0.6757015126806502,-0.0,-0.6075746499465783,-0.4363436990384075,0.0
