Date,IWF,IWM,LAC,MTUM,SPY,VLUE,VXX
2018-09-24,-1.423971017409681,-3.0270705444299084,1.0,-0.31327362383012985,-2.1347489181845627,-2.164435946462715,0.0
2018-09-25,-1.4383893430214956,-3.029367241901302,1.0,-0.3283883338379251,-2.13603794530225,-2.1597537592088,0.0
2018-09-26,-1.4461053487899127,-3.0500305064063453,1.0,-0.31736831401260934,-2.159751881228391,-2.1955460646735814,0.0
2018-09-27,-1.4566720911310007,-3.029393816110659,1.0,-0.3245524816924329,-2.1629373474369404,-2.197213181448332,0.0
2018-09-28,-1.4537874936451447,-3.0299949161159123,1.0,-0.3260803253685816,-2.161667513980681,-2.1963396034570413,0.0
2018-10-01,-1.4541942043721403,-3.028978139298424,1.0,-0.3268937468225724,-2.1615658362989323,-2.1960345704117947,0.0
2018-10-02,-1.4551829268292684,-3.0143292682926828,1.0,-0.33292682926829265,-2.16260162601626,-2.1974593495934958,0.0
2018-10-03,-1.4584605986560781,-3.0261657503563426,1.0,-0.3346568926898799,-2.1645286092445533,-2.197312156383629,0.0
2018-10-04,-1.4676302931596092,-3.0101791530944624,1.0,-0.33733713355048867,-2.175793973941368,-2.1882125407166124,0.0
2018-10-05,-1.432309557486361,-2.989795918367347,1.0,-0.2984441301272984,-2.1822590422307537,-2.2002424732269144,0.0
2018-10-08,-1.424141749723145,-2.976542837007953,1.0,-0.2872244035034733,-2.1850397664351155,-2.194603845766636,0.0
2018-10-09,-1.4212121212121211,-2.9893939393939393,1.0,-0.26707070707070707,-2.2046464646464647,-2.2185858585858584,0.0
2018-10-10,-1.420893109719135,-2.991614467569206,1.0,-0.2648009698929077,-2.2056981208324915,-2.2199434229137203,0.0
2018-10-11,-1.2646798465624078,-3.0284252975312285,1.0,-0.023310711124225437,-2.1998622995967345,-2.319563293006787,0.0
2018-10-12,-1.2910237748665696,-3.016205725376031,1.0,-0.0024260067928190197,-2.1420669577874816,-2.252304706453178,0.0
2018-10-15,-1.2223834397368931,-3.076417101953956,1.0,-0.0,-2.1240085122847745,-2.2502418262720063,0.0
2018-10-16,-1.2133875024182628,-3.091216869800735,1.0,-0.0,-2.1211065970207,-2.2474366415167344,0.0
2018-10-17,-1.1383049557690479,-2.9701322172548275,1.0,-0.0,-2.1155711975649196,-2.288024350803767,0.0
2018-10-18,-1.1372941064457773,-2.9680091402456443,1.0,-0.0,-2.124059792440255,-2.2916309625821194,0.0
