Date,IWF,IWM,MTUM,SPY,VLUE,VXX,ZS
2018-11-14,-0.4145787944807553,-2.3238925199709515,-0.0,-2.833877995642702,-2.505446623093682,0.0,1.0
2018-11-15,-0.4109713044265412,-2.3281433873449804,-0.0,-2.846021544310673,-2.4670046166380013,0.0,1.0
2018-11-16,-0.39704823614110873,-2.2879769618430528,-0.0,-2.8327033837293016,-2.4815514758819295,0.0,1.0
2018-11-19,-0.4481171162876346,-2.3312770463124943,-0.0,-2.8861983242795324,-2.5416628303102846,0.0,1.0
2018-11-20,-0.4155832265152902,-2.3170664713422453,-0.0,-2.879417689067936,-2.5436733199047796,0.0,1.0
2018-11-21,-0.4484308965021131,-2.286485028324791,-0.0,-2.8555885262116716,-2.4015825914935705,0.0,1.0
2018-11-23,-0.44720552615053377,-2.263209832241859,-0.0,-2.861038844532161,-2.399569390867498,0.0,1.0
2018-11-26,-0.44376626873709724,-2.2896508392424377,-0.0,-2.852436944618975,-2.3900008975854954,0.0,1.0
2018-11-27,-0.4042836829008177,-2.301190899395663,-0.0,-2.8234091717028083,-2.3584251688588695,0.0,1.0
2018-11-28,-0.4064693859415267,-2.3009864036256995,-0.0,-2.8213809650759796,-2.3576823958055626,0.0,1.0
2018-11-29,-0.30664587124166015,-2.241746815700546,-0.0,-2.7737631054501346,-2.3426912745862576,0.0,1.0
2018-11-30,-0.3083731019522777,-2.2481561822125813,-0.0,-2.786290672451193,-2.3339696312364424,0.0,1.0
2018-12-03,-0.30212581344902384,-2.2493709327548808,-0.0,-2.790542299349241,-2.3348373101952276,0.0,1.0
2018-12-04,-0.26384675392216345,-2.2820490595475427,-0.0,-2.7846927277455142,-2.337176042298691,0.0,1.0
2018-12-06,-0.2936226383961719,-2.0162527844237275,-0.0,-2.7484530979292137,-2.191815856777494,0.0,1.0
2018-12-07,-0.4047368421052632,-2.1357894736842105,-0.0,-2.93859649122807,-2.2928070175438595,0.0,1.0
2018-12-10,-0.31464334705075453,-2.138460219478738,-0.0,-2.9148662551440334,-2.2054183813443076,0.0,1.0
2018-12-11,-0.3275906402674209,-2.133881889088883,-0.0,-2.9158309762578214,-2.1938801748521475,0.0,1.0
2018-12-12,-0.323494079286082,-2.13729191693839,-0.0,-2.918053887077398,-2.2019049253475202,0.0,1.0
2018-12-13,-0.3218873094707998,-2.127162185305703,-0.0,-2.9201918136667238,-2.193868813152937,0.0,1.0
2018-12-14,-0.34136305186455207,-2.07475353621946,-0.0,-2.957822546078011,-2.1987998285469352,0.0,1.0
2018-12-17,-0.25952626158599384,-2.0969790593889464,-0.0,-2.9187263989014762,-2.3069001029866114,0.0,1.0
