Date,IWF,IWM,MTUM,SPY,STAA,VLUE,VXX
2018-09-24,-1.4223414961422343,-2.2045454545454546,-0.7032874874203288,-1.637621603488762,1.0,-1.4186514592418653,0.0
2018-09-25,-1.4305275537634408,-2.2047211021505375,-0.7126176075268817,-1.6375168010752688,1.0,-1.415154569892473,0.0
2018-09-26,-1.4306593868122637,-2.2048719025619485,-0.7131457370852583,-1.6372112557748844,1.0,-1.4139437211255774,0.0
2018-09-27,-1.431303472571716,-2.1954370072135543,-0.7148129508471733,-1.6347928199966446,1.0,-1.4115081362187554,0.0
2018-09-28,-1.4285113894259056,-2.205177775909893,-0.7172396402454401,-1.6385643439522568,1.0,-1.4159872236698325,0.0
2018-10-01,-1.4285113894259056,-2.204757501891233,-0.7175758594603682,-1.6385643439522568,1.0,-1.4159872236698325,0.0
2018-10-02,-1.4289320878566019,-2.216527812841875,-0.716149120592443,-1.6379702095430446,1.0,-1.4158040898762938,0.0
2018-10-03,-1.4336850991979737,-2.230899113550021,-0.7201350780920219,-1.6409455466441536,1.0,-1.4167159138877163,0.0
2018-10-04,-1.4384440131634462,-2.2204033414901696,-0.7214581048012826,-1.6468652434393722,1.0,-1.4109357860096194,0.0
2018-10-05,-1.4155212872946699,-2.205330204492122,-0.695524639624539,-1.6497653369091518,1.0,-1.4145993965806236,0.0
2018-10-08,-1.4118680950786742,-2.19953130231001,-0.6862236357549379,-1.6576832942751927,1.0,-1.4142952795446935,0.0
2018-10-09,-1.4330149606964753,-2.22195925957231,-0.708055109458203,-1.6694277744907446,1.0,-1.4199137858169217,0.0
2018-10-10,-1.4339782039368083,-2.2197347300836356,-0.7093013432457549,-1.6693418940609952,1.0,-1.4158148179437355,0.0
2018-10-11,-1.3151574164232391,-2.2082927620902306,-0.5411392405063291,-1.625365141187926,1.0,-1.4243752028562155,0.0
2018-10-12,-1.3450471508019666,-2.213830901910212,-0.5287337793181269,-1.59353590714919,1.0,-1.378899008624164,0.0
2018-10-15,-1.3115650635354672,-2.274167604954158,-0.47547048415634546,-1.594177255911211,1.0,-1.387083802477079,0.0
2018-10-16,-1.308409712172375,-2.283325293455539,-0.46800128638044697,-1.5935841775205015,1.0,-1.3864769255507314,0.0
2018-10-17,-1.2610872115760658,-2.1888150175987486,-0.42643723113023074,-1.565975752835354,1.0,-1.3791943684004693,0.0
2018-10-18,-1.2615192051943986,-2.1898615348509742,-0.4260345771728076,-1.5659860752561996,1.0,-1.3794883830086835,0.0
2018-10-19,-1.236756505576208,-2.1679832713754648,-0.39645291201982646,-1.5691604708798017,1.0,-1.3743804213135067,0.0
2018-10-22,-1.2372013651877132,-2.173596028544834,-0.4040490226497052,-1.5676388457958423,1.0,-1.3741855414210362,0.0
2018-10-23,-1.2443460013989274,-2.17719748193052,-0.41478200046630914,-1.5629128779047174,1.0,-1.3725033030232376,0.0
2018-10-24,-1.2457107367440414,-2.1729679372719506,-0.4023755919571462,-1.5660274823383278,1.0,-1.3762906606629919,0.0
2018-10-25,-1.16406366205563,-2.0581585601665924,-0.3673211363974416,-1.557861073925331,1.0,-1.2897515989885469,0.0
2018-10-26,-1.1505255255255253,-2.0850600600600595,-0.30525525525525526,-1.6408408408408408,1.0,-1.3259009009009006,0.0
2018-10-29,-1.1225052129877866,-2.097036044086982,-0.2777033065236818,-1.623026511766458,1.0,-1.3268543342269883,0.0
2018-10-30,-1.109357552296583,-2.0989354574555197,-0.26807116801905756,-1.6259956822749944,1.0,-1.3419935978560262,0.0
2018-10-31,-1.1147032772364924,-2.0517419545320346,-0.2677886034839091,-1.6192795984647181,1.0,-1.3277236492471216,0.0
2018-11-01,-1.1023187338976812,-2.061464850938535,-0.25447184394552813,-1.6170776591829223,1.0,-1.3256532940743466,0.0
2018-11-02,-1.102915451895044,-2.017930029154519,-0.24730320699708458,-1.6128279883381926,1.0,-1.3076530612244899,0.0
2018-11-05,-1.096101806479924,-2.058070650186499,-0.24449645286330726,-1.6228333211438604,1.0,-1.2921085350691144,0.0
2018-11-06,-1.1046741277156022,-2.06495501426377,-0.24102113963865116,-1.618828176431863,1.0,-1.2852022529441884,0.0
2018-11-07,-1.0999780749835562,-2.064021048015786,-0.2478988525908061,-1.614046627201637,1.0,-1.2824672951838045,0.0
2018-11-08,-1.0973509450485295,-2.062832956286944,-0.245055827191126,-1.611836824053127,1.0,-1.2805225133182512,0.0
2018-11-09,-1.0963741154154811,-2.0615743780550084,-0.24644342306850514,-1.6114394105201721,1.0,-1.279784051944262,0.0
2018-11-12,-1.0926383040511107,-2.0444315376796864,-0.2454624655147379,-1.6071584144039495,1.0,-1.2703644547698563,0.0
2018-11-13,-1.0743136409371854,-2.0370849504096595,-0.2216472617507546,-1.600402472330027,1.0,-1.2534856978582722,0.0
2018-11-14,-1.0744520301832556,-2.036722960833633,-0.22191879266978082,-1.600215594681998,1.0,-1.2532518864534674,0.0
2018-11-15,-1.074148584566748,-2.0380801839344733,-0.21942807874694642,-1.6010921109354794,1.0,-1.2521914068113233,0.0
2018-11-16,-1.0689086476409007,-2.021583249677327,-0.20966585400831778,-1.6033988240355657,1.0,-1.266958267603614,0.0
