Date,IWF,IWM,MTUM,SPY,VEC,VLUE,VXX
2018-09-24,-1.6429853267180408,-2.8518948590731554,-0.7971075688799747,-2.1550723107780008,1.0,-2.1092578908476725,0.0
2018-09-25,-1.6428872942169694,-2.850147741663149,-0.7981215702828198,-2.153862389193753,1.0,-2.1079569438581682,0.0
2018-09-26,-1.6432038834951455,-2.850569860700718,-0.7988602785985649,-2.1536513296749686,1.0,-2.1066905867454624,0.0
2018-09-27,-1.6487285005803525,-2.838028912102986,-0.803102247546692,-2.1549013400865253,1.0,-2.1071014033977,0.0
2018-09-28,-1.649008020261714,-2.8384339383706205,-0.8029759392148587,-2.1552342760658507,1.0,-2.1073237653018153,0.0
2018-10-01,-1.6515311510031678,-2.838014783526927,-0.804118268215417,-2.157444561774023,1.0,-2.1086589229144668,0.0
2018-10-02,-1.6517103040540542,-2.834142736486487,-0.8060599662162162,-2.15698902027027,1.0,-2.108424831081081,0.0
2018-10-03,-1.6492356352134951,-2.8198207696362676,-0.8041117554032683,-2.157722720084344,1.0,-2.1120716921454927,0.0
2018-10-04,-1.6526548672566372,-2.8096291613990725,-0.8048883270122207,-2.161820480404551,1.0,-2.1060893383902233,0.0
2018-10-05,-1.6241469816272966,-2.799370078740157,-0.7689238845144357,-2.178267716535433,1.0,-2.1278740157480316,0.0
2018-10-08,-1.616471326915027,-2.7881958978652155,-0.7581624110506487,-2.1793637505232315,1.0,-2.122645458350774,0.0
2018-10-09,-1.6155053358443188,-2.788135593220339,-0.7564344005021971,-2.1794308432726512,1.0,-2.122933668131408,0.0
2018-10-10,-1.624173748819641,-2.793515895498898,-0.762669184765502,-2.1884377295142166,1.0,-2.123386842933585,0.0
2018-10-11,-1.4961479198767333,-2.849614791987673,-0.538366718027735,-2.191165896250642,1.0,-2.1970210580380067,0.0
2018-10-12,-1.478391657475183,-2.8065777599518698,-0.49974932317256593,-2.12212975032588,1.0,-2.1203248771683545,0.0
2018-10-15,-1.4365142743062487,-2.8653423837093235,-0.43581553204232376,-2.1179876222798963,1.0,-2.126372529446995,0.0
2018-10-16,-1.4340281240650246,-2.866460556497457,-0.43293108606761743,-2.1155879126358834,1.0,-2.124065024434028,0.0
2018-10-17,-1.375182481751825,-2.7669099756691,-0.36700729927007303,-2.0942092457420927,1.0,-2.129051094890511,0.0
2018-10-18,-1.3762414800389484,-2.7689386562804286,-0.3668938656280428,-2.0948393378773127,1.0,-2.1300876338851022,0.0
2018-10-19,-1.33897490143283,-2.7394941821328977,-0.32387729589383596,-2.09145110106741,1.0,-2.122415616886239,0.0
2018-10-22,-1.3386787017476476,-2.729978874591896,-0.3217783752640676,-2.090551181102362,1.0,-2.121375072018437,0.0
2018-10-23,-1.3504050925925926,-2.7410300925925926,-0.33429783950617287,-2.0928819444444446,1.0,-2.1264467592592595,0.0
2018-10-24,-1.3466717968449404,-2.734128510965756,-0.3218545594459407,-2.0909003462870337,1.0,-2.125529049634475,0.0
2018-10-25,-1.2129954165543275,-2.5448908061472095,-0.25343758425451607,-2.002246787094455,1.0,-1.9736676552529884,0.0
2018-10-26,-1.166169503421653,-2.4887699596420423,-0.20942270573784874,-1.9799087559220918,1.0,-1.9292858396209862,0.0
2018-10-29,-1.1297955632883865,-2.5039582427142233,-0.1715528490648108,-1.9599826011309265,1.0,-1.9340582862113962,0.0
