Date,IWF,IWM,MTUM,SPY,TWNK,VLUE,VXX
2018-09-24,-0.7570149253731343,-1.7195820895522387,-0.0,-1.2822686567164179,1.0,-1.211283582089552,0.0
2018-09-25,-0.7607087459730344,-1.7169192220498748,-0.0,-1.2803961341128745,1.0,-1.2078510917551606,0.0
2018-09-26,-0.7599163679808841,-1.7178016726403822,-0.0,-1.2826164874551973,1.0,-1.213321385902031,0.0
2018-09-27,-0.760961641710911,-1.711567141919704,-0.0,-1.2811549245361809,1.0,-1.2118355902881346,0.0
2018-09-28,-0.758416905444126,-1.715974212034384,-0.0,-1.2819961795606496,1.0,-1.213049188156638,0.0
2018-10-01,-0.7597014925373134,-1.714686567164179,-0.0,-1.2826865671641792,1.0,-1.2130746268656716,0.0
2018-10-02,-0.7600884797034735,-1.724457463980391,-0.0,-1.2817600286961202,1.0,-1.212112154002511,0.0
2018-10-03,-0.7586927948380929,-1.7105986378300873,-0.0,-1.2855179830326204,1.0,-1.2196200262874894,0.0
2018-10-04,-0.7623082890732231,-1.7017962642477769,-0.0,-1.2891925762367966,1.0,-1.2143581786716,0.0
2018-10-05,-0.7272997738902773,-1.6881470903248843,-0.0,-1.302451505414733,1.0,-1.232416993930739,0.0
2018-10-08,-0.7210076045627376,-1.6813807034220531,-0.0,-1.3080442015209126,1.0,-1.2306321292775666,0.0
2018-10-09,-0.7147788822093923,-1.684125944884233,-0.0,-1.3139098863162908,1.0,-1.2392119516695435,0.0
2018-10-10,-0.7192543624560777,-1.683640045262343,-0.0,-1.3176106247394437,1.0,-1.2351259603358942,0.0
2018-10-11,-0.5594275408691606,-1.6929431613241026,-0.0,-1.2875676304613415,1.0,-1.2777357612426552,0.0
2018-10-12,-0.5595943482224248,-1.669610300820419,-0.0,-1.2417388331814039,1.0,-1.2264129443938012,0.0
2018-10-15,-0.5153579742235849,-1.7062397093056265,-0.0,-1.2311928689036507,1.0,-1.224833929483904,0.0
2018-10-16,-0.512004086497531,-1.710766785856178,-0.0,-1.2295817015721664,1.0,-1.223338441455247,0.0
2018-10-17,-0.4635526461777432,-1.628203705758349,-0.0,-1.2174081881726395,1.0,-1.2383778985909242,0.0
2018-10-18,-0.4628397115917915,-1.6272323904603438,-0.0,-1.2179145867997783,1.0,-1.238269550748752,0.0
2018-10-19,-0.42852453635319215,-1.6001422397286504,-0.0,-1.2124842715684665,1.0,-1.229662454182395,0.0
2018-10-22,-0.42902484404071356,-1.586352194374521,-0.0,-1.2201488453540548,1.0,-1.2367297800153223,0.0
2018-10-23,-0.42783589855945664,-1.5877197787150135,-0.0,-1.2229281919263844,1.0,-1.2388125102700334,0.0
2018-10-24,-0.4232598829897753,-1.5837388594236974,-0.0,-1.2219366832522283,1.0,-1.2387774071846467,0.0
2018-10-25,-0.34596731681602527,-1.4967843964153928,-0.0,-1.2461254612546124,1.0,-1.1826041117554034,0.0
2018-10-26,-0.3093813413809251,-1.470940215411832,-0.0,-1.2575576252666631,1.0,-1.1653051667620584,0.0
2018-10-29,-0.27926999020467086,-1.4731659534979635,-0.0,-1.2394700211372893,1.0,-1.1635304428519875,0.0
2018-10-30,-0.271687615907686,-1.4722336698949103,-0.0,-1.238821347620029,1.0,-1.1687100762415001,0.0
2018-10-31,-0.273979565902506,-1.4330300411731816,-0.0,-1.2245717480811265,1.0,-1.1515274742032227,0.0
2018-11-01,-0.2652533346858041,-1.4362732667241467,-0.0,-1.2212304103058274,1.0,-1.14905918750317,0.0
2018-11-02,-0.2698404735627571,-1.3904384468746867,-0.0,-1.2219825423898867,1.0,-1.1343433329988963,0.0
2018-11-05,-0.2618387210651067,-1.4298754349689848,-0.0,-1.232891219930405,1.0,-1.1185132886176812,0.0
2018-11-06,-0.26371244202460176,-1.4301270417422867,-0.0,-1.2310949788263763,1.0,-1.1164045170397257,0.0
2018-11-07,-0.2628159935542351,-1.428895155604794,-0.0,-1.229026085204955,1.0,-1.1149662604491892,0.0
2018-11-08,-0.2070810621593239,-1.440916137420613,-0.0,-1.2188328249237386,1.0,-1.1338700805120767,0.0
2018-11-09,-0.20627376425855515,-1.4415149089453672,-0.0,-1.2210326195717431,1.0,-1.134130478286972,0.0
2018-11-12,-0.20638808357492752,-1.4131760471858446,-0.0,-1.2435769269219235,1.0,-1.1353593921823455,0.0
