Date,IWF,IWM,MTUM,SPY,TIGO,VLUE,VXX
2019-09-09,-0.0,-0.0,-2.3796666666666666,-1.5364444444444443,1.0,-0.6394444444444445,0.0
2019-09-10,-0.0,-0.0,-2.32737238401063,-1.5327206289447457,1.0,-0.6763924260879194,0.0
2019-09-11,-0.0,-0.0,-2.250387854609929,-1.5403922872340425,1.0,-0.75,0.0
2019-09-12,-0.0,-0.0,-2.2507765697803417,-1.5424894608386954,1.0,-0.7536055025515865,0.0
2019-09-13,-0.0,-0.0,-2.236431103234382,-1.5402636242800178,1.0,-0.7616304829419583,0.0
2019-09-16,-0.0,-0.0,-2.223531364088948,-1.5432569974554708,1.0,-0.7648523066710919,0.0
2019-09-17,-0.0,-0.0,-2.2335392664329046,-1.5682083820337287,1.0,-0.7639561418155507,0.0
2019-09-18,-0.0,-0.0,-2.2637920101458464,-1.6499682942295495,1.0,-0.8509828788839569,0.0
2019-09-19,-0.0,-0.0,-2.2655311778290996,-1.6488452655889145,1.0,-0.8593533487297922,0.0
2019-09-20,-0.0,-0.0,-2.296525186567164,-1.6676772388059702,1.0,-0.8660214552238806,0.0
2019-09-23,-0.0,-0.0,-2.312178287318671,-1.6614412728123538,1.0,-0.8757019185774451,0.0
2019-09-24,-0.0,-0.0,-2.3259180790960454,-1.6752000941619587,1.0,-0.8840042372881357,0.0
2019-09-25,-0.0,-0.0,-2.3278621255642187,-1.677120581511226,1.0,-0.8570256169763761,0.0
2019-09-26,-0.0,-0.0,-2.3387843619951934,-1.6744036105738231,1.0,-0.8480745560049235,0.0
2019-09-27,-0.0,-0.0,-2.3465845793022573,-1.6728818528290823,1.0,-0.8438581061272353,0.0
2019-09-30,-0.0,-0.0,-2.313017130870528,-1.6729402167579535,1.0,-0.8408693625451579,0.0
2019-10-01,-0.0,-0.0,-2.3094099813432836,-1.679570895522388,1.0,-0.8413013059701493,0.0
2019-10-02,-0.0,-0.0,-2.2815517241379313,-1.663448275862069,1.0,-0.8020689655172414,0.0
2019-10-03,-0.0,-0.0,-2.2135032416722558,-1.6288285267158509,1.0,-0.7468142186452045,0.0
