Date,IWF,IWM,MTUM,SPY,THCB,VLUE,VXX
2019-11-25,-0.0011062966718908454,-0.014869154078151956,-0.14447707726955444,-0.11521289625834662,1.0,-0.04136759340963268,0.0
2019-11-26,-0.000776050298582064,-0.010285954804935153,-0.14459527003919712,-0.11669691947491646,1.0,-0.04299844789940283,0.0
2019-11-27,-0.000999973684903029,-0.009381332070208678,-0.14131207073498064,-0.1171416541669956,1.0,-0.046919817899528954,0.0
2019-11-29,-0.000619529684698935,-0.010426552778656544,-0.14154276072972688,-0.11941105135505642,1.0,-0.04614837076874407,0.0
2019-12-02,-0.00026350808311044943,-0.010461270899484839,-0.14146431441784474,-0.11923740760747835,1.0,-0.04611391454432865,0.0
2019-12-03,-0.0,-0.009088286208886326,-0.1376881917851335,-0.11808214866495305,1.0,-0.0465823847243351,0.0
2019-12-04,-0.0,-0.00989930691774552,-0.13767490519157838,-0.11594089185301425,1.0,-0.04417418595527657,0.0
2019-12-05,-0.0,-0.009996990434816744,-0.1377203197990134,-0.11636549206390746,1.0,-0.044436884184080705,0.0
2019-12-06,-0.0,-0.01009069849621108,-0.13781459813891397,-0.11645529859829597,1.0,-0.044420013873074454,0.0
2019-12-09,-0.0,-0.009747481355488682,-0.13849273845348686,-0.1156613895067382,1.0,-0.044485149810283925,0.0
2019-12-10,-0.0,-0.009647771482284132,-0.13735345570380428,-0.11472884409514608,1.0,-0.04380009921930077,0.0
2019-12-11,-0.0,-0.008681213801038085,-0.13849412318433196,-0.11575823342528795,1.0,-0.04449122073032018,0.0
2019-12-12,-0.0,-0.009048590407448088,-0.1385663476123228,-0.11569642763742874,1.0,-0.044288404205240856,0.0
2019-12-13,-0.0,-0.008037280414692254,-0.13675157734900648,-0.11716888760897454,1.0,-0.04704557949577192,0.0
2019-12-16,-0.0,-0.007651690840244749,-0.1388441230035507,-0.11854879918242209,1.0,-0.045176421262266946,0.0
2019-12-17,-0.0,-0.007820482590583981,-0.13889543870680396,-0.11851240535513113,1.0,-0.04474835599570333,0.0
2019-12-18,-0.0,-0.008070538603639602,-0.13886304977268857,-0.11855568802651749,1.0,-0.04466309431786917,0.0
2019-12-19,-0.0,-0.007178948749917973,-0.14017980182426668,-0.12071658245291686,1.0,-0.044346741912198964,0.0
2019-12-20,-0.0,-0.007273873140501293,-0.14060633115817392,-0.1207410422383572,1.0,-0.04435224452818297,0.0
2019-12-23,-0.0,-0.005600694170545082,-0.14254161079119668,-0.11983644921248456,1.0,-0.04673818726828114,0.0
2019-12-24,-0.0,-0.0057056464865575494,-0.14215473608098336,-0.12016038914086635,1.0,-0.046631170709261816,0.0
2019-12-26,-0.0,-0.006075110456553755,-0.14247580475489163,-0.11993740795287186,1.0,-0.04647065011571639,0.0
2019-12-27,-0.0,-0.010344736703389383,-0.14572241842812714,-0.11438511412155396,1.0,-0.04734858468188287,0.0
2019-12-30,-0.0,-0.010181367964911819,-0.14551585158647576,-0.11419464457410798,1.0,-0.047245235304189774,0.0
2019-12-31,-0.0,-0.012183902003049262,-0.14468219336522792,-0.11188949056306188,1.0,-0.04556805635876137,0.0
2020-01-02,-0.0,-0.012315497548729676,-0.14469723854211847,-0.11191724826833853,1.0,-0.04542407633768385,0.0
2020-01-03,-0.0,-0.01294264502989291,-0.1450758820051245,-0.11064976019972406,1.0,-0.045305827475198734,0.0
2020-01-06,-0.0,-0.014375950096975416,-0.14628872464223935,-0.10705299575404938,1.0,-0.04274781150076008,0.0
