Date,IWF,IWM,LANC,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-02-01,-0.0,-0.0,1.0,-0.0,-0.46510551647537945,-0.0,-0.29436628409231147,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.44906207577440455,-0.0,-0.8767740343082808,-0.0,-0.0
2019-02-04,-0.0,-0.0,1.0,-0.0,-0.4650471917066378,-0.0,-0.2885656815720254,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4585486616122544,-0.0,-0.8824075506730621,-0.0,-0.0
2019-02-05,-0.0,-0.0,1.0,-0.0,-0.46654902325005415,-0.0,-0.2835825516237887,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.45339153586576264,-0.0,-0.8923562737995727,-0.0,-0.0
2019-02-06,-0.0,-0.0,1.0,-0.0,-0.4673933238372453,-0.0,-0.2838607790920914,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.45262277822505725,-0.0,-0.8927045271567473,-0.0,-0.0
2019-02-07,-0.0,-0.0,1.0,-0.0,-0.4643742255266419,-0.0,-0.2852850061957869,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.45570012391573733,-0.0,-0.8925340768277571,-0.0,-0.0
2019-02-08,-0.0,-0.0,1.0,-0.0,-0.4690748843993421,-0.0,-0.28119666077025723,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4506718803339229,-0.0,-0.9024299413462433,-0.0,-0.0
2019-02-11,-0.0,-0.0,1.0,-0.0,-0.46966640806827004,-0.0,-0.2808068269976726,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.45042668735453845,-0.0,-0.9022808378588054,-0.0,-0.0
2019-02-12,-0.0,-0.0,1.0,-0.0,-0.4571597338804949,-0.0,-0.29605794938755203,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.44864142262015794,-0.0,-0.9070136168625257,-0.0,-0.0
2019-02-13,-0.0,-0.0,1.0,-0.0,-0.4368461896632004,-0.0,-0.3069067204718299,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.445537792953593,-0.0,-0.9148533291944746,-0.0,-0.0
2019-02-14,-0.0,-0.0,1.0,-0.0,-0.43173202411285816,-0.0,-0.31039090174631784,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4450935305450252,-0.0,-0.9200795475731774,-0.0,-0.0
2019-02-15,-0.0,-0.0,1.0,-0.0,-0.4296683142155492,-0.0,-0.32643227952376513,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4149336317572819,-0.01013397991855513,-0.9274456775156207,-0.0,-0.0
2019-02-19,-0.0,-0.0,1.0,-0.0,-0.4205992625414433,-0.0,-0.32277755399250146,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4100021689957549,-0.013354816719858704,-0.9318005763331577,-0.0,-0.0
2019-02-20,-0.0,-0.0,1.0,-0.0,-0.4169634286068188,-0.0,-0.3271916514414889,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.406218065834701,-0.017991515189050258,-0.928312637413681,-0.0,-0.0
2019-02-21,-0.0,-0.0,1.0,-0.0,-0.40309478951107264,-0.0,-0.324026314976681,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.40519504586589244,-0.027148901998332146,-0.9291472341476974,-0.0,-0.0
2019-02-22,-0.0,-0.0,1.0,-0.0,-0.39996296639200074,-0.0,-0.32382804061352344,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4002098571119958,-0.03635465851927291,-0.9257476159614851,-0.0,-0.0
2019-02-25,-0.0,-0.0,1.0,-0.0,-0.3841814913531271,-0.0,-0.3101716977623505,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.46280914894935843,-0.029721688464637696,-0.912353561023988,-0.0,-0.0
2019-02-26,-0.0,-0.0,1.0,-0.0,-0.3821922909813171,-0.0,-0.311588355781764,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4643411333871268,-0.03205884178511576,-0.9133511265594935,-0.0,-0.0
2019-02-27,-0.0,-0.0,1.0,-0.0,-0.39403059166640814,-0.0,-0.30011479631410753,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4610157922496975,-0.024014147870062987,-0.9234587819180293,-0.0,-0.0
2019-02-28,-0.0,-0.0,1.0,-0.0,-0.3987086359967716,-0.0,-0.30024213075060535,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4592102812441796,-0.01725957658161048,-0.928788725398895,-0.0,-0.0
2019-03-01,-0.0,-0.0,1.0,-0.0,-0.40234034607245117,-0.0,-0.2933835428855969,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.46722893066102333,-0.013444541267272502,-0.9357649695008092,-0.0,-0.0
2019-03-04,-0.0,-0.0,1.0,-0.0,-0.38824042082983157,-0.0,-0.3053506396488935,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.46786192299312107,-0.013135369004264326,-0.9380894574656831,-0.0,-0.0
2019-03-05,-0.0,-0.0,1.0,-0.0,-0.3888057840937422,-0.0,-0.29842931937172773,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.45032410870107203,-0.029107454500124655,-0.9497631513338319,-0.0,-0.0
2019-03-06,-0.0,-0.0,1.0,-0.0,-0.3878447872837774,-0.0,-0.2988623967586099,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4504908835904628,-0.029982858033348915,-0.9495402836216299,-0.0,-0.0
2019-03-07,-0.0,-0.0,1.0,-0.0,-0.4063705050631722,-0.0,-0.29846067028247175,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.44715803994106035,-0.02899959243816033,-0.954039564849359,-0.0,-0.0
2019-03-08,-0.0,-0.0,1.0,-0.0,-0.40670977415424986,-0.0,-0.3031268547152719,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.41745540874019926,-0.03420485427794958,-0.9622653297098053,-0.0,-0.0
2019-03-11,-0.0,-0.0,1.0,-0.0,-0.4139867599535657,-0.0,-0.31653750823581084,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.400997709660214,-0.03758667210491638,-0.968374486242274,-0.0,-0.0
2019-03-12,-0.0,-0.0,1.0,-0.0,-0.4067012564855911,-0.0,-0.31305869850596985,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.39591798462211664,-0.03688191535912984,-0.9729949365506033,-0.0,-0.0
2019-03-13,-0.0,-0.0,1.0,-0.0,-0.4083325478367424,-0.0,-0.31360165896880005,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.41967511860998524,-0.032425299274201146,-0.9679517390894524,-0.0,-0.0
2019-03-14,-0.0,-0.0,1.0,-0.0,-0.40827051205855674,-0.0,-0.33003847477243586,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.40332822421721043,-0.020488598329631832,-0.9659357502580627,-0.0,-0.0
