Date,AUDC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5472419971911473,-1.2359920577267665,-0.023003535280158843,-1.0613589035788658,-0.9752530388880817,0.0
2018-09-25,1.0,-0.5478702807357212,-1.2343175217812197,-0.02473378509196515,-1.059922555663117,-0.973378509196515,0.0
2018-09-26,1.0,-0.5502471169686984,-1.237813741641632,-0.028345769938947572,-1.060180250024227,-0.9688923345285395,0.0
2018-09-27,1.0,-0.552496613121734,-1.2285658989742596,-0.030723824269401973,-1.059076833752661,-0.9675827365976388,0.0
2018-09-28,1.0,-0.5494015603043078,-1.2345786693802394,-0.03188447933323642,-1.0604739060910016,-0.9693269370548044,0.0
2018-10-01,1.0,-0.5497625738928191,-1.2338404884194203,-0.03222211454598314,-1.0604225215621668,-0.9691346060664793,0.0
2018-10-02,1.0,-0.5500339377484728,-1.2383884417725202,-0.03190148356443324,-1.0595365073208571,-0.9683894114224765,0.0
2018-10-03,1.0,-0.5507689322272352,-1.2407703876194633,-0.03284335128317081,-1.0592344636879638,-0.9676902925338379,0.0
2018-10-04,1.0,-0.552798643082142,-1.234552944027138,-0.03392294645020596,-1.0611097649624424,-0.9637509086503513,0.0
2018-10-05,1.0,-0.5380612834842937,-1.226103295432646,-0.017633455386394298,-1.0665349778377338,-0.9695509732125651,0.0
2018-10-08,1.0,-0.5346691653452501,-1.2204122819662677,-0.011916774782566912,-1.070251309403681,-0.9679496420162415,0.0
2018-10-09,1.0,-0.5336120320984095,-1.220892797078468,-0.009177838643025323,-1.0716928547402818,-0.9697275479313825,0.0
2018-10-10,1.0,-0.5346044858556266,-1.2192017674463282,-0.010374141491763123,-1.072234762979684,-0.9663800970174343,0.0
2018-10-11,1.0,-0.44407667907874776,-1.1774008182779387,-0.0,-1.02468625017239,-0.9509033236794925,0.0
2018-10-12,1.0,-0.4528122452676388,-1.1657458563535912,-0.0,-0.9952449959242823,-0.9147722126618967,0.0
2018-10-15,1.0,-0.43000225580870743,-1.180690277464471,-0.0,-0.9888111888111888,-0.9121136927588539,0.0
2018-10-16,1.0,-0.4259292674124865,-1.186981234211476,-0.0,-0.9873691808011549,-0.9107271743053049,0.0
2018-10-17,1.0,-0.39505901004051436,-1.1271798485115379,-0.0,-0.9710674652104986,-0.9104720803241148,0.0
2018-10-18,1.0,-0.3940341910468805,-1.1253084243919635,-0.0,-0.9750176242509693,-0.9117025026436376,0.0
2018-10-19,1.0,-0.36802584475683225,-1.1068279053523093,-0.0,-0.979481358596001,-0.9113332751244214,0.0
2018-10-22,1.0,-0.37046110770846097,-1.1147081984425584,-0.0,-0.9786508005949777,-0.9109720885466794,0.0
2018-10-23,1.0,-0.38468983721953365,-1.12384513858337,-0.0,-0.9774747030356357,-0.9134623845138584,0.0
2018-10-24,1.0,-0.7388040042149632,-1.7349841938883035,-0.0,-1.5769889357218123,-1.535168598524763,0.0
2018-10-25,1.0,-0.6445224367009276,-1.6084231637001754,-0.0,-1.5669340686888946,-1.4473552268739032,0.0
2018-10-26,1.0,-0.6197814341846758,-1.5651399803536346,-0.0,-1.5415643418467582,-1.413003438113949,0.0
