Date,GLUU,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.891753748296229,-1.5971149477510225,-0.28441617446615175,-1.0524761472058157,-0.8534756928668787,0.0
2018-09-25,1.0,-0.8914142849025511,-1.598443093357577,-0.28348201602363765,-1.0536962327404966,-0.8551622251264276,0.0
2018-09-26,1.0,-0.897479758239252,-1.607880031930665,-0.2910252024176075,-1.0566769300946517,-0.8487854943551145,0.0
2018-09-27,1.0,-0.8988552878865539,-1.6003758756193405,-0.29284127797710574,-1.0554701292784328,-0.8475425707614329,0.0
2018-09-28,1.0,-0.8965320881498776,-1.6016172199760836,-0.29366209213598315,-1.0550652012983317,-0.8476168783098913,0.0
2018-10-01,1.0,-0.8966459768805877,-1.601104720687888,-0.2940607026934685,-1.0549513125676215,-0.8476738226752463,0.0
2018-10-02,1.0,-0.8965085151221736,-1.6032351768525375,-0.29424161303183916,-1.0543373013612805,-0.8474112889445805,0.0
2018-10-03,1.0,-0.8960077453157925,-1.5888148527820491,-0.29215786776012304,-1.0604248533515577,-0.8576798223133437,0.0
2018-10-04,1.0,-0.8975759644930009,-1.5830203710026174,-0.2930465460339137,-1.0621372482075793,-0.8544440650961647,0.0
2018-10-05,1.0,-0.897189349112426,-1.5901228948566226,-0.2843650432407829,-1.0646335912608103,-0.8532658170232135,0.0
2018-10-08,1.0,-0.8950691008360349,-1.586759938577035,-0.27589148609452313,-1.0748450207586875,-0.8547460615367117,0.0
2018-10-09,1.0,-0.9881171138061987,-1.7122381477398017,-0.3435624157785128,-1.1613989954673527,-0.9198211441871862,0.0
2018-10-10,1.0,-0.9884881513685627,-1.7117139183148613,-0.34370216153328026,-1.161410813789725,-0.918008695119711,0.0
2018-10-11,1.0,-0.918880706921944,-1.6839469808541971,-0.2629749631811487,-1.1193519882179677,-0.905861561119293,0.0
2018-10-12,1.0,-0.9669069849899538,-1.7093724146082023,-0.25629358231887484,-1.1020564945041955,-0.8748374896584328,0.0
2018-10-15,1.0,-0.965853370355054,-1.7160749099072488,-0.24924676552253794,-1.1029125066461865,-0.8736929166420511,0.0
2018-10-16,1.0,-0.9667887956506322,-1.7138045148327619,-0.2513296300673679,-1.1032974825670725,-0.8742465429618247,0.0
2018-10-17,1.0,-0.9367902665121668,-1.6447856315179605,-0.2202780996523754,-1.099768250289687,-0.8921784472769408,0.0
2018-10-18,1.0,-0.9352876426626499,-1.642372979549273,-0.22142401946584783,-1.1020218990788482,-0.8923005619604888,0.0
