Date,IWF,IWM,MTUM,RGEN,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,-0.0,-1.147203245089667,-0.0,1.0,-0.34217549103330486,-0.0,-0.5522523484201538,-0.0,-0.6659372331340735,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4161507258753202,-0.0,-1.2136528608027328,-0.0,-0.0
2019-01-03,-0.0,-1.1377796809763407,-0.0,1.0,-0.35392356278771003,-0.0,-0.5663740498875923,-0.0,-0.6622417300074938,-0.0,-0.0,-0.0,-0.0,-0.0,-0.41414195482282407,-0.0,-1.2183385076544266,-0.0,-0.0
2019-01-04,-0.0,-1.149527722930786,-0.0,1.0,-0.34697689311062485,-0.0,-0.5524307593788356,-0.0,-0.6506216980628635,-0.0,-0.0,-0.0,-0.0,-0.0,-0.41394951705000266,-0.0,-1.2230108330220395,-0.0,-0.0
2019-01-07,-0.0,-1.0019176946200892,-0.0,1.0,-0.5089146885041982,-0.0,-0.6776718150720431,-0.0,-0.4928993469472375,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3516119000725614,-0.0,-1.1499948170415673,-0.0,-0.0
2019-01-08,-0.0,-1.0808468165581004,-0.0,1.0,-0.5089304475730195,-0.0,-0.68197100231141,-0.0,-0.46159907543601597,-0.0,-0.0,-0.0,-0.0,-0.0,-0.35117671779785675,-0.0,-1.1687329270855222,-0.0,-0.0
2019-01-09,-0.0,-1.0449958385351645,-0.0,1.0,-0.4884519350811486,-0.0,-0.7158239700374532,-0.0,-0.4667082813150229,-0.0,-0.0,-0.0,-0.0,-0.0,-0.35570120682480233,-0.0,-1.1302018310445276,-0.0,-0.0
2019-01-10,-0.0,-1.0404124570357256,-0.0,1.0,-0.484584939068847,-0.0,-0.7165399437558587,-0.0,-0.4697427351317571,-0.0,-0.0,-0.0,-0.0,-0.0,-0.36506613894386,-0.0,-1.1313925632746589,-0.0,-0.0
2019-01-11,-0.0,-1.0417895009050944,-0.0,1.0,-0.48590638738039826,-0.0,-0.7125420222394622,-0.0,-0.45285751228342386,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3856219291440393,-0.0,-1.0932505818463927,-0.0,-0.0
2019-01-14,-0.0,-1.0411709941036515,-0.0,1.0,-0.4865521878555912,-0.0,-0.7124754318816593,-0.0,-0.4533464363297817,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3854349850005172,-0.0,-1.0933071273404364,-0.0,-0.0
2019-01-15,-0.0,-1.00466021406258,-0.0,1.0,-0.5379730629384954,-0.0,-0.7187483996517643,-0.0,-0.43862344446151486,-0.0,-0.0,-0.0,-0.0,-0.0,-0.41143032723920725,-0.0,-1.009627694986429,-0.0,-0.0
2019-01-16,-0.0,-0.9869667040016291,-0.0,1.0,-0.5429182364321352,-0.0,-0.6950921494756135,-0.0,-0.4667549129416556,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4009774971998778,-0.0,-0.9984217493126972,-0.0,-0.0
2019-01-17,-0.0,-0.9770284724698212,-0.0,1.0,-0.5354759843121275,-0.0,-0.7076860388122039,-0.0,-0.4665614017215912,-0.0,-0.0,-0.0,-0.0,-0.0,-0.41863189527835787,-0.0,-0.9881322263535883,-0.0,-0.0
2019-01-18,-0.0,-0.9820757591144511,-0.0,1.0,-0.5380826647709962,-0.0,-0.709556210013202,-0.0,-0.44445008632070676,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4216512643444704,-0.0,-0.9818726515690057,-0.0,-0.0
2019-01-22,-0.0,-1.0025762780359668,-0.0,1.0,-0.5052030713275409,-0.0,-0.6999393816932713,-0.0,-0.43741159830268744,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4081127500505153,-0.0,-0.9982824813093554,-0.0,-0.0
2019-01-23,-0.0,-1.01222568929357,-0.0,1.0,-0.5205381349429639,-0.0,-0.7005473425750677,-0.0,-0.4426313366412604,-0.0,-0.0,-0.0,-0.0,-0.0,-0.44022712159189725,-0.0,-0.9991815438129827,-0.0,-0.0
2019-01-24,-0.0,-1.0115264956393126,-0.0,1.0,-0.5423573213648187,-0.0,-0.676034069464987,-0.0,-0.46993420717090834,-0.0,-0.0,-0.0,-0.0,-0.0,-0.39883714999744996,-0.0,-1.0014790635997348,-0.0,-0.0
2019-01-25,-0.0,-1.0488091587447614,-0.0,1.0,-0.5336808749872227,-0.0,-0.6707042829397936,-0.0,-0.4603904732699581,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3546969232341818,-0.0,-1.0425738526014514,-0.0,-0.0
2019-01-28,-0.0,-1.0538157962175183,-0.0,1.0,-0.511711342319717,-0.0,-0.6834606119624826,-0.0,-0.4986930449490031,-0.0,-0.0,-0.0,-0.0,-0.0,-0.34811132181846133,-0.0,-1.0294193019322433,-0.0,-0.0
2019-01-29,-0.0,-1.069001677852349,-0.0,1.0,-0.5460360738255033,-0.0,-0.7285025167785235,-0.0,-0.4966442953020134,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2999685402684564,-0.0,-1.1031879194630874,-0.0,-0.0
2019-01-30,-0.0,-1.0909710928073029,-0.0,1.0,-0.5347568333245895,-0.0,-0.7380515188080373,-0.0,-0.47243061749121246,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3063323015581554,-0.0,-1.1038245632443209,-0.0,-0.0
2019-01-31,-0.0,-1.0802275811671365,-0.0,1.0,-0.5811671364443052,-0.0,-0.7097818143856351,-0.0,-0.460121098235724,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2982566029856979,-0.0,-1.0901451090928072,-0.0,-0.0
2019-02-01,-0.0,-1.039271485486625,-0.0,1.0,-0.5716355357789621,-0.0,-0.723650851140891,-0.0,-0.5137889998447768,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2601024473534434,-0.0,-1.0656594401614323,-0.0,-0.0
2019-02-04,-0.0,-1.0346862704493685,-0.0,1.0,-0.57636156554152,-0.0,-0.73431352246842,-0.0,-0.5150134603437565,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2540381031269414,-0.0,-1.0625905984675916,-0.0,-0.0
2019-02-05,-0.0,-1.0173296777197247,-0.0,1.0,-0.5704309140758368,-0.0,-0.7281051161347059,-0.0,-0.5383063473177797,-0.0,-0.0,-0.0,-0.0,-0.0,-0.24768506543893226,-0.0,-1.0712327349852566,-0.0,-0.0
2019-02-06,-0.0,-1.0250413907284768,-0.0,1.0,-0.5650351821192053,-0.0,-0.7271833609271523,-0.0,-0.529232201986755,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2569329470198676,-0.0,-1.070364238410596,-0.0,-0.0
2019-02-07,-0.0,-1.0240620957309183,-0.0,1.0,-0.5658990944372574,-0.0,-0.72745148771022,-0.0,-0.5299353169469598,-0.0,-0.0,-0.0,-0.0,-0.0,-0.25707632600258734,-0.0,-1.0702199223803364,-0.0,-0.0
2019-02-08,-0.0,-1.023697418119729,-0.0,1.0,-0.5494386091995654,-0.0,-0.7326020592952863,-0.0,-0.5422465980234905,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2686397268070575,-0.0,-1.0575360894085992,-0.0,-0.0
2019-02-11,-0.0,-1.0228083785880528,-0.0,1.0,-0.5532454098784587,-0.0,-0.7297129557796741,-0.0,-0.5425911559348332,-0.0,-0.0,-0.0,-0.0,-0.0,-0.26708042410137056,-0.0,-1.056581329195759,-0.0,-0.0
2019-02-12,-0.0,-1.0351331744222199,-0.0,1.0,-0.5611980516115659,-0.0,-0.7149445538397762,-0.0,-0.5385013991087159,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2728261996061768,-0.0,-1.0592807544823297,-0.0,-0.0
2019-02-13,-0.0,-1.0416774260186954,-0.0,1.0,-0.5555440789133915,-0.0,-0.7419821308681506,-0.0,-0.50224655270361,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2631823581056654,-0.0,-1.0599080720962661,-0.0,-0.0
2019-02-14,-0.0,-1.047216128695289,-0.0,1.0,-0.522981301577353,-0.0,-0.756189282356628,-0.0,-0.5217277760367701,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2708659772276194,-0.0,-1.10404261986838,-0.0,-0.0
2019-02-15,-0.0,-1.0640029210787127,-0.0,1.0,-0.5122841792290439,-0.0,-0.7584893850086069,-0.0,-0.5175525533357676,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2480308799749622,-0.0,-1.1159042303479214,-0.0,-0.0
2019-02-19,-0.0,-1.0569321074229912,-0.0,1.0,-0.5031426938860319,-0.0,-0.7580385434522883,-0.0,-0.5165445950859696,-0.0,-0.0,-0.0,-0.0,-0.0,-0.237649992208197,-0.0,-1.122175471404083,-0.0,-0.0
2019-02-20,-0.0,-1.051669357779051,-0.0,1.0,-0.5179436428980676,-0.0,-0.7935309130683891,-0.0,-0.500651075576853,-0.0,-0.0,-0.0,-0.0,-0.0,-0.22923068909839056,-0.0,-1.115631022449086,-0.0,-0.0
2019-02-21,-0.0,-1.047073591715048,-0.0,1.0,-0.547518175636801,-0.0,-0.8409958679847271,-0.0,-0.44887284899837854,-0.0,-0.0,-0.0,-0.0,-0.0,-0.25806789058005125,-0.0,-1.087870704534756,-0.0,-0.0
2019-02-22,-0.0,-1.039993718264147,-0.0,1.0,-0.5495471915405957,-0.0,-0.8303407841700257,-0.0,-0.45563524053813537,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2581269957598283,-0.0,-1.0825001308694968,-0.018688164162696957,-0.0
2019-02-25,-0.0,-1.0362133026322675,-0.0,1.0,-0.5441938353655346,-0.0,-0.8283008006698415,-0.0,-0.4590507090899576,-0.0,-0.0,-0.0,-0.0,-0.0,-0.27913548589669784,-0.0,-1.0741012088544664,-0.01219320738918834,-0.0
2019-02-26,-0.0,-1.0118141244421108,-0.0,1.0,-0.5549488054607509,-0.0,-0.8252034654765029,-0.0,-0.4996587030716723,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2679968495668154,-0.0,-1.072880021002888,-0.018220005250721972,-0.0
2019-02-27,-0.0,-1.0064041994750657,-0.0,1.0,-0.551233595800525,-0.0,-0.8202099737532809,-0.0,-0.5054068241469817,-0.0,-0.0,-0.0,-0.0,-0.0,-0.26813648293963255,-0.0,-1.0764304461942256,-0.02146981627296588,-0.0
2019-02-28,-0.0,-1.0007330610535135,-0.0,1.0,-0.5512095507382971,-0.0,-0.8008692009634516,-0.0,-0.5090585401612734,-0.0,-0.0,-0.0,-0.0,-0.0,-0.269347575662373,-0.0,-1.066656194365902,-0.038171536286522145,-0.0
2019-03-01,-0.0,-1.0040735324838101,-0.0,1.0,-0.5456966785042824,-0.0,-0.8043659912262376,-0.0,-0.5071025694589514,-0.0,-0.0,-0.0,-0.0,-0.0,-0.26180279924796324,-0.0,-1.0605285147273866,-0.0389074576979319,-0.0
2019-03-04,-0.0,-1.0411415863602669,-0.0,1.0,-0.518796992481203,-0.0,-0.8258498358572487,-0.0,-0.4804617176744679,-0.0,-0.0,-0.0,-0.0,-0.0,-0.23636556179180346,-0.0,-1.1016096579476862,-0.09070210738112887,-0.0
2019-03-05,-0.0,-1.0559330325596565,-0.0,1.0,-0.5300320704462684,-0.0,-0.9041148013263033,-0.0,-0.44262651519269447,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2307984997553949,-0.0,-1.1473609827689297,-0.12480295700385934,-0.0
2019-03-06,-0.0,-1.0586793069630598,-0.0,1.0,-0.5402637027350986,-0.0,-0.9026370273509862,-0.0,-0.44469870327993893,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2318840579710145,-0.0,-1.1534270458755584,-0.11681377356434565,-0.0
2019-03-07,-0.0,-1.0515693847576566,-0.0,1.0,-0.5388130337812109,-0.0,-0.9142142196594679,-0.0,-0.45155850514061907,-0.0,-0.0,-0.0,-0.0,-0.0,-0.22509927650546702,-0.0,-1.149322743839417,-0.10928575314148943,-0.0
2019-03-08,-0.0,-1.0508926627476596,-0.0,1.0,-0.519921619856303,-0.0,-0.9179730023949488,-0.0,-0.4538972349227085,-0.0,-0.0,-0.0,-0.0,-0.0,-0.233126496843022,-0.0,-1.1580121924667972,-0.10924232527759635,-0.0
2019-03-11,-0.0,-1.0383022774327122,-0.0,1.0,-0.5241364280265881,-0.0,-0.9205077912171733,-0.0,-0.4564127710580799,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2152664269369075,-0.0,-1.165794922087828,-0.12792851694453525,-0.0
2019-03-12,-0.0,-1.012649370222844,-0.0,1.0,-0.4891269243190871,-0.0,-0.8919151684788459,-0.0,-0.46226719776079234,-0.0,-0.0,-0.0,-0.0,-0.0,-0.193939067714501,-0.0,-1.1679405748735063,-0.16481860264829368,-0.0
2019-03-13,-0.0,-0.9895939494716515,-0.0,1.0,-0.4789465214825939,-0.0,-0.8809740921525505,-0.0,-0.4825403636753741,-0.0,-0.0,-0.0,-0.0,-0.0,-0.21359223300970873,-0.0,-1.1568417100252104,-0.16134742262511398,-0.0
2019-03-14,-0.0,-0.9931400396591457,-0.0,1.0,-0.4819122139450131,-0.0,-0.884184575807921,-0.0,-0.4805187845007771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.20456616110188114,-0.0,-1.1589045500830697,-0.15611769119459779,-0.0
2019-03-15,-0.0,-1.0397843665768194,-0.0,1.0,-0.47784366576819404,-0.0,-0.9140161725067386,-0.0,-0.4309433962264151,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1462533692722372,-0.0,-1.2416711590296496,-0.14037735849056604,-0.0
2019-03-18,-0.0,-1.0507785328267965,-0.0,1.0,-0.43287495318101554,-0.0,-0.8423136604419712,-0.0,-0.44518165765958584,-0.0,-0.0,-0.0,-0.0,-0.0,-0.22467761785007223,-0.0,-1.194231901118305,-0.16062924715073038,-0.0
2019-03-19,-0.0,-1.015483182060865,-0.0,1.0,-0.4206086492258409,-0.0,-0.8647090229578217,-0.0,-0.44730379071009074,-0.0,-0.0,-0.0,-0.0,-0.0,-0.20763481046449547,-0.0,-1.198718633208756,-0.18457020822210357,-0.0
2019-03-20,-0.0,-0.9755992690529935,-0.0,1.0,-0.4219069117488982,-0.0,-0.8736429108889605,-0.0,-0.4840911533913791,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2821670428893905,-0.0,-1.1705363861120068,-0.16666666666666666,-0.0
2019-03-21,-0.0,-0.9719404273688754,-0.0,1.0,-0.38884092380746815,-0.0,-0.8715195337794085,-0.0,-0.5103604575868768,-0.0,-0.0,-0.0,-0.0,-0.0,-0.28469674077271745,-0.0,-1.2033239801424562,-0.16544355709043815,-0.0
2019-03-22,-0.0,-0.9834821908963737,-0.0,1.0,-0.3832992575056494,-0.0,-0.8462283439147746,-0.0,-0.5207145163025934,-0.0,-0.0,-0.0,-0.0,-0.0,-0.25303992252232865,-0.0,-1.2278058753900785,-0.1658775422360917,-0.0
2019-03-25,-0.0,-0.9632218518120227,-0.0,1.0,-0.3709538660070975,-0.0,-0.8809011721690504,-0.0,-0.512743305731799,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2579309603183138,-0.0,-1.2299171953973544,-0.161253898268631,-0.0
2019-03-26,-0.0,-0.9596492171948136,-0.0,1.0,-0.3721956205950396,-0.0,-0.8827675256899984,-0.0,-0.514499381287997,-0.0,-0.0,-0.0,-0.0,-0.0,-0.25485554419755746,-0.0,-1.2330661214827567,-0.16312476462043363,-0.0
2019-03-27,-0.0,-0.9891625087182789,-0.0,1.0,-0.33054348409249423,-0.0,-0.8902301625623692,-0.0,-0.5044798540694243,-0.0,-0.0,-0.0,-0.0,-0.0,-0.25076452599388377,-0.0,-1.2460968936101722,-0.15381726487472505,-0.0
2019-03-28,-0.0,-0.9829886050656153,-0.0,1.0,-0.31128152508505696,-0.0,-0.8884808554301452,-0.0,-0.5199006318518118,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2567370524382999,-0.0,-1.276880704217746,-0.16417346222390236,-0.0
2019-03-29,-0.0,-0.937476172321769,-0.0,1.0,-0.3071728119383476,-0.0,-0.9073579870377431,-0.0,-0.5628778388976635,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3114754098360656,-0.0,-1.2668699961875716,-0.15304177332389304,-0.0
2019-04-01,-0.0,-0.9264713815612019,-0.0,1.0,-0.32329934725144305,-0.0,-0.898365431299563,-0.0,-0.5638452824081567,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2910934886982791,-0.0,-1.2646598694502886,-0.1268813723903544,-0.0
2019-04-02,-0.0,-0.9383929530561822,-0.0,1.0,-0.29288860242775805,-0.0,-0.8859705661188098,-0.0,-0.5570952841336341,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3216242346116661,-0.0,-1.2432592115157375,-0.13186163927382102,-0.0
2019-04-03,-0.0,-0.9328378305595949,-0.0,1.0,-0.30037162708030374,-0.0,-0.876716755534012,-0.0,-0.5622879301987397,-0.0,-0.0,-0.0,-0.0,-0.0,-0.33915010502504445,-0.0,-1.2486669898206495,-0.12586847632897075,-0.0
2019-04-04,-0.0,-0.917206390328152,-0.0,1.0,-0.3050518134715026,-0.0,-0.8678216753022452,-0.0,-0.5857620898100173,-0.0,-0.0,-0.0,-0.0,-0.0,-0.35265544041450775,-0.0,-1.247949050086356,-0.12084412780656303,-0.0
2019-04-05,-0.0,-0.8987208008898777,-0.0,1.0,-0.2666852057842047,-0.0,-1.2370411568409345,-0.0,-0.556952169076752,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2274193548387097,-0.022302558398220245,-1.2365962180200223,-0.11596218020022248,-0.0
2019-04-08,-0.0,-0.7673819742489271,-0.0,1.0,-0.47593705293276106,-0.0,-1.318397711015737,-0.0,-0.47216022889842635,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2601430615164521,-0.12909871244635193,-1.1244635193133048,-0.17493562231759657,-0.0
2019-04-09,-0.0,-0.7697104931914408,-0.0,1.0,-0.4794026776519053,-0.0,-1.3078727543197162,-0.0,-0.4731662661631766,-0.0,-0.0,-0.0,-0.0,-0.0,-0.25906854331159174,-0.13216615173360796,-1.1261585993820804,-0.1739329442728001,-0.0
2019-04-10,-0.0,-0.7655692413951881,-0.0,1.0,-0.4126856221940831,-0.0,-1.3377460573270403,-0.0,-0.48641648440198,-0.0,-0.0,-0.0,-0.0,-0.0,-0.29204558535743064,-0.12823759640842639,-1.1557499712213652,-0.177276390008058,-0.0
2019-04-11,-0.0,-0.8345667501893828,-0.0,1.0,-0.38494260241244677,-0.0,-1.3470660217936017,-0.0,-0.44443796981527883,-0.0,-0.0,-0.0,-0.0,-0.0,-0.28022842491696287,-0.16817201794767203,-1.1616455917487325,-0.20610687022900762,-0.0
