Date,IMTX,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-08-12,1.0,-0.0,-0.0,-0.08896593719320484,-0.09474456001690092,-0.05899166138512967,0.0
2019-08-13,1.0,-0.0,-0.0,-0.0867699082205675,-0.09348638151547387,-0.056650916557405444,0.0
2019-08-14,1.0,-0.0,-0.0,-0.08645347902940705,-0.09341277395270646,-0.0562429696287964,0.0
2019-08-15,1.0,-0.0,-0.0,-0.08671720460493175,-0.09244265336462262,-0.049464928554754206,0.0
2019-08-16,1.0,-0.0,-0.0,-0.08735250737463127,-0.0931047197640118,-0.048647984267453294,0.0
2019-08-19,1.0,-0.0,-0.0,-0.08694906323902414,-0.0930021688252809,-0.04536153214640183,0.0
2019-08-20,1.0,-0.0,-0.0,-0.08711662446018521,-0.09219363599662347,-0.04405377962099803,0.0
2019-08-21,1.0,-0.0,-0.0,-0.08719985336347529,-0.0918066841815849,-0.04295228203091587,0.0
2019-08-22,1.0,-0.0,-0.0,-0.08649268852378977,-0.09237604667626882,-0.04173278324341479,0.0
2019-08-23,1.0,-0.0,-0.0,-0.08642382085545182,-0.09235462810421624,-0.041564463969735795,0.0
2019-08-26,1.0,-0.0,-0.0,-0.08369707551287646,-0.09117803967214705,-0.037610941364760654,0.0
2019-08-27,1.0,-0.0,-0.0,-0.08136733928074275,-0.09020372096401293,-0.03888007940638883,0.0
2019-08-28,1.0,-0.0,-0.0,-0.08159610894000073,-0.09013805035631753,-0.03817255689586333,0.0
2019-08-29,1.0,-0.0,-0.0,-0.08235265659583217,-0.09034723818047677,-0.03676781848308559,0.0
2019-08-30,1.0,-0.0,-0.0,-0.08222654597749768,-0.09029934619986223,-0.035977135122723485,0.0
2019-09-03,1.0,-0.0,-0.0,-0.0823131307027615,-0.09044655266179226,-0.03577255423288416,0.0
2019-09-04,1.0,-0.0,-0.0,-0.08170506523129653,-0.08989970914445021,-0.035264726825088404,0.0
2019-09-05,1.0,-0.0,-0.0,-0.08090786430223593,-0.09088280647648418,-0.03292453739398612,0.0
2019-09-06,1.0,-0.0,-0.0,-0.0821505893673322,-0.09140004811161896,-0.029239836420495546,0.0
