Date,IWF,IWM,MTUM,NICE,SPY,VLUE,VXX
2018-09-24,-0.34645105163502377,-0.39806048820428847,-0.25213653344250553,1.0,-0.34222915920372554,-0.21984545314978762,0.0
2018-09-25,-0.3474012686719869,-0.3970227133210559,-0.25375997544505835,1.0,-0.3412625332514836,-0.2183855125844076,0.0
2018-09-26,-0.34863066291272077,-0.3987714358843102,-0.2560788328640901,1.0,-0.34100332736114664,-0.21499872024571284,0.0
2018-09-27,-0.35140459499565063,-0.392467891316584,-0.2579184362687407,1.0,-0.3414777669753876,-0.21519214040833037,0.0
2018-09-28,-0.34824084521489385,-0.3979895373884501,-0.25825725715458,1.0,-0.3429326084726639,-0.2169453277259206,0.0
2018-10-01,-0.34806360605283404,-0.39835855347525007,-0.2583482944344704,1.0,-0.34288279045909204,-0.21713259810207744,0.0
2018-10-02,-0.34780484041048326,-0.4126179882204676,-0.25416012962629564,1.0,-0.3417093181759729,-0.21563231398369384,0.0
2018-10-03,-0.34830072090628217,-0.41629763130792996,-0.2546086508753862,1.0,-0.34116889804325434,-0.21428939237899072,0.0
2018-10-04,-0.3466003316749585,-0.42827529021558874,-0.2537054311774461,1.0,-0.34001865671641796,-0.222636815920398,0.0
2018-10-05,-0.3503829676749318,-0.43266259898740755,-0.25496559781903155,1.0,-0.33911463066337794,-0.21926522134233414,0.0
2018-10-08,-0.3493960288247187,-0.4305821971071595,-0.2532790709730935,1.0,-0.34042718647934056,-0.21846648348799833,0.0
2018-10-09,-0.3590474944393563,-0.43796938374983646,-0.26657071830433077,1.0,-0.3397880413450216,-0.2133978804134502,0.0
2018-10-10,-0.35906224652659674,-0.4379758758732568,-0.26654281901671945,1.0,-0.33975247913341533,-0.2131923912190272,0.0
2018-10-11,-0.34096965969659704,-0.4321186961869619,-0.24633558835588357,1.0,-0.3305658056580566,-0.21256150061500614,0.0
2018-10-12,-0.35297845373891,-0.4273257287705957,-0.24869455006337135,1.0,-0.314169835234474,-0.19168567807351078,0.0
2018-10-15,-0.35381028409234905,-0.42659469322588006,-0.24924605286499912,1.0,-0.3140221495729745,-0.1906029042803923,0.0
2018-10-16,-0.358699526452467,-0.41776567034981416,-0.25810886501349356,1.0,-0.317124089821274,-0.19425632669687867,0.0
2018-10-17,-0.3516323088927484,-0.3995569986659619,-0.25281280676583856,1.0,-0.3152357220166629,-0.19781519796622113,0.0
2018-10-18,-0.3528848576467624,-0.40194003527336863,-0.25170068027210885,1.0,-0.3146384479717813,-0.19836230788611742,0.0
2018-10-19,-0.3478467582513825,-0.3943397642819608,-0.248629982734029,1.0,-0.3155418762355178,-0.1959562595400746,0.0
2018-10-22,-0.35525852086794546,-0.3861199214620148,-0.2302018828978503,1.0,-0.33381160952524797,-0.2118511805870211,0.0
2018-10-23,-0.35871455576559547,-0.38674228103339636,-0.2365217391304348,1.0,-0.3289224952741021,-0.2095778197857593,0.0
2018-10-24,-0.3585910869839667,-0.39027900517611414,-0.23840424188865042,1.0,-0.32920085847746494,-0.20848377730084586,0.0
2018-10-25,-0.3428895407597308,-0.3635220745926492,-0.2390859565656815,1.0,-0.3309586609806,-0.18860157270687997,0.0
2018-10-26,-0.3341411470955424,-0.35881618565029005,-0.2239112873613865,1.0,-0.3437614746273041,-0.18729039680791168,0.0
2018-10-29,-0.3302835114429317,-0.36058654174596205,-0.22114868491680084,1.0,-0.34075050017079006,-0.18708827404479578,0.0
2018-10-30,-0.33361003955271257,-0.3606377264514869,-0.22308218174715563,1.0,-0.34044631085502225,-0.18374920650422383,0.0
