Date,IWF,IWM,MTOR,MTUM,SPY,VLUE,VXX
2018-09-24,-0.6053570531182472,-1.272978541635258,1.0,-0.12508166239509522,-1.0232172470978442,-0.9987436554600734,0.0
2018-09-25,-0.6048212214433406,-1.2810025719905191,1.0,-0.12027838015028494,-1.0300569872409098,-1.0070099349437693,0.0
2018-09-26,-0.6055496480834472,-1.2850270899792395,1.0,-0.11398045470656741,-1.037419616183098,-1.0215707124411364,0.0
2018-09-27,-0.6055004051863857,-1.2859602917341977,1.0,-0.11411061588330633,-1.0375303889789302,-1.0217281199351702,0.0
2018-09-28,-0.6055710306406685,-1.2855406432008105,1.0,-0.1147632311977716,-1.0372246138262853,-1.0214737908331224,0.0
2018-10-01,-0.6060774879716384,-1.2847809572043558,1.0,-0.11506710559635352,-1.0373259052924793,-1.0213218536338315,0.0
2018-10-02,-0.6066528277049263,-1.2787200648068453,1.0,-0.11771555870588832,-1.0378208698293758,-1.022125462001924,0.0
2018-10-03,-0.60697273740752,-1.263808655113003,1.0,-0.11533394142089795,-1.046214654910307,-1.03506638289247,0.0
2018-10-04,-0.6063424302485135,-1.273110738425573,1.0,-0.11597296335823551,-1.0452812928800121,-1.0414189154850841,0.0
2018-10-05,-0.5848903330625508,-1.2657392363931763,1.0,-0.09077985377741674,-1.0677802599512591,-1.067932575142161,0.0
2018-10-08,-0.5884601661654518,-1.2735103725979917,1.0,-0.0924104184718895,-1.0702890055558387,-1.072378816453438,0.0
2018-10-09,-0.5855357508707233,-1.2829338250358533,1.0,-0.07534316738373285,-1.0862528170456873,-1.0918356894079082,0.0
2018-10-10,-0.5851194749256486,-1.2862270536355247,1.0,-0.07312070556865963,-1.0875807609475951,-1.095631217311045,0.0
2018-10-11,-0.515256760109154,-1.2713470602828083,1.0,-0.0,-1.0655916645993548,-1.1093029025055816,0.0
2018-10-12,-0.5295503632436678,-1.2655605733359512,1.0,-0.0,-1.0373061064205773,-1.0762320832515215,0.0
2018-10-15,-0.4700575054531033,-1.35261748958953,1.0,-0.0,-1.0403033908387864,-1.0944378346222485,0.0
2018-10-16,-0.45821900723372416,-1.3893240209528561,1.0,-0.0,-1.0438014467448242,-1.0974307807433277,0.0
2018-10-17,-0.4226551791658508,-1.3278343450166439,1.0,-0.0,-1.035098883884864,-1.109653416878794,0.0
2018-10-18,-0.4273836465610548,-1.3410410311915772,1.0,-0.0,-1.0362097805766015,-1.115172685230739,0.0
2018-10-19,-0.4015797942366766,-1.324101613925594,1.0,-0.0,-1.0364717928714224,-1.1137549368569897,0.0
2018-10-22,-0.40440601797577175,-1.3322586948026571,1.0,-0.0,-1.03531652989449,-1.112739351309105,0.0
2018-10-23,-0.40594784646938176,-1.3319660123058894,1.0,-0.0,-1.0336946967477294,-1.1116808282058794,0.0
2018-10-24,-0.40803975595355246,-1.3314308207045857,1.0,-0.0,-1.0489568982483763,-1.1318146034245227,0.0
2018-10-25,-0.3723637751693864,-1.2750739574386871,1.0,-0.0,-1.0332092756942457,-1.0908006489168816,0.0
2018-10-26,-0.349295376349154,-1.253664514304567,1.0,-0.0,-1.0347834283829005,-1.0754583588631756,0.0
2018-10-29,-0.3144600938967136,-1.2715962441314554,1.0,-0.0,-1.0212676056338028,-1.087511737089202,0.0
2018-10-30,-0.301619338183525,-1.2719549401548933,1.0,-0.0,-1.0219666744895566,-1.0981929124618635,0.0
2018-10-31,-0.3056654718122992,-1.2438899492574833,1.0,-0.0,-1.0164331269493971,-1.0893347609515387,0.0
