Date,IWF,IWM,MTUM,SPY,VLUE,VXX,Z
2018-09-24,-0.7715014981689047,-1.7132393740983243,-0.14066141382754413,-0.9933969592720009,-0.9299744756408834,0.0,1.0
2018-09-25,-0.7755645564001553,-1.7102036286966653,-0.1468124063696388,-0.9907340620318482,-0.9251511956943905,0.0,1.0
2018-09-26,-0.7789818828498388,-1.715293986884517,-0.15171723907969326,-0.9916083138824053,-0.9198621762809827,0.0,1.0
2018-09-27,-0.7790076760485037,-1.7179330292579822,-0.1518522638780732,-0.9926020691956836,-0.920958949827567,0.0,1.0
2018-09-28,-0.7822140550172626,-1.717284775587482,-0.15241118164606304,-0.9942643946987415,-0.922430114712106,0.0,1.0
2018-10-01,-0.7826621236664246,-1.7250740099424677,-0.15382896721219907,-0.9972630285427024,-0.9268279059375524,0.0,1.0
2018-10-02,-0.7868326199594503,-1.7684163099797252,-0.14597882405947285,-1.0012390177968011,-0.9294323045731021,0.0,1.0
2018-10-03,-0.7862169922864704,-1.754462023534711,-0.1441360283767806,-1.006700073194077,-0.9387421879398682,0.0,1.0
2018-10-04,-0.7886832780246359,-1.7468361550143428,-0.14528376174138027,-1.0094493503571629,-0.9343607626975645,0.0,1.0
2018-10-05,-0.7666797598339038,-1.7417092194601873,-0.11783850513439201,-1.0284495819538746,-0.9566803209696425,0.0,1.0
2018-10-08,-0.7630769230769231,-1.7357762237762238,-0.11356643356643356,-1.0285874125874126,-0.9533426573426574,0.0,1.0
2018-10-09,-0.7674288276171263,-1.7387917507285362,-0.11998430845101996,-1.0276283344541584,-0.9502914144810581,0.0,1.0
2018-10-10,-0.7691570881226053,-1.75140860942078,-0.11578769438810006,-1.0345391029975208,-0.9634888438133875,0.0,1.0
2018-10-11,-0.6806745472291509,-1.752900986877779,-0.0,-1.0050970610562846,-0.9837327838629216,0.0,1.0
2018-10-12,-0.6947548521627547,-1.7475271346842753,-0.0,-0.9659947601988985,-0.9385125380954926,0.0,1.0
2018-10-15,-0.6641103477658838,-1.771901794748895,-0.0,-0.955477445811365,-0.9341747883048411,0.0,1.0
2018-10-16,-0.6570560648049456,-1.7852270304839053,-0.0,-0.9541675548923471,-0.9328501385632061,0.0,1.0
