Date,ENR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.47629594922690294,-1.0292626826255484,-0.03369255015547131,-0.873408016356434,-0.8467862162968012,0.0
2018-09-25,1.0,-0.47584530763654975,-1.03142455123012,-0.03210676672493924,-0.8752398413848975,-0.8491877371764807,0.0
2018-09-26,1.0,-0.4772629772629773,-1.037065637065637,-0.025139425139425138,-0.8843843843843844,-0.8661518661518661,0.0
2018-09-27,1.0,-0.478657752635639,-1.0313276763521042,-0.02669923716465244,-0.883603325619268,-0.8653038484614726,0.0
2018-09-28,1.0,-0.4788720322276507,-1.0309419730864833,-0.027256364103882748,-0.8833461901088541,-0.8651324247878632,0.0
2018-10-01,1.0,-0.48402906151928116,-1.0317269248957481,-0.02678302738489317,-0.8885688491466404,-0.8679764412536004,0.0
2018-10-02,1.0,-0.4847530731076127,-1.0522751779167565,-0.022298900150959672,-0.8875134785421609,-0.8662928617640716,0.0
2018-10-03,1.0,-0.4841392983363503,-1.0451685199551761,-0.021722265321955005,-0.8891905870183604,-0.8697957072666149,0.0
2018-10-04,1.0,-0.48439924151008446,-1.0444319944837097,-0.022409929322530598,-0.8889846578176176,-0.8693328736424755,0.0
2018-10-05,1.0,-0.4687634085643182,-1.0363854801338712,-0.004848536857461598,-0.8991246889213078,-0.8816184673474643,0.0
2018-10-08,1.0,-0.46719160104986873,-1.0364442149649327,-0.0,-0.9129555526870616,-0.8861494772169872,0.0
2018-10-09,1.0,-0.457964217474379,-1.0473771061316657,-0.0,-0.9295640090324822,-0.9076341844710787,0.0
2018-10-10,1.0,-0.4606131665798158,-1.046204620462046,-0.0,-0.9314747264200104,-0.904203578252562,0.0
2018-10-11,1.0,-0.37165618448637316,-1.020125786163522,-0.0,-0.8957232704402516,-0.9053249475890985,0.0
2018-10-12,1.0,-0.37894954507857737,-1.0100496277915634,-0.0,-0.8704714640198512,-0.8762200165425973,0.0
2018-10-15,1.0,-0.3636251134394852,-1.0197178450622886,-0.0,-0.8666364161372824,-0.8750515634023596,0.0
2018-10-16,1.0,-0.3558530639229784,-1.036114210156605,-0.0,-0.8658733110202057,-0.8741787529440932,0.0
2018-10-17,1.0,-0.3290918669206144,-0.9867082708595049,-0.0,-0.856465534708433,-0.8801312963488268,0.0
2018-10-18,1.0,-0.3287410348879614,-0.9864257060658859,-0.0,-0.8567202885043964,-0.8801410105757931,0.0
2018-10-19,1.0,-0.3145330112721417,-0.9775764895330112,-0.0,-0.8556763285024154,-0.8779790660225443,0.0
