Date,HOPE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.18715254533282882,-0.7728556043892074,-0.0891230316965975,-0.41522833774776613,-0.446255493785837,0.0
2018-09-25,1.0,-0.1873162781221805,-0.7726359905701562,-0.08943799295672167,-0.41505864547862276,-0.44602578654792047,0.0
2018-09-26,1.0,-0.18763096623981373,-0.7730500582072177,-0.09025029103608846,-0.4147846332945285,-0.4446449359720605,0.0
2018-09-27,1.0,-0.18663115689660217,-0.7859463256167872,-0.0876525505575229,-0.4183031402733472,-0.44806696128069307,0.0
2018-09-28,1.0,-0.18521879116054443,-0.7871505927118396,-0.0881018586272501,-0.4182935752963559,-0.448177959900483,0.0
2018-10-01,1.0,-0.18578035358857276,-0.7864711392108652,-0.0881337079967217,-0.4185692541856925,-0.4481325371736331,0.0
2018-10-02,1.0,-0.18675368766096936,-0.7788281432919691,-0.09084523530789043,-0.4202470147506439,-0.45001170686022013,0.0
2018-10-03,1.0,-0.1865453268566747,-0.7712003277345351,-0.08971732896353954,-0.42342131444958153,-0.45528764557851004,0.0
2018-10-04,1.0,-0.1851579071411737,-0.7847925995757719,-0.0891468300730615,-0.42213646005185007,-0.46476549611124207,0.0
2018-10-05,1.0,-0.17421040272396385,-0.781642597158624,-0.07995773159563227,-0.4273511799929553,-0.47214394739931903,0.0
2018-10-08,1.0,-0.17294445258683863,-0.7801260442620548,-0.07826469295031512,-0.4283159900337095,-0.4716107284185842,0.0
2018-10-09,1.0,-0.17049257324018083,-0.7823049374743146,-0.07053954089121117,-0.43359948335583864,-0.4785416544355075,0.0
2018-10-10,1.0,-0.17022338333284412,-0.7826635747204039,-0.0702145771567793,-0.4336454633516306,-0.4786450230428274,0.0
2018-10-11,1.0,-0.13088990220539734,-0.7896125498293614,-0.02274226390203332,-0.4275144110814764,-0.49711778370472337,0.0
2018-10-12,1.0,-0.12925247468426443,-0.7894242803504381,-0.019370804414609172,-0.4183354192740927,-0.48808169302537263,0.0
2018-10-15,1.0,-0.10104241039554476,-0.8358417820933884,-0.0,-0.42104812223332855,-0.49795801799228895,0.0
2018-10-16,1.0,-0.09586417812330293,-0.8454568839854804,-0.0,-0.4200703118301083,-0.49684168405407725,0.0
2018-10-17,1.0,-0.07802098612208055,-0.815920117341758,-0.0,-0.4189890556245064,-0.5077569671668736,0.0
2018-10-18,1.0,-0.08931202866306452,-0.8485365078447802,-0.0,-0.4273165939495507,-0.5242566962350833,0.0
2018-10-19,1.0,-0.07630475971751736,-0.8438307400815295,-0.0,-0.42682436699776083,-0.5237985875868405,0.0
2018-10-22,1.0,-0.07790303100017254,-0.8496002760683269,-0.0,-0.42560533732098693,-0.5226318513832174,0.0
2018-10-23,1.0,-0.07070178498749928,-0.8590906448049305,-0.0,-0.4423222280365138,-0.535002035002035,0.0
2018-10-24,1.0,-0.06883014917560848,-0.8552734886155458,-0.0,-0.44432812818052286,-0.539474832068394,0.0
2018-10-25,1.0,-0.0439186313728828,-0.8275030499049564,-0.0,-0.44650608562430844,-0.5191931228189633,0.0
2018-10-26,1.0,-0.04238103321450801,-0.8235726814915408,-0.0,-0.4463871442313133,-0.5168618797035025,0.0
2018-10-29,1.0,-0.028259093342349197,-0.8298255994139689,-0.0,-0.43972050826923614,-0.5196517623193305,0.0
2018-10-30,1.0,-0.0012477313974591652,-0.8372561252268602,-0.0,-0.44802064428312155,-0.5492003176043557,0.0
2018-10-31,1.0,-0.003329383217651374,-0.8263359855538627,-0.0,-0.44596806049320015,-0.5459059872467694,0.0
2018-11-01,1.0,-0.005561515442380442,-0.8249957653435718,-0.0,-0.446389249618881,-0.5461577550674722,0.0
2018-11-02,1.0,-0.008879896588546057,-0.8078738829876918,-0.0,-0.45065475186871246,-0.5427134266284493,0.0
2018-11-05,1.0,-0.005311077389984826,-0.8183274321362334,-0.0,-0.4518068903501377,-0.5346203563199011,0.0
2018-11-06,1.0,-0.00242096669763252,-0.8163724910621287,-0.0,-0.4560988655237452,-0.5401852321031445,0.0
2018-11-07,1.0,-0.00250598338730114,-0.8164719132760805,-0.0,-0.45637054765592,-0.5403350696888638,0.0
