Date,CXO,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5010139245640125,-1.2144563111171196,-0.053670406921725027,-0.9046460276688748,-0.8325447253391014,0.0
2018-09-25,1.0,-0.5162858310998046,-1.2201880706855042,-0.06727842638440922,-0.9084177531458684,-0.8305546722391314,0.0
2018-09-26,1.0,-0.523776894614225,-1.2322415604586359,-0.0755104837604495,-0.9126124891507926,-0.8239002329724544,0.0
2018-09-27,1.0,-0.52685620407977,-1.222972664628303,-0.07812713914114909,-0.9122895085109296,-0.823301236708803,0.0
2018-09-28,1.0,-0.5269018390909506,-1.2225619495276778,-0.07867475927531602,-0.9120613334550268,-0.8232099666864419,0.0
2018-10-01,1.0,-0.526592102259758,-1.2236932207258617,-0.07929696416343301,-0.9118922620406301,-0.8236475690481625,0.0
2018-10-02,1.0,-0.5292532541676181,-1.2048869604932633,-0.08645809545558346,-0.9171500342543959,-0.8295044530714775,0.0
2018-10-03,1.0,-0.5287135944490094,-1.194421619647585,-0.08518214187893727,-0.9207066557107642,-0.8359353601752945,0.0
2018-10-04,1.0,-0.528290676416819,-1.1979433272394882,-0.08583180987202926,-0.9197440585009141,-0.8385283363802559,0.0
2018-10-05,1.0,-0.5118543799772468,-1.1906257110352674,-0.06784982935153583,-0.9301023890784982,-0.8502389078498294,0.0
2018-10-08,1.0,-0.5120058431479959,-1.1919108919930612,-0.05838583036610974,-0.9463617273806263,-0.8562494293800784,0.0
2018-10-09,1.0,-0.5137480588289028,-1.1928382205170367,-0.061478030510642184,-0.9453274869827349,-0.8540696081118114,0.0
2018-10-10,1.0,-0.5223736747900317,-1.1956491807792922,-0.06723576116389003,-0.9543806507870943,-0.8498324842810593,0.0
2018-10-11,1.0,-0.4601962438396306,-1.1847444834169516,-0.0,-0.9354437685921058,-0.8595657772055232,0.0
2018-10-12,1.0,-0.46592848702350215,-1.1743183509125126,-0.0,-0.9088362729222286,-0.8274322727471662,0.0
2018-10-15,1.0,-0.4314419254794042,-1.2066570567422357,-0.0,-0.9022408596514219,-0.8278513082601668,0.0
2018-10-16,1.0,-0.42623094062650174,-1.2154309930534317,-0.0,-0.9007820350386648,-0.8264231727030451,0.0
2018-10-17,1.0,-0.3947029532967033,-1.1605855082417582,-0.0,-0.8960765796703296,-0.8412173763736264,0.0
2018-10-18,1.0,-0.3958225889633832,-1.1643458827574351,-0.0,-0.8953498366855767,-0.8421866941722538,0.0
2018-10-19,1.0,-0.37393490115882755,-1.149667689161554,-0.0,-0.8969410361281527,-0.8398517382413088,0.0
2018-10-22,1.0,-0.3739833936555248,-1.1412390887800723,-0.0,-0.9000638705556738,-0.8427932723014689,0.0
2018-10-23,1.0,-0.3755055127495636,-1.1410327359414243,-0.0,-0.8985568941296667,-0.8418968966838364,0.0
2018-10-24,1.0,-0.37511217469338914,-1.1514892525960427,-0.0,-0.9027819323960515,-0.8439382932353319,0.0
2018-10-25,1.0,-0.33509430847331706,-1.0936481076396054,-0.0,-0.8969416814561063,-0.8016013867679227,0.0
2018-10-26,1.0,-0.3116787725454991,-1.0757365543132296,-0.0,-0.9036562474496043,-0.7895617399820452,0.0
2018-10-29,1.0,-0.2852502943445252,-1.086922983232512,-0.0,-0.8922090049125087,-0.7955016036701718,0.0
2018-10-30,1.0,-0.3009249826820423,-1.0909905871806365,-0.0,-0.895644024285889,-0.7872947312660445,0.0
2018-10-31,1.0,-0.3024556284950158,-1.0771132182510739,-0.0,-0.8910770726963287,-0.7815868384796174,0.0
2018-11-01,1.0,-0.3024028526277402,-1.0770695733214473,-0.0,-0.8910004457230843,-0.781555168361765,0.0
2018-11-02,1.0,-0.30496310930129417,-1.0585816231907432,-0.0,-0.8921501431278475,-0.7760754747409587,0.0
2018-11-05,1.0,-0.3064633260711692,-1.0556362462680546,-0.0,-0.8926813523763415,-0.7797547002340031,0.0
2018-11-06,1.0,-0.30801500544552457,-1.0561897462788916,-0.0,-0.8913718688233634,-0.7781452946633859,0.0
2018-11-07,1.0,-0.3069602387289297,-1.057423985805307,-0.0,-0.8899104766513428,-0.7782885716590048,0.0
2018-11-08,1.0,-0.27253107389792575,-1.0597498101594662,-0.0,-0.8787418568402543,-0.7856200791335278,0.0
