Date,IWF,IWM,MTUM,PEN,SPY,VLUE,VXX
2018-09-24,-0.7358098068350669,-1.335165923724616,-0.26369489846458644,1.0,-0.9066864784546805,-0.711589895988113,0.0
2018-09-25,-0.7423370697351453,-1.3335482591012797,-0.2718480309493106,1.0,-0.9050193433191152,-0.7070727110405713,0.0
2018-09-26,-0.7470406843728241,-1.3406445837063565,-0.2780761961603502,1.0,-0.906793991843231,-0.7011339898537751,0.0
2018-09-27,-0.7480745341614906,-1.335254658385093,-0.2794037267080745,1.0,-0.9059378881987578,-0.7002732919254658,0.0
2018-09-28,-0.7453970802187326,-1.359404003411428,-0.2813926654291878,1.0,-0.9180253850398836,-0.7126373350724928,0.0
2018-10-01,-0.7457108457911107,-1.358583324972409,-0.2815792113976121,1.0,-0.918079662887529,-0.7126015852312633,0.0
2018-10-02,-0.7455823293172692,-1.3650602409638555,-0.2803714859437751,1.0,-0.9171184738955823,-0.7118975903614457,0.0
2018-10-03,-0.7493068508342996,-1.3810556031658012,-0.28280485960578716,1.0,-0.9180319604778948,-0.7098855673740989,0.0
2018-10-04,-0.7576736672051696,-1.3718699515347332,-0.284077140549273,1.0,-0.929624394184168,-0.705220113085622,0.0
2018-10-05,-0.7468208092485549,-1.3675797939180698,-0.2704699673284745,1.0,-0.9338024629303846,-0.7077155064086454,0.0
2018-10-08,-0.744383149448345,-1.3634904714142428,-0.2671013039117352,1.0,-0.9346539618856571,-0.7054162487462388,0.0
2018-10-09,-0.7440822467402207,-1.3640421263791376,-0.2659478435305918,1.0,-0.9351554663991976,-0.7058174523570713,0.0
2018-10-10,-0.7442210299353157,-1.3640876498019356,-0.2657072657072657,1.0,-0.9352655066940782,-0.704959133530562,0.0
2018-10-11,-0.6744163376711995,-1.3786128576302579,-0.15864892528147392,1.0,-0.9272310766681289,-0.7351464639079788,0.0
2018-10-12,-0.7071001603732322,-1.3909219030956894,-0.1521601788404529,1.0,-0.9066919376002333,-0.7030179326432425,0.0
2018-10-15,-0.6959619952494062,-1.4083571670948665,-0.13490716951863882,1.0,-0.9055698288816715,-0.7027485578554461,0.0
2018-10-16,-0.695312878677718,-1.410304881004314,-0.1333914982308177,1.0,-0.9054820415879018,-0.702583490863264,0.0
2018-10-17,-0.674158905151112,-1.3611005512260028,-0.11856111005512261,1.0,-0.8943166698346323,-0.7037635430526517,0.0
2018-10-18,-0.6734131508931965,-1.3599391866210566,-0.11896617255796275,1.0,-0.8951444317749905,-0.7035822881033827,0.0
2018-10-19,-0.658589477654158,-1.348529134452197,-0.10098057703186876,1.0,-0.9028851593437677,-0.7033754478597021,0.0
2018-10-22,-0.6577878530272976,-1.35524700103901,-0.10796259563615754,1.0,-0.8999716633607254,-0.7018040993671484,0.0
2018-10-23,-0.6584836181663676,-1.3544518931167973,-0.11009347559248418,1.0,-0.8976961571145312,-0.7002643754130865,0.0
2018-10-24,-0.6630743051616562,-1.3523823028927964,-0.09633200983172623,1.0,-0.905700510493477,-0.709349593495935,0.0
2018-10-25,-0.6157285760383533,-1.297561425344581,-0.07541603282164754,1.0,-0.9470336053104688,-0.6740423177983681,0.0
2018-10-26,-0.5976442550071038,-1.291397405930611,-0.03927769375315092,1.0,-0.9793757734084971,-0.675512168293689,0.0
2018-10-29,-0.5759956156375594,-1.3139386189258313,-0.01603032517354768,1.0,-0.9728717573986116,-0.6882078918523932,0.0
2018-10-30,-0.5677822930459796,-1.3151910871649697,-0.010227843477466782,1.0,-0.9748869914615771,-0.697958997306059,0.0
2018-10-31,-0.5815247127484954,-1.28442458508116,-0.009255881816523802,1.0,-0.9847255152288893,-0.6995714025168704,0.0
2018-11-01,-0.5607744874715263,-1.3059681093394078,-0.0,1.0,-0.9866514806378133,-0.7024601366742597,0.0
2018-11-02,-0.563391119359073,-1.2814013488435252,-0.0,1.0,-0.9869641968044177,-0.6945638890146201,0.0
